NAME,NEWS11.12,NEWS11.13,NEWS11.14,NEWS11.15,NEWS11.16,NEWS11.17,NEWS11.18,NEWS11.19,NEWS1120,NEWS11.21,NEWS11.22,NEWS11.23
北京,159,70,472,4435,362,66,1813,3149,2192,1398,3223,1210
天津,14,3,37,364,6,3,66,190,190,141,237,178
重庆,7,1,22,157,11,0,60,245,166,167,345,230
河北,9,9,18,280,6,0,42,148,133,170,234,173
山西,6,4,20,158,2,1,30,187,121,85,134,65
辽宁,16,4,42,301,11,5,68,504,342,336,320,218
吉林,13,8,49,419,22,2,52,537,676,282,130,213
黑龙江,3,2,14,232,10,2,8,94,54,56,87,89
江苏,16,10,96,778,22,1,131,702,603,423,787,545
上海,25,27,165,2097,66,21,539,1187,927,815,1231,765
安徽,13,9,122,816,42,4,59,363,198,166,231,133
浙江,19,14,67,654,26,0,47,593,482,280,1531,432
福建,17,12,58,457,21,0,125,503,492,318,321,239
江西,43,10,44,349,8,5,38,316,336,183,210,167
山东,2,1,25,258,6,2,17,230,245,113,564,154
河南,5,0,23,241,99,10,154,543,512,233,341,198
湖北,7,5,29,271,13,1,54,355,280,191,431,165
湖南,9,3,33,227,16,5,67,290,230,115,312,145
广东,34,22,216,2022,136,7,255,1284,584,698,767,359
海南,9,4,35,331,10,1,54,233,200,84,130,59
四川,22,15,80,740,22,2,146,605,450,306,311,276
贵州,32,9,39,192,5,3,20,190,130,76,177,59
云南,4,8,24,154,6,3,282,193,172,87,137,78
陕西,0,0,0,0,0,0,0,0,0,0,0,0
甘肃,6,5,8,140,6,0,12,125,133,88,139,91
青海,0,0,3,29,1,1,1,30,5,7,23,18
内蒙古,12,1,3,38,2,2,3,70,56,21,34,23
宁夏,0,1,8,32,2,0,2,37,34,20,48,17
广西,2,2,12,114,10,2,83,188,138,62,27,45
西藏,34,6,18,170,13,4,34,209,189,72,129,79
新疆,2,0,1,14,7,2,5,39,31,12,38,21
香港,0,3,31,607,10,5,138,94,88,105,340,132
澳门,0,0,0,3,2,0,1,4,5,1,12,7
台湾,2,14,64,657,40,2,3514,1411,987,98,139,103
