数据库：分省年度数据
指标：集体户人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2254,3284,2393,2350,,1314,1104,1338,1144,15365,1392,1406,1436,,,,,,,
天津市,516,405,493,950,,684,33,295,150,7160,65,73,60,,,,,,,
河北省,486,595,465,1774,,148,397,116,161,7517,56,148,326,,,,,,,
山西省,993,569,577,752,,329,289,468,331,3495,226,117,225,,,,,,,
内蒙古自治区,158,288,860,1112,,60,67,199,274,4932,248,93,152,,,,,,,
辽宁省,618,1611,2723,445,,262,243,394,483,4756,223,229,64,,,,,,,
吉林省,68,67,511,259,,52,44,131,233,3032,454,292,206,,,,,,,
黑龙江省,599,70,73,575,,113,96,85,237,2361,41,92,387,,,,,,,
上海市,1048,1207,1754,2425,,542,727,530,678,14775,107,107,620,,,,,,,
江苏省,2190,2635,3782,4021,,1390,2315,2106,1035,30903,669,757,812,,,,,,,
浙江省,4063,5643,4450,4496,,1350,1865,1671,1431,28537,1343,986,1323,,,,,,,
安徽省,2209,1729,1983,764,,471,401,316,877,8414,324,1659,711,,,,,,,
福建省,1472,1535,2093,3596,,1052,1269,1173,1472,22759,1996,1885,2229,,,,,,,
江西省,319,1023,849,1365,,22,96,149,76,6612,444,703,271,,,,,,,
山东省,577,556,785,1024,,178,316,1139,1703,20767,639,809,1780,,,,,,,
河南省,2371,772,1414,4413,,,29,112,40,3623,936,752,423,,,,,,,
湖北省,1696,1665,2261,1961,,140,1046,1436,986,10836,1354,1457,1016,,,,,,,
湖南省,1112,718,609,1217,,119,603,598,151,10971,790,1881,314,,,,,,,
广东省,9349,9605,9908,10489,,9249,9366,10191,9862,163187,4171,2853,6723,,,,,,,
广西壮族自治区,473,682,597,1425,,101,322,462,512,6325,93,70,452,,,,,,,
海南省,417,372,446,313,,172,158,185,102,2804,117,153,160,,,,,,,
重庆市,1109,1197,799,970,,349,169,181,334,3951,30,64,31,,,,,,,
四川省,1981,1718,3546,3748,,588,861,277,749,7939,557,350,454,,,,,,,
贵州省,1393,935,576,1188,,104,61,66,117,3000,98,81,68,,,,,,,
云南省,955,602,1574,1865,,379,623,502,421,10251,63,195,204,,,,,,,
西藏自治区,,14,15,75,,,,,23,320,1,13,5,,,,,,,
陕西省,674,478,742,1251,,581,362,253,464,4334,258,367,220,,,,,,,
甘肃省,640,449,469,533,,23,22,10,40,2919,68,219,55,,,,,,,
青海省,151,75,114,255,,72,45,42,46,1308,26,36,59,,,,,,,
宁夏回族自治区,32,38,223,299,,60,13,21,46,457,30,34,86,,,,,,,
新疆维吾尔自治区,99,253,223,335,,41,50,45,34,1750,38,228,110,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
