数据库：分省年度数据
指标：集体户女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1030,1225,869,1002,,488,427,656,555,5544,438,354,245,,,,,,,
天津市,332,324,386,503,,260,15,123,111,3229,22,37,20,,,,,,,
河北省,255,278,251,112,,44,95,58,70,4035,10,53,193,,,,,,,
山西省,677,205,222,326,,157,213,233,239,1503,96,20,40,,,,,,,
内蒙古自治区,78,74,500,766,,25,24,153,170,1512,46,29,44,,,,,,,
辽宁省,271,1162,1325,140,,178,174,179,198,2241,87,67,24,,,,,,,
吉林省,34,20,257,113,,7,26,33,139,1310,401,279,183,,,,,,,
黑龙江省,569,40,38,464,,75,14,12,98,831,25,37,169,,,,,,,
上海市,446,497,587,825,,237,313,215,305,5836,48,28,397,,,,,,,
江苏省,1049,1284,1976,1957,,498,1285,1146,457,14944,291,238,319,,,,,,,
浙江省,1480,2492,2262,3097,,547,716,578,758,11485,642,426,573,,,,,,,
安徽省,1591,1107,235,223,,10,15,289,281,3308,129,693,227,,,,,,,
福建省,602,701,1029,2201,,358,387,488,660,10238,1086,736,743,,,,,,,
江西省,24,85,150,243,,10,25,48,22,2767,159,187,139,,,,,,,
山东省,202,237,274,339,,74,132,362,438,9397,294,361,521,,,,,,,
河南省,1142,90,261,1041,,,16,43,23,883,484,185,167,,,,,,,
湖北省,922,796,919,684,,84,534,732,456,4058,683,625,439,,,,,,,
湖南省,467,254,174,410,,64,44,150,80,4208,407,680,107,,,,,,,
广东省,2283,3937,3481,3535,,4841,4323,4847,4603,79265,1820,1247,2963,,,,,,,
广西壮族自治区,220,298,216,269,,40,65,166,187,2750,26,26,387,,,,,,,
海南省,143,180,238,173,,60,54,82,51,1364,47,48,92,,,,,,,
重庆市,399,546,395,339,,288,112,88,222,1065,11,24,11,,,,,,,
四川省,1274,432,483,1153,,298,403,118,53,3441,244,148,203,,,,,,,
贵州省,996,491,107,268,,37,19,30,50,887,49,28,22,,,,,,,
云南省,441,175,851,1026,,124,85,238,192,4450,27,69,115,,,,,,,
西藏自治区,,5,10,22,,,,,10,123,,3,2,,,,,,,
陕西省,105,175,289,574,,293,171,123,224,1705,94,123,71,,,,,,,
甘肃省,208,174,144,150,,5,9,8,16,896,24,138,17,,,,,,,
青海省,111,26,25,145,,31,18,17,13,570,7,9,11,,,,,,,
宁夏回族自治区,11,8,114,74,,23,7,8,8,141,17,15,20,,,,,,,
新疆维吾尔自治区,32,52,87,103,,26,20,16,9,597,13,59,37,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
