数据库：分省年度数据
指标：居住在港澳台或国外，户口在本乡、镇、街道男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,22,16,18,16,,,,,,30,,,,,,,,,,
天津市,6,7,6,7,,,,,,5,,,,,,,,,,
河北省,13,7,7,17,,,,,,15,,,,,,,,,,
山西省,5,2,1,2,,,,,,,,,,,,,,,,
内蒙古自治区,2,5,5,6,,,,,,7,,,,,,,,,,
辽宁省,42,25,16,36,,,,,,24,,,,,,,,,,
吉林省,115,112,78,68,,,,,,20,,,,,,,,,,
黑龙江省,25,20,35,41,,,,,,25,,,,,,,,,,
上海市,29,38,42,36,,,,,,13,,,,,,,,,,
江苏省,113,73,68,121,,,,,,104,,,,,,,,,,
浙江省,111,250,213,132,,,,,,30,,,,,,,,,,
安徽省,7,14,12,86,,,,,,8,,,,,,,,,,
福建省,166,152,187,158,,,,,,147,,,,,,,,,,
江西省,4,6,7,6,,,,,,6,,,,,,,,,,
山东省,71,47,61,76,,,,,,27,,,,,,,,,,
河南省,19,15,18,35,,,,,,22,,,,,,,,,,
湖北省,12,22,20,34,,,,,,5,,,,,,,,,,
湖南省,12,10,10,11,,,,,,7,,,,,,,,,,
广东省,100,35,34,99,,,,,,26,,,,,,,,,,
广西壮族自治区,6,4,3,7,,,,,,14,,,,,,,,,,
海南省,1,,1,3,,,,,,10,,,,,,,,,,
重庆市,6,4,3,5,,,,,,6,,,,,,,,,,
四川省,30,27,24,32,,,,,,17,,,,,,,,,,
贵州省,2,,4,3,,,,,,2,,,,,,,,,,
云南省,14,12,6,15,,,,,,19,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,4,4,2,3,,,,,,8,,,,,,,,,,
甘肃省,1,1,,2,,,,,,1,,,,,,,,,,
青海省,2,1,1,1,,,,,,4,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,2,3,3,6,,,,,,17,,,,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
