数据库：分省年度数据
指标：住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3494,3790,4094,3641,,4039,4089,4289,4486,63307,4904,4776,4764,,,,,,,
天津市,4720,4635,4447,4356,,4591,4783,4289,4131,54597,4294,4342,4340,,,,,,,
河北省,26668,26397,26975,26725,,28553,29286,29461,29627,418107,30236,30661,30843,,,,,,,
山西省,11696,11478,12020,12599,,13711,14053,14036,13899,198925,14329,14303,14142,,,,,,,
内蒙古自治区,7086,7151,6864,7053,,9181,9202,9441,9464,125066,9834,10050,9893,,,,,,,
辽宁省,14336,13476,13482,14660,,17657,17464,17268,16912,233785,18454,18413,18082,,,,,,,
吉林省,9229,9153,9047,9249,,11162,11317,11404,11123,159032,12524,12452,12392,,,,,,,
黑龙江省,12675,13044,13408,13501,,15089,15405,15547,15448,224742,17072,17059,17251,,,,,,,
上海市,3776,3948,3591,3488,,5943,5627,5790,5584,70796,7036,7088,6411,,,,,,,
江苏省,25270,26705,26273,25603,,30681,31290,31588,32285,428350,32769,33335,32416,,,,,,,
浙江省,13483,13014,13867,13923,,18719,18627,18569,18804,249157,18570,18916,18886,,,,,,,
安徽省,20728,20830,20711,21393,,25203,25706,26218,26116,376018,28070,27891,28973,,,,,,,
福建省,9056,9279,9733,9328,,13075,13401,13594,13665,182510,13206,13241,12845,,,,,,,
江西省,16302,16306,16567,15998,,17981,18313,18237,18133,258684,18340,18186,18484,,,,,,,
山东省,35303,35024,34603,35864,,39683,40346,40271,40085,559466,40446,40699,41298,,,,,,,
河南省,34646,35272,35436,34373,,40618,40746,41111,41435,586513,43016,43351,43192,,,,,,,
湖北省,19000,18412,19456,20354,,23443,24138,24006,23938,339838,27078,26678,26663,,,,,,,
湖南省,23944,24262,24498,24596,,26757,26802,27138,27174,379540,29681,29396,29266,,,,,,,
广东省,29461,27360,27539,29601,,29845,29721,29157,28658,423113,31571,32097,30194,,,,,,,
广西壮族自治区,15683,15801,16353,16114,,19370,19774,20097,19580,275601,21468,21607,21396,,,,,,,
海南省,2661,2792,2701,2707,,3252,3289,3348,3322,45464,3442,3306,3335,,,,,,,
重庆市,9209,9539,9765,9555,,11425,11535,11822,11765,168034,14522,14398,14337,,,,,,,
四川省,28294,27807,27008,28520,,33801,34674,35097,34990,502607,40111,39926,40245,,,,,,,
贵州省,11071,11387,11907,11514,,15205,15415,15569,15593,221842,17051,16815,17132,,,,,,,
云南省,16872,16294,15725,15904,,18529,18713,18952,18581,261853,20103,19410,19528,,,,,,,
西藏自治区,1236,1184,1272,1171,,1296,1314,1306,1297,17726,1343,1371,1322,,,,,,,
陕西省,13450,12665,12966,13588,,15526,15801,16108,16243,227917,16291,16679,16698,,,,,,,
甘肃省,9367,9353,9371,9579,,11214,11422,11576,11569,161496,11941,11977,12105,,,,,,,
青海省,1896,1947,1932,1891,,2228,2282,2265,2223,32054,2387,2406,2309,,,,,,,
宁夏回族自治区,2084,2028,1990,2020,,2452,2492,2533,2475,35003,2584,2552,2460,,,,,,,
新疆维吾尔自治区,7414,7375,7199,6963,,8912,8842,8798,8469,115493,8668,8387,9045,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
