数据库：分省年度数据
指标：住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,10588,9206,8648,9765,,6868,,,,75285,,,,,,,,,,
天津市,2961,2881,2825,2970,,1286,,,,28075,,,,,,,,,,
河北省,5612,5621,4834,6612,,3518,,,,63485,,,,,,,,,,
山西省,5663,6181,5358,4629,,2044,,,,37431,,,,,,,,,,
内蒙古自治区,5976,5611,6486,6690,,2548,,,,57961,,,,,,,,,,
辽宁省,6751,8028,9333,7593,,2663,,,,85339,,,,,,,,,,
吉林省,3407,3352,4134,4153,,1365,,,,34466,,,,,,,,,,
黑龙江省,5671,4889,4311,4861,,3177,,,,48062,,,,,,,,,,
上海市,12386,11986,12498,12917,,4934,,,,93546,,,,,,,,,,
江苏省,14372,11806,13299,15811,,7692,,,,144242,,,,,,,,,,
浙江省,17815,18300,17548,18307,,7438,,,,142667,,,,,,,,,,
安徽省,7610,6341,7148,6774,,2315,,,,53222,,,,,,,,,,
福建省,12176,11385,10830,12106,,5698,,,,98757,,,,,,,,,,
江西省,3333,3335,3179,4499,,1839,,,,39027,,,,,,,,,,
山东省,8794,8627,10307,9681,,3343,,,,101586,,,,,,,,,,
河南省,6748,6424,7074,9798,,1402,,,,46278,,,,,,,,,,
湖北省,8628,9882,8172,6827,,2345,,,,61315,,,,,,,,,,
湖南省,6078,4896,4331,5416,,1524,,,,58256,,,,,,,,,,
广东省,26407,30065,30606,26914,,23472,,,,351468,,,,,,,,,,
广西壮族自治区,5856,4951,4161,5491,,1447,,,,39064,,,,,,,,,,
海南省,1645,1356,1429,1609,,536,,,,12944,,,,,,,,,,
重庆市,5723,5007,4686,5349,,1938,,,,29427,,,,,,,,,,
四川省,9904,9598,12036,10953,,3949,,,,75586,,,,,,,,,,
贵州省,5076,4686,4159,4873,,1630,,,,31883,,,,,,,,,,
云南省,3718,4668,6076,6268,,1766,,,,44911,,,,,,,,,,
西藏自治区,38,162,14,191,,2,,,,1464,,,,,,,,,,
陕西省,3582,4899,4393,4213,,1844,,,,31153,,,,,,,,,,
甘肃省,1774,1966,2289,1987,,437,,,,16278,,,,,,,,,,
青海省,906,746,792,964,,402,,,,6648,,,,,,,,,,
宁夏回族自治区,1167,1224,1292,1274,,464,,,,7444,,,,,,,,,,
新疆维吾尔自治区,3356,3460,3706,4199,,786,,,,28624,,,,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
