数据库：分省年度数据
指标：6岁及6岁以上高中人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3684,3321,3659,3645,,3290,3319,3207,3188,49266,3227,3446,3176,,,,,,,
天津市,2712,2483,2450,2503,,2431,2404,2227,2118,27873,2234,2204,2149,,,,,,,
河北省,8032,8452,8059,8296,,6556,7030,6678,6801,101848,8159,8433,7266,,,,,,,
山西省,5410,4866,5766,5412,,4441,4292,4241,4279,54343,3504,3855,3825,,,,,,,
内蒙古自治区,3132,3283,3369,3490,,3041,2886,3128,3093,45675,3318,3062,3316,,,,,,,
辽宁省,5769,5535,5127,5785,,5247,5329,5427,5511,73033,5371,6185,5194,,,,,,,
吉林省,4031,3942,4069,3980,,3747,4219,4017,4071,51242,4448,4389,4377,,,,,,,
黑龙江省,4784,5324,5013,4638,,5005,5206,5170,5030,70264,4954,5042,5295,,,,,,,
上海市,3951,3868,4046,4168,,4106,4101,4223,4144,56630,4465,4560,3882,,,,,,,
江苏省,10802,11346,11062,10873,,9808,10331,9866,10071,138515,9525,9922,9124,,,,,,,
浙江省,5788,6428,6733,5833,,5727,5461,5490,5568,74175,6300,5973,5729,,,,,,,
安徽省,6948,6191,5733,5755,,5268,5310,5028,5087,69520,6306,6899,4345,,,,,,,
福建省,4294,4443,4565,3969,,4191,3925,4132,3810,53429,4666,4336,4230,,,,,,,
江西省,6040,7546,6114,5982,,5937,5382,5261,4163,56016,5466,6245,4392,,,,,,,
山东省,14062,12514,11530,11427,,10402,11468,10747,10767,144346,11388,11370,12095,,,,,,,
河南省,11546,10877,10457,11359,,10389,10565,10219,9245,131090,11547,10646,10544,,,,,,,
湖北省,8894,10032,8844,8111,,7841,7882,7866,7692,96636,8823,7799,6890,,,,,,,
湖南省,8969,9080,8746,8826,,7843,8165,8258,7633,108558,8204,8959,7661,,,,,,,
广东省,17540,16733,17162,16788,,14766,13684,13151,12144,176299,10078,9679,9921,,,,,,,
广西壮族自治区,5518,4538,4302,4737,,4270,4163,4293,4643,56149,5459,4996,4993,,,,,,,
海南省,1378,1345,1167,1111,,949,1029,996,965,14558,1240,1209,1063,,,,,,,
重庆市,4141,3653,3421,3647,,2821,2564,2707,2681,35557,2804,3219,2993,,,,,,,
四川省,8696,8290,8289,7623,,7192,7012,7071,6605,78538,8409,8580,8340,,,,,,,
贵州省,2773,2818,2720,1982,,2180,2354,2324,2032,29927,2732,3003,2573,,,,,,,
云南省,3569,3497,4401,3258,,2681,2571,2640,2579,33857,2923,1902,2447,,,,,,,
西藏自治区,93,97,119,126,,92,80,70,67,700,71,66,69,,,,,,,
陕西省,5882,5331,5552,4967,,4636,5023,5199,4960,65714,5387,5775,4448,,,,,,,
甘肃省,2612,2820,3109,2996,,2607,2550,2790,2608,35882,3075,2980,2767,,,,,,,
青海省,533,511,497,554,,467,483,514,503,7161,547,530,423,,,,,,,
宁夏回族自治区,717,778,631,685,,667,656,637,620,8534,713,660,605,,,,,,,
新疆维吾尔自治区,2548,2147,2229,2522,,2052,2029,2057,1972,29764,2442,2135,2705,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
