数据库：分省年度数据
指标：6岁及6岁以上未上过学男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,83,76,63,74,,96,95,115,152,1562,123,134,148,,,,,,,
天津市,120,90,87,86,,90,120,122,85,1599,116,134,146,,,,,,,
河北省,671,729,733,698,,850,796,983,1015,15437,1108,1212,1174,,,,,,,
山西省,329,263,326,350,,383,350,343,405,6521,487,476,558,,,,,,,
内蒙古自治区,323,333,298,314,,484,496,520,558,9626,715,907,868,,,,,,,
辽宁省,253,307,295,289,,426,404,417,482,6650,432,474,536,,,,,,,
吉林省,254,217,168,215,,346,340,359,401,6369,351,383,383,,,,,,,
黑龙江省,320,282,324,296,,490,408,445,515,8922,548,592,737,,,,,,,
上海市,164,224,118,113,,130,133,128,144,2347,176,171,256,,,,,,,
江苏省,789,664,879,808,,1000,1105,1230,1294,21065,1849,2270,2032,,,,,,,
浙江省,775,683,691,844,,876,1029,1055,1134,19066,1626,1532,1575,,,,,,,
安徽省,968,1055,1011,1009,,1774,1937,2200,2080,36404,2134,1988,2553,,,,,,,
福建省,417,377,373,355,,599,555,682,638,11290,1081,887,971,,,,,,,
江西省,413,340,381,424,,490,562,567,707,11712,780,715,863,,,,,,,
山东省,1293,1196,1373,1534,,1563,1573,1589,1731,36119,2673,2753,2148,,,,,,,
河南省,1172,1231,1228,1298,,1685,1690,1741,2018,29115,1795,1985,1931,,,,,,,
湖北省,719,701,764,746,,1096,1068,1125,1206,19215,1432,1392,1963,,,,,,,
湖南省,609,620,772,717,,832,877,819,805,16842,1163,1279,1240,,,,,,,
广东省,853,668,561,772,,634,696,701,894,14720,1041,1170,1097,,,,,,,
广西壮族自治区,418,456,429,489,,589,584,601,590,11098,854,983,928,,,,,,,
海南省,94,90,91,97,,130,130,135,150,2067,112,158,135,,,,,,,
重庆市,427,388,387,404,,521,543,508,659,10973,975,630,763,,,,,,,
四川省,1221,1311,1350,1406,,1811,2005,2053,2427,44863,2568,2656,3054,,,,,,,
贵州省,898,893,916,854,,1014,1108,1257,1430,22192,1598,1887,1701,,,,,,,
云南省,962,1072,1020,1067,,1582,1452,1725,1842,30641,1848,2482,2418,,,,,,,
西藏自治区,459,448,344,275,,351,302,321,360,6024,339,423,339,,,,,,,
陕西省,578,419,536,603,,740,774,803,840,13179,958,1161,1538,,,,,,,
甘肃省,576,515,588,702,,1100,1116,1238,1382,18388,1395,1503,1532,,,,,,,
青海省,207,213,247,195,,179,213,246,272,4869,308,327,333,,,,,,,
宁夏回族自治区,127,128,121,134,,151,137,180,211,3527,214,240,242,,,,,,,
新疆维吾尔自治区,271,285,278,294,,294,350,318,461,7686,484,454,580,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
