数据库：分省年度数据
指标：6岁及6岁以上未上过学女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,212,202,208,232,,344,377,375,444,6134,459,460,513,,,,,,,
天津市,255,202,210,220,,291,304,334,307,5004,367,430,460,,,,,,,
河北省,1497,1448,1650,1619,,2122,2143,2691,2650,42944,2656,2868,3079,,,,,,,
山西省,652,460,485,615,,851,843,848,876,15109,1037,1074,1150,,,,,,,
内蒙古自治区,701,629,564,620,,1073,1135,1149,1314,21934,1364,1825,1785,,,,,,,
辽宁省,564,502,612,654,,919,1077,1102,1208,18847,1227,1322,1433,,,,,,,
吉林省,474,394,312,384,,633,754,773,869,13942,608,639,720,,,,,,,
黑龙江省,671,535,549,639,,1063,1025,1082,1203,21105,1082,1342,1466,,,,,,,
上海市,489,534,348,396,,533,542,573,647,10158,832,716,926,,,,,,,
江苏省,2531,1965,2613,2588,,3473,3976,4067,4688,75086,6200,6681,6568,,,,,,,
浙江省,1886,1729,1692,2068,,2594,2899,3117,3188,52532,3692,3684,3706,,,,,,,
安徽省,2364,2339,2689,2771,,4407,4789,5615,5567,89033,5332,4822,6066,,,,,,,
福建省,1382,1302,1233,1175,,1867,2435,2548,2562,41318,3205,2867,2853,,,,,,,
江西省,922,741,969,1044,,1347,1664,1863,2223,37124,2223,2017,2616,,,,,,,
山东省,3426,3092,3560,3893,,4354,4627,4888,5475,103965,6843,7490,6320,,,,,,,
河南省,2369,2539,2731,2867,,3593,3862,4228,4528,72615,4304,4940,4908,,,,,,,
湖北省,1947,1708,1933,2029,,2667,2658,3026,3429,59025,4059,4204,5033,,,,,,,
湖南省,1227,1255,1566,1632,,2054,2264,2176,2573,46155,2901,3288,3201,,,,,,,
广东省,2236,1952,1918,2074,,2320,2571,2629,3129,52520,3386,3629,3496,,,,,,,
广西壮族自治区,1118,991,1004,1171,,1506,1623,1639,1751,34356,2372,2587,2868,,,,,,,
海南省,246,238,221,252,,381,420,415,446,6680,373,447,437,,,,,,,
重庆市,935,811,853,860,,1133,1198,1277,1529,26541,2109,1600,1919,,,,,,,
四川省,3370,3002,3003,3271,,4465,4788,4986,5900,105952,5617,5853,6721,,,,,,,
贵州省,1943,1763,2124,2178,,2717,2906,3255,3716,61228,3458,3959,3833,,,,,,,
云南省,2014,1908,1989,2107,,3267,3179,3741,3902,65950,3843,4772,5380,,,,,,,
西藏自治区,581,507,456,428,,535,516,506,605,8992,569,666,575,,,,,,,
陕西省,1211,937,1040,1138,,1543,1739,1934,1990,31138,2148,2381,2925,,,,,,,
甘肃省,1214,1006,1187,1346,,2200,2414,2627,3022,40753,2582,2673,2785,,,,,,,
青海省,380,384,391,339,,453,491,535,568,10037,642,688,718,,,,,,,
宁夏回族自治区,280,253,241,272,,325,322,436,488,8080,474,538,517,,,,,,,
新疆维吾尔自治区,395,409,351,385,,383,499,484,648,12017,676,679,831,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
