数据库：分省年度数据
指标：城镇人口(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1858,1825,1784,1740,1686,1581,1504,1416,1350,1286,,,,,,,,,,
天津市,1248,1207,1152,1090,1034,958,908,851,814,783,,,,,,,,,,
河北省,3642,3528,3411,3302,3201,3077,2928,2795,2674,2582,,,,,,,,,,
山西省,1962,1908,1851,1785,1717,1576,1539,1494,1451,1413,,,,,,,,,,
内蒙古自治区,1491,1466,1438,1405,1372,1313,1264,1218,1175,1134,,,,,,,,,,
辽宁省,2944,2917,2881,2807,2717,2620,2591,2544,2519,2478,,,,,,,,,,
吉林省,1509,1491,1477,1468,1465,1461,1455,1451,1442,1426,,,,,,,,,,
黑龙江省,2224,2201,2182,2166,2134,2123,2119,2061,2045,2028,,,,,,,,,,
上海市,2173,2164,2126,2096,2056,1958,1897,1830,1742,1684,,,,,,,,,,
江苏省,5191,5090,4990,4889,4767,4343,4215,4109,3973,3832,,,,,,,,,,
浙江省,3573,3519,3461,3403,3356,3055,3002,2949,2866,2796,,,,,,,,,,
安徽省,2990,2886,2784,2674,2562,2581,2485,2368,2267,2173,,,,,,,,,,
福建省,2352,2293,2234,2161,2109,2020,1929,1857,1807,1757,,,,,,,,,,
江西省,2281,2210,2140,2051,1966,1914,1820,1739,1678,1595,,,,,,,,,,
山东省,5385,5232,5078,4910,4765,4576,4483,4379,4291,4162,,,,,,,,,,
河南省,4265,4123,3991,3809,3621,3577,3397,3214,3050,2875,,,,,,,,,,
湖北省,3238,3161,3092,2984,2847,2631,2581,2525,2494,2467,,,,,,,,,,
湖南省,3320,3209,3097,2975,2845,2767,2689,2571,2455,2341,,,,,,,,,,
广东省,7292,7212,7140,6986,6910,6423,6269,6099,5949,5579,,,,,,,,,,
广西壮族自治区,2187,2115,2038,1942,1844,1904,1838,1728,1635,1567,,,,,,,,,,
海南省,486,472,457,443,433,425,410,399,385,374,,,,,,,,,,
重庆市,1783,1733,1678,1606,1529,1475,1419,1360,1311,1265,,,,,,,,,,
四川省,3769,3640,3516,3367,3232,3168,3044,2893,2802,2710,,,,,,,,,,
贵州省,1404,1325,1269,1213,1176,1057,1047,1026,1013,1002,,,,,,,,,,
云南省,1967,1897,1831,1704,1597,1554,1499,1426,1367,1313,,,,,,,,,,
西藏自治区,82,74,70,69,68,66,64,62,60,58,,,,,,,,,,
陕西省,1985,1931,1877,1770,1709,1621,1565,1506,1447,1374,,,,,,,,,,
甘肃省,1080,1036,999,953,925,891,856,822,792,764,,,,,,,,,,
青海省,290,280,272,263,252,234,226,221,215,213,,,,,,,,,,
宁夏回族自治区,355,340,328,319,303,288,278,269,260,252,,,,,,,,,,
新疆维吾尔自治区,1059,1007,982,962,940,860,845,820,778,747,,,,,,,,,,
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
