数据库：分省年度数据
指标：农村居民人均消费支出(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,14535.06,13563.91,,,,,,,,,,,,,,,,,,
天津市,13738.62,12491.15,,,,,,,,,,,,,,,,,,
河北省,8247.99,7377.13,,,,,,,,,,,,,,,,,,
山西省,6991.69,6457.75,,,,,,,,,,,,,,,,,,
内蒙古自治区,9972.24,9079.59,,,,,,,,,,,,,,,,,,
辽宁省,7800.75,7032.15,,,,,,,,,,,,,,,,,,
吉林省,8139.82,7523.44,,,,,,,,,,,,,,,,,,
黑龙江省,7829.99,7191.70,,,,,,,,,,,,,,,,,,
上海市,14820.08,13016.25,,,,,,,,,,,,,,,,,,
江苏省,11820.27,10759.01,,,,,,,,,,,,,,,,,,
浙江省,14497.81,12803.31,,,,,,,,,,,,,,,,,,
安徽省,7980.76,7200.33,,,,,,,,,,,,,,,,,,
福建省,11055.93,9986.15,,,,,,,,,,,,,,,,,,
江西省,7548.26,6807.40,,,,,,,,,,,,,,,,,,
山东省,7962.23,6877.28,,,,,,,,,,,,,,,,,,
河南省,7277.21,6358.74,,,,,,,,,,,,,,,,,,
湖北省,8680.93,7849.52,,,,,,,,,,,,,,,,,,
湖南省,9024.84,7832.64,,,,,,,,,,,,,,,,,,
广东省,10043.21,8937.76,,,,,,,,,,,,,,,,,,
广西壮族自治区,6675.07,6035.35,,,,,,,,,,,,,,,,,,
海南省,7028.97,6376.18,,,,,,,,,,,,,,,,,,
重庆市,7982.56,6970.65,,,,,,,,,,,,,,,,,,
四川省,8301.10,7364.79,,,,,,,,,,,,,,,,,,
贵州省,5970.25,5291.07,,,,,,,,,,,,,,,,,,
云南省,6030.26,5246.56,,,,,,,,,,,,,,,,,,
西藏自治区,4822.08,4101.57,,,,,,,,,,,,,,,,,,
陕西省,7252.37,6487.65,,,,,,,,,,,,,,,,,,
甘肃省,6147.78,5653.91,,,,,,,,,,,,,,,,,,
青海省,8235.14,7505.93,,,,,,,,,,,,,,,,,,
宁夏回族自治区,7676.49,6739.82,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,7365.32,7103.14,,,,,,,,,,,,,,,,,,
注：从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013-2014年数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
数据来源：国家统计局
