数据库：分省年度数据
指标：农村居民人均可支配收入(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,18867.30,17101.18,,,,,,,,,,,,,,,,,,
天津市,17014.18,15352.60,,,,,,,,,,,,,,,,,,
河北省,10186.14,9187.71,,,,,,,,,,,,,,,,,,
山西省,8809.44,7949.47,,,,,,,,,,,,,,,,,,
内蒙古自治区,9976.30,8984.92,,,,,,,,,,,,,,,,,,
辽宁省,11191.49,10161.21,,,,,,,,,,,,,,,,,,
吉林省,10780.12,9780.68,,,,,,,,,,,,,,,,,,
黑龙江省,10453.20,9369.01,,,,,,,,,,,,,,,,,,
上海市,21191.64,19208.31,,,,,,,,,,,,,,,,,,
江苏省,14958.44,13521.29,,,,,,,,,,,,,,,,,,
浙江省,19373.28,17493.92,,,,,,,,,,,,,,,,,,
安徽省,9916.42,8850.00,,,,,,,,,,,,,,,,,,
福建省,12650.19,11404.85,,,,,,,,,,,,,,,,,,
江西省,10116.58,9088.78,,,,,,,,,,,,,,,,,,
山东省,11882.26,10686.86,,,,,,,,,,,,,,,,,,
河南省,9966.07,8969.11,,,,,,,,,,,,,,,,,,
湖北省,10849.06,9691.80,,,,,,,,,,,,,,,,,,
湖南省,10060.17,9028.55,,,,,,,,,,,,,,,,,,
广东省,12245.56,11067.79,,,,,,,,,,,,,,,,,,
广西壮族自治区,8683.18,7793.08,,,,,,,,,,,,,,,,,,
海南省,9912.57,8801.73,,,,,,,,,,,,,,,,,,
重庆市,9489.82,8492.55,,,,,,,,,,,,,,,,,,
四川省,9347.74,8380.69,,,,,,,,,,,,,,,,,,
贵州省,6671.22,5897.77,,,,,,,,,,,,,,,,,,
云南省,7456.13,6723.64,,,,,,,,,,,,,,,,,,
西藏自治区,7359.20,6553.38,,,,,,,,,,,,,,,,,,
陕西省,7932.21,7092.20,,,,,,,,,,,,,,,,,,
甘肃省,6276.59,5588.78,,,,,,,,,,,,,,,,,,
青海省,7282.73,6461.59,,,,,,,,,,,,,,,,,,
宁夏回族自治区,8410.02,7598.67,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,8723.83,7846.59,,,,,,,,,,,,,,,,,,
注：从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013-2014年数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
数据来源：国家统计局
