数据库：分省年度数据
指标：居民人均消费支出_同比增长(%)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6.6,,,,,,,,,,,,,,,,,,,
天津市,9.4,,,,,,,,,,,,,,,,,,,
河北省,9.7,,,,,,,,,,,,,,,,,,,
山西省,7.4,,,,,,,,,,,,,,,,,,,
内蒙古自治区,9.3,,,,,,,,,,,,,,,,,,,
辽宁省,7.5,,,,,,,,,,,,,,,,,,,
吉林省,8.1,,,,,,,,,,,,,,,,,,,
黑龙江省,6.1,,,,,,,,,,,,,,,,,,,
上海市,8.8,,,,,,,,,,,,,,,,,,,
江苏省,6.9,,,,,,,,,,,,,,,,,,,
浙江省,9.4,,,,,,,,,,,,,,,,,,,
安徽省,11.2,,,,,,,,,,,,,,,,,,,
福建省,9.1,,,,,,,,,,,,,,,,,,,
江西省,10.3,,,,,,,,,,,,,,,,,,,
山东省,12.0,,,,,,,,,,,,,,,,,,,
河南省,10.0,,,,,,,,,,,,,,,,,,,
湖北省,9.9,,,,,,,,,,,,,,,,,,,
湖南省,11.2,,,,,,,,,,,,,,,,,,,
广东省,10.2,,,,,,,,,,,,,,,,,,,
广西壮族自治区,7.1,,,,,,,,,,,,,,,,,,,
海南省,11.4,,,,,,,,,,,,,,,,,,,
重庆市,9.6,,,,,,,,,,,,,,,,,,,
四川省,11.9,,,,,,,,,,,,,,,,,,,
贵州省,12.3,,,,,,,,,,,,,,,,,,,
云南省,11.9,,,,,,,,,,,,,,,,,,,
西藏自治区,16.0,,,,,,,,,,,,,,,,,,,
陕西省,8.8,,,,,,,,,,,,,,,,,,,
甘肃省,10.4,,,,,,,,,,,,,,,,,,,
青海省,8.9,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,10.6,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,4.5,,,,,,,,,,,,,,,,,,,
注：从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013-2014年数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
数据来源：国家统计局
