数据库：分省年度数据
指标：城镇居民人均消费支出(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,33717.45,31632.23,,,,,,,,,,,,,,,,,,
天津市,24289.64,22306.18,,,,,,,,,,,,,,,,,,
河北省,16203.82,14970.03,,,,,,,,,,,,,,,,,,
山西省,14636.88,13762.70,,,,,,,,,,,,,,,,,,
内蒙古自治区,20885.23,19243.98,,,,,,,,,,,,,,,,,,
辽宁省,20519.57,19318.42,,,,,,,,,,,,,,,,,,
吉林省,17156.14,15940.69,,,,,,,,,,,,,,,,,,
黑龙江省,16466.63,15704.09,,,,,,,,,,,,,,,,,,
上海市,35182.44,32447.19,,,,,,,,,,,,,,,,,,
江苏省,23476.28,22262.34,,,,,,,,,,,,,,,,,,
浙江省,27241.74,25253.51,,,,,,,,,,,,,,,,,,
安徽省,16107.07,14593.65,,,,,,,,,,,,,,,,,,
福建省,22204.06,20564.70,,,,,,,,,,,,,,,,,,
江西省,15141.78,13842.95,,,,,,,,,,,,,,,,,,
山东省,18322.60,16646.47,,,,,,,,,,,,,,,,,,
河南省,16184.46,15248.82,,,,,,,,,,,,,,,,,,
湖北省,16681.41,15334.47,,,,,,,,,,,,,,,,,,
湖南省,18334.66,16867.25,,,,,,,,,,,,,,,,,,
广东省,23611.74,21621.46,,,,,,,,,,,,,,,,,,
广西壮族自治区,15045.40,14470.08,,,,,,,,,,,,,,,,,,
海南省,17513.78,15833.50,,,,,,,,,,,,,,,,,,
重庆市,18279.49,17123.80,,,,,,,,,,,,,,,,,,
四川省,17759.93,16098.17,,,,,,,,,,,,,,,,,,
贵州省,15254.64,13768.22,,,,,,,,,,,,,,,,,,
云南省,16268.33,14862.33,,,,,,,,,,,,,,,,,,
西藏自治区,15669.36,13678.63,,,,,,,,,,,,,,,,,,
陕西省,17545.96,16398.59,,,,,,,,,,,,,,,,,,
甘肃省,15942.25,14411.35,,,,,,,,,,,,,,,,,,
青海省,17492.89,16223.36,,,,,,,,,,,,,,,,,,
宁夏回族自治区,17216.23,15806.87,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,17684.52,16858.08,,,,,,,,,,,,,,,,,,
注：从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013-2014年数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
数据来源：国家统计局
