数据库：分省年度数据
指标：农村居民家庭住房钢筋混凝土结构(平方米/人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,10.7,10.5,8.6,7.8,7.4,6.5,6.6,7.7,8.6,5.8,5.1,,,,,,,
天津市,,,5.8,5.7,7.7,4.6,4.6,3.8,3.5,3.2,2.1,1.7,1.3,,,,,,,
河北省,,,9.7,9.7,7.5,7.5,7.1,6.8,5.8,6.1,3.8,3.8,3.4,,,,,,,
山西省,,,8.3,7.3,7.3,7.0,6.1,5.6,5.9,5.5,4.2,4.1,4.0,,,,,,,
内蒙古自治区,,,1.3,1.2,0.6,0.5,0.4,0.2,0.2,0.2,0.0,0.0,0.1,,,,,,,
辽宁省,,,5.9,6.6,4.4,4.9,4.6,3.6,4.4,4.3,3.3,2.7,2.0,,,,,,,
吉林省,,,0.2,0.2,0.6,0.7,0.8,0.5,0.5,0.6,0.4,0.4,0.2,,,,,,,
黑龙江省,,,1.0,0.8,1.3,1.4,1.6,1.0,0.8,1.1,0.7,0.4,0.5,,,,,,,
上海市,,,27.5,21.9,39.1,39.1,36.0,38.8,32.9,31.6,45.3,45.7,41.3,,,,,,,
江苏省,,,26.5,26.2,26.9,26.3,25.0,25.2,24.5,21.6,15.4,14.4,12.4,,,,,,,
浙江省,,,43.5,43.0,43.7,42.2,41.9,38.6,37.0,36.9,28.6,27.3,26.0,,,,,,,
安徽省,,,21.8,20.1,18.8,18.0,15.5,14.3,13.7,12.4,11.1,10.4,9.5,,,,,,,
福建省,,,38.2,36.4,30.2,30.2,28.3,25.5,23.6,21.2,18.6,17.7,15.9,,,,,,,
江西省,,,37.9,37.0,27.5,26.9,24.3,23.1,22.3,19.9,15.3,13.7,13.4,,,,,,,
山东省,,,12.0,11.2,9.6,9.8,9.0,8.1,8.0,7.4,5.9,5.5,4.3,,,,,,,
河南省,,,20.1,19.3,17.3,16.4,14.4,13.8,11.2,10.4,8.7,8.1,7.2,,,,,,,
湖北省,,,26.7,24.9,24.1,22.9,22.2,20.0,19.4,18.3,16.0,14.0,12.7,,,,,,,
湖南省,,,20.6,20.7,17.0,16.8,15.9,15.7,14.9,13.6,13.1,11.8,10.9,,,,,,,
广东省,,,24.6,23.8,23.4,22.6,21.5,20.7,19.9,19.1,16.8,16.3,15.2,,,,,,,
广西壮族自治区,,,28.2,27.6,24.0,22.8,21.3,20.1,19.4,18.2,13.7,12.8,11.3,,,,,,,
海南省,,,12.7,11.1,7.8,7.4,7.0,6.5,5.9,5.5,4.4,4.5,3.6,,,,,,,
重庆市,,,20.8,18.5,14.4,13.0,10.8,9.5,9.3,9.8,9.8,8.3,6.1,,,,,,,
四川省,,,16.3,16.6,14.7,13.6,11.8,11.0,10.2,11.4,7.8,7.4,6.4,,,,,,,
贵州省,,,10.4,10.8,10.0,9.6,8.9,8.2,7.7,7.3,4.2,4.0,3.5,,,,,,,
云南省,,,10.0,8.8,8.3,7.6,6.4,5.6,4.6,4.0,4.2,3.9,3.4,,,,,,,
西藏自治区,,,0.8,0.8,0.4,0.3,0.4,0.4,0.9,0.3,,,0.0,,,,,,,
陕西省,,,18.6,17.8,13.7,12.7,11.7,10.7,9.7,9.5,9.1,8.7,8.0,,,,,,,
甘肃省,,,4.4,4.1,2.8,2.5,1.7,1.5,1.1,1.1,0.9,0.7,0.5,,,,,,,
青海省,,,4.4,2.5,2.3,1.7,1.4,1.1,0.9,1.0,0.5,0.4,0.4,,,,,,,
宁夏回族自治区,,,3.0,1.7,1.8,1.3,0.9,0.8,0.9,0.9,0.6,0.7,0.6,,,,,,,
新疆维吾尔自治区,,,2.8,2.3,1.8,1.5,1.3,1.2,1.1,1.0,0.6,0.8,0.8,,,,,,,
注：2013年前农村居民收支数据来源于独立开展的农村住户抽样调查。
数据来源：国家统计局
