数据库：分省年度数据
指标：农村居民家庭平均每人家庭设备及用品消费支出(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,773.5,714.5,473.6,528.0,402.6,340.2,303.5,326.9,227.3,216.3,224.9,,,,,,,
天津市,,,451.3,352.3,233.0,187.8,153.6,126.7,122.4,117.1,108.5,77.0,73.6,,,,,,,
河北省,,,349.9,316.9,218.9,170.4,151.9,140.5,115.8,101.5,80.4,71.7,68.6,,,,,,,
山西省,,,298.3,243.8,173.6,156.3,138.3,120.9,98.3,68.9,59.3,55.0,64.6,,,,,,,
内蒙古自治区,,,269.0,243.3,177.9,148.0,128.8,117.6,98.0,84.4,69.9,65.7,64.8,,,,,,,
辽宁省,,,250.5,225.4,185.2,185.5,158.9,142.1,112.2,100.4,72.6,68.4,69.4,,,,,,,
吉林省,,,251.9,232.3,171.9,168.4,124.8,121.0,105.1,81.9,62.1,57.6,64.3,,,,,,,
黑龙江省,,,229.7,209.7,164.6,161.0,130.0,105.0,79.3,73.8,49.9,48.6,57.5,,,,,,,
上海市,,,646.1,648.9,528.0,480.6,504.0,451.4,481.0,458.1,344.4,296.5,280.6,,,,,,,
江苏省,,,532.9,503.2,327.7,286.4,250.1,228.5,199.5,168.0,141.4,137.7,129.4,,,,,,,
浙江省,,,604.4,542.8,410.6,374.3,364.1,338.8,288.3,260.5,242.1,206.7,170.4,,,,,,,
安徽省,,,346.9,304.3,231.2,229.7,165.5,144.2,116.8,106.4,76.0,75.0,65.3,,,,,,,
福建省,,,426.7,357.1,292.7,260.7,222.9,184.2,167.3,154.4,154.4,146.7,139.8,,,,,,,
江西省,,,278.3,277.5,205.3,181.9,155.0,121.5,105.7,96.4,66.9,62.7,61.9,,,,,,,
山东省,,,405.7,411.6,324.7,273.8,240.9,196.0,158.7,136.5,110.1,92.2,96.3,,,,,,,
河南省,,,361.6,328.1,254.5,203.8,169.6,136.4,105.1,82.7,63.7,63.3,64.2,,,,,,,
湖北省,,,397.9,359.6,262.3,229.3,234.9,166.3,135.5,110.0,75.1,73.0,71.5,,,,,,,
湖南省,,,373.5,330.7,243.9,203.7,171.1,152.6,129.8,114.3,92.4,79.6,84.8,,,,,,,
广东省,,,378.5,301.3,235.0,206.4,189.0,163.9,148.6,152.1,131.2,121.9,134.1,,,,,,,
广西壮族自治区,,,274.6,241.6,192.8,157.9,124.0,112.2,110.1,95.5,64.9,63.7,65.0,,,,,,,
海南省,,,207.5,176.3,135.2,132.2,104.1,93.3,87.9,92.3,83.2,75.8,60.5,,,,,,,
重庆市,,,413.5,348.3,260.7,209.4,167.7,138.3,118.0,95.8,74.8,76.7,66.2,,,,,,,
四川省,,,333.2,301.0,239.5,219.6,164.0,142.6,114.1,102.1,79.1,64.9,63.2,,,,,,,
贵州省,,,211.4,192.8,135.6,115.4,94.4,70.9,64.9,61.7,41.5,41.5,49.0,,,,,,,
云南省,,,247.0,208.2,167.7,147.8,119.0,107.2,83.8,67.0,61.8,51.4,51.4,,,,,,,
西藏自治区,,,173.3,186.0,181.3,148.6,140.1,133.3,125.1,81.2,75.5,53.3,65.6,,,,,,,
陕西省,,,298.7,279.9,233.4,195.9,155.1,106.8,94.9,83.6,65.5,63.5,59.2,,,,,,,
甘肃省,,,250.4,198.1,146.9,142.7,95.6,91.4,78.7,74.1,58.9,57.5,44.5,,,,,,,
青海省,,,257.4,272.3,193.6,132.5,110.4,122.2,94.7,84.0,65.5,60.9,69.7,,,,,,,
宁夏回族自治区,,,305.0,264.6,188.1,169.0,123.9,109.3,104.3,77.2,65.3,56.1,69.8,,,,,,,
新疆维吾尔自治区,,,219.1,198.6,137.7,107.3,97.6,91.5,73.0,68.0,56.0,50.9,48.1,,,,,,,
注：2013年前农村居民收支数据来源于独立开展的农村住户抽样调查。
数据来源：国家统计局
