数据库：分省年度数据
指标：农村居民家庭平均每人医疗保健消费支出(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,1125.2,1035.2,840.6,867.9,709.4,629.6,575.8,504.2,507.6,356.3,337.9,,,,,,,
天津市,,,760.4,571.7,360.5,299.8,301.1,306.2,263.2,179.2,177.1,167.7,188.7,,,,,,,
河北省,,,543.7,434.7,344.3,289.3,219.3,188.1,166.3,134.8,116.0,101.6,99.1,,,,,,,
山西省,,,490.2,349.3,328.9,240.9,210.3,170.9,142.7,102.9,84.2,81.2,64.4,,,,,,,
内蒙古自治区,,,588.9,534.2,468.0,416.9,320.6,281.5,232.8,176.4,154.5,124.4,116.8,,,,,,,
辽宁省,,,548.8,482.9,413.8,409.6,283.4,265.0,267.9,233.5,145.2,132.6,115.8,,,,,,,
吉林省,,,840.5,673.6,462.4,511.5,380.7,311.4,256.3,193.6,161.2,153.8,132.1,,,,,,,
黑龙江省,,,727.0,573.6,443.2,434.3,351.1,272.5,253.8,253.5,131.0,135.2,120.2,,,,,,,
上海市,,,1029.0,908.6,584.5,738.9,697.1,571.1,549.4,561.7,424.5,332.8,280.2,,,,,,,
江苏省,,,724.2,645.6,362.3,323.0,290.9,263.9,232.3,198.6,163.2,142.1,142.5,,,,,,,
浙江省,,,746.1,921.3,709.3,609.1,532.1,452.4,459.4,415.6,326.1,306.3,266.5,,,,,,,
安徽省,,,510.1,440.5,264.4,227.1,199.4,177.0,165.0,133.7,91.9,87.1,73.0,,,,,,,
福建省,,,380.6,321.2,251.4,219.0,197.9,174.1,162.3,154.0,136.4,129.0,118.7,,,,,,,
江西省,,,380.4,346.7,243.8,232.8,205.7,167.7,159.1,154.7,110.3,92.0,80.9,,,,,,,
山东省,,,635.3,508.4,383.9,301.6,280.5,230.8,221.8,188.5,155.9,138.8,127.6,,,,,,,
河南省,,,468.8,399.7,287.8,242.9,215.0,173.2,140.6,123.4,95.2,91.4,73.8,,,,,,,
湖北省,,,591.9,438.2,295.2,236.3,210.4,178.8,172.4,135.4,110.7,95.6,90.5,,,,,,,
湖南省,,,497.2,396.5,293.6,258.1,244.2,220.0,196.5,168.2,124.1,105.2,102.8,,,,,,,
广东省,,,446.5,398.5,307.4,232.0,259.0,199.3,197.0,203.9,153.2,137.4,116.9,,,,,,,
广西壮族自治区,,,383.9,301.3,229.0,205.2,154.3,149.0,123.9,123.4,83.6,74.8,66.2,,,,,,,
海南省,,,306.5,290.1,138.4,129.3,123.8,95.6,110.9,93.0,86.6,96.1,62.3,,,,,,,
重庆市,,,482.2,375.3,270.3,242.6,197.2,168.6,159.7,142.6,115.3,89.4,75.9,,,,,,,
四川省,,,498.3,413.1,276.1,258.1,209.2,174.8,160.3,144.5,117.4,91.4,78.3,,,,,,,
贵州省,,,282.5,246.3,178.1,133.2,96.4,79.3,76.8,71.8,47.2,46.6,32.4,,,,,,,
云南省,,,362.6,309.3,239.9,197.6,182.0,167.9,138.2,122.3,87.7,79.9,69.0,,,,,,,
西藏自治区,,,82.7,65.8,71.2,71.5,53.8,50.0,54.4,44.4,28.9,21.3,33.0,,,,,,,
陕西省,,,619.9,533.4,376.2,329.3,251.2,222.5,195.6,165.8,118.1,106.7,103.1,,,,,,,
甘肃省,,,398.0,339.3,203.1,180.1,164.7,149.8,127.4,114.0,85.3,96.2,82.7,,,,,,,
青海省,,,520.1,308.1,307.9,291.3,270.1,229.3,192.8,152.3,126.6,115.7,118.0,,,,,,,
宁夏回族自治区,,,492.1,444.7,417.9,356.4,318.8,239.4,187.6,198.8,186.9,116.3,123.3,,,,,,,
新疆维吾尔自治区,,,444.2,376.9,314.7,316.6,244.6,210.7,189.7,169.3,142.0,116.5,99.8,,,,,,,
注：2013年前农村居民收支数据来源于独立开展的农村住户抽样调查。
数据来源：国家统计局
