数据库：分省年度数据
指标：农村居民家庭平均每百户计算机拥有量(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,66.7,62.9,59.3,52.3,45.6,41.5,36.1,29.9,28.0,20.7,14.8,,,,,,,
天津市,,,43.7,37.0,15.2,12.5,11.0,10.2,8.5,6.0,7.8,7.8,2.7,,,,,,,
河北省,,,30.4,25.6,9.7,6.1,4.1,2.8,2.0,1.2,0.8,0.5,0.4,,,,,,,
山西省,,,27.7,24.0,8.7,6.2,3.5,3.4,1.4,0.6,0.4,0.2,0.3,,,,,,,
内蒙古自治区,,,11.2,8.6,3.7,1.9,1.0,0.8,0.5,0.3,0.1,0.1,0.2,,,,,,,
辽宁省,,,20.2,16.7,10.0,5.9,4.0,2.4,3.2,2.6,1.4,0.7,0.4,,,,,,,
吉林省,,,20.8,15.9,7.8,4.6,2.4,1.2,0.3,0.2,0.2,0.8,0.1,,,,,,,
黑龙江省,,,19.2,15.3,11.4,7.9,4.5,2.6,1.4,0.7,0.8,0.5,0.1,,,,,,,
上海市,,,49.2,50.3,59.8,54.3,46.8,43.3,38.0,32.0,22.5,14.5,11.7,,,,,,,
江苏省,,,45.0,37.6,11.0,8.2,6.7,16.9,11.1,2.9,2.4,2.1,1.0,,,,,,,
浙江省,,,47.9,43.5,38.4,31.1,25.7,20.6,15.9,11.2,6.9,6.0,3.4,,,,,,,
安徽省,,,13.9,10.4,7.9,4.3,3.3,2.0,1.2,0.8,0.2,0.2,0.1,,,,,,,
福建省,,,36.2,31.0,23.6,17.9,13.9,10.9,7.5,4.9,5.7,2.5,0.9,,,,,,,
江西省,,,13.3,10.6,5.2,3.4,1.9,1.6,1.1,2.0,0.9,0.5,0.9,,,,,,,
山东省,,,31.5,25.2,16.7,10.8,5.0,3.5,2.4,2.3,1.8,1.8,1.0,,,,,,,
河南省,,,20.2,16.2,7.5,4.1,2.7,2.2,1.0,0.6,0.3,0.3,0.2,,,,,,,
湖北省,,,19.7,15.6,7.4,5.2,3.0,2.0,2.3,1.1,1.2,1.2,1.4,,,,,,,
湖南省,,,11.9,10.3,4.4,3.0,1.8,1.2,0.9,0.9,0.6,0.4,0.3,,,,,,,
广东省,,,31.7,29.5,19.5,16.2,14.3,12.5,10.2,9.3,6.3,5.0,7.0,,,,,,,
广西壮族自治区,,,11.7,9.6,4.5,3.0,1.4,1.0,0.9,0.5,0.3,0.1,0.2,,,,,,,
海南省,,,8.4,8.4,1.9,1.8,1.5,1.5,1.1,1.5,2.9,0.8,1.4,,,,,,,
重庆市,,,14.5,11.9,4.1,1.8,1.1,1.4,0.4,0.2,0.1,,,,,,,,,
四川省,,,10.0,7.9,4.9,3.7,2.2,1.6,0.8,0.6,0.5,0.1,0.2,,,,,,,
贵州省,,,4.9,4.1,1.7,1.0,1.1,1.1,0.7,0.4,0.1,0.1,,,,,,,,
云南省,,,6.2,4.0,2.4,1.2,0.8,0.6,0.4,0.7,0.7,0.4,0.5,,,,,,,
西藏自治区,,,0.5,0.3,0.2,0.2,,0.2,0.2,0.4,,,,,,,,,,
陕西省,,,17.9,16.6,6.7,4.6,2.5,1.5,0.7,0.5,0.5,0.3,0.3,,,,,,,
甘肃省,,,11.4,9.0,4.4,2.7,1.9,1.1,0.4,0.3,0.5,0.3,0.2,,,,,,,
青海省,,,8.8,5.2,2.0,1.2,1.0,0.2,0.2,,0.3,,,,,,,,,
宁夏回族自治区,,,14.9,11.8,7.2,4.0,0.8,0.7,0.2,0.2,1.2,0.8,0.5,,,,,,,
新疆维吾尔自治区,,,12.5,9.1,2.9,1.7,1.1,0.4,0.3,,0.3,0.1,0.1,,,,,,,
注：2013年前农村居民收支数据来源于独立开展的农村住户抽样调查。
数据来源：国家统计局
