数据库：分省年度数据
指标：农村居民家庭平均每百户彩色电视机拥有量(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,136.0,134.3,136.7,137.6,134.5,134.0,133.2,130.7,120.7,116.7,110.0,,,,,,,
天津市,,,125.3,122.4,123.7,123.0,122.8,120.5,118.0,116.5,107.8,105.5,106.8,,,,,,,
河北省,,,121.8,121.9,116.6,115.5,114.3,110.4,106.2,102.1,84.0,79.6,77.4,,,,,,,
山西省,,,109.2,106.9,109.0,107.1,104.1,102.1,98.4,82.3,77.7,74.1,70.3,,,,,,,
内蒙古自治区,,,105.6,106.8,98.7,97.5,94.8,93.3,90.5,87.1,70.0,65.2,56.7,,,,,,,
辽宁省,,,112.2,112.1,111.7,110.9,109.8,106.0,106.7,102.3,91.7,86.9,81.2,,,,,,,
吉林省,,,117.0,115.3,108.6,111.1,106.3,105.8,99.3,97.9,87.6,81.6,73.6,,,,,,,
黑龙江省,,,108.8,110.7,109.4,107.1,106.2,105.0,101.2,97.0,83.7,77.6,71.3,,,,,,,
上海市,,,189.5,187.5,198.0,190.2,185.5,178.8,166.8,157.3,137.2,125.2,119.5,,,,,,,
江苏省,,,144.2,140.5,142.1,134.7,129.1,125.0,118.1,104.7,84.3,75.1,65.7,,,,,,,
浙江省,,,172.2,168.3,166.0,162.3,154.8,148.3,141.5,133.6,116.7,109.7,103.5,,,,,,,
安徽省,,,116.2,113.5,112.1,106.1,102.8,96.7,91.8,84.6,67.6,59.0,52.2,,,,,,,
福建省,,,137.6,136.6,128.9,122.5,119.0,115.0,114.8,109.7,100.1,88.6,79.2,,,,,,,
江西省,,,120.5,117.0,106.9,103.8,95.8,96.1,90.0,82.3,62.2,52.0,41.6,,,,,,,
山东省,,,113.5,112.0,112.6,110.7,106.6,103.5,98.4,91.0,80.4,71.0,64.3,,,,,,,
河南省,,,111.2,110.7,106.3,103.8,100.1,96.8,88.8,81.7,63.1,56.0,48.9,,,,,,,
湖北省,,,116.2,114.4,109.2,105.4,102.2,98.8,92.1,83.2,68.0,56.3,44.3,,,,,,,
湖南省,,,111.2,109.0,96.1,93.5,89.6,85.3,80.9,73.6,57.3,49.6,41.0,,,,,,,
广东省,,,118.3,116.9,119.3,116.6,114.2,111.7,108.4,103.9,96.1,92.3,84.6,,,,,,,
广西壮族自治区,,,109.9,109.4,99.2,97.9,95.3,92.1,87.2,80.9,53.9,47.7,39.9,,,,,,,
海南省,,,98.7,97.5,102.1,99.0,90.0,89.9,85.1,77.4,76.5,64.6,57.2,,,,,,,
重庆市,,,107.8,106.5,97.7,95.3,94.3,89.3,84.0,79.2,63.2,53.3,47.9,,,,,,,
四川省,,,106.7,105.1,103.0,101.2,96.7,93.5,86.4,81.8,63.7,56.1,46.6,,,,,,,
贵州省,,,95.9,93.9,91.1,88.1,83.5,81.3,74.0,66.8,47.2,39.2,33.9,,,,,,,
云南省,,,101.8,101.1,96.2,92.3,89.0,84.1,77.5,70.5,63.4,57.5,49.0,,,,,,,
西藏自治区,,,106.5,104.7,74.0,68.1,60.2,54.0,57.3,48.5,32.3,26.5,19.0,,,,,,,
陕西省,,,113.5,111.9,109.0,104.4,100.2,97.2,94.2,88.2,72.5,65.9,58.6,,,,,,,
甘肃省,,,106.3,104.4,104.0,103.7,99.9,97.2,89.4,86.4,75.8,69.4,60.8,,,,,,,
青海省,,,107.1,104.2,99.5,97.2,94.0,90.5,86.5,81.2,63.3,56.8,45.7,,,,,,,
宁夏回族自治区,,,123.3,119.1,118.8,120.3,115.2,107.8,98.7,92.7,91.0,84.3,78.2,,,,,,,
新疆维吾尔自治区,,,96.9,99.0,89.9,83.6,77.0,76.3,68.3,61.8,51.4,45.7,38.9,,,,,,,
注：2013年前农村居民收支数据来源于独立开展的农村住户抽样调查。
数据来源：国家统计局
