数据库：分省年度数据
指标：城镇居民家庭人均食品消费支出(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,7535.3,6905.5,6392.9,5936.1,5561.5,4934.1,4560.5,4215.6,3925.5,3522.7,3472.1,,,,,,,
天津市,,,7343.6,6663.3,5940.4,5404.5,5005.1,4249.3,3680.2,3542.9,3278.2,2963.9,2607.0,,,,,,,
河北省,,,4211.2,3927.3,3335.2,3250.8,3155.4,2789.9,2492.3,2315.8,2142.4,1912.4,1795.3,,,,,,,
山西省,,,3855.6,3558.0,3052.6,3071.9,2974.8,2600.4,2252.5,2056.8,1917.8,1712.1,1531.3,,,,,,,
内蒙古自治区,,,5463.2,4962.4,4211.5,3772.6,3553.5,2824.9,2323.6,2177.6,2024.9,1705.6,1532.3,,,,,,,
辽宁省,,,5809.4,5255.0,4658.0,4680.9,4378.1,3560.2,3102.1,2861.0,2644.0,2395.0,2074.7,,,,,,,
吉林省,,,4635.3,4252.9,3767.9,3637.3,3307.1,2842.7,2457.2,2356.0,2180.1,1957.9,1809.5,,,,,,,
黑龙江省,,,4687.2,4348.5,3784.7,3397.4,3128.1,2633.2,2215.7,2071.6,1972.2,1784.0,1584.6,,,,,,,
上海市,,,9655.6,8906.0,7777.0,7344.8,7108.6,6125.5,5249.0,4940.1,4593.3,4102.7,4120.2,,,,,,,
江苏省,,,6658.4,6060.9,5243.1,4773.7,4544.6,3928.7,3462.7,3205.8,2931.7,2566.9,2441.9,,,,,,,
浙江省,,,7552.0,7066.2,6118.5,5604.7,5522.6,4892.6,4393.4,4140.3,3851.2,3558.4,3474.4,,,,,,,
安徽省,,,5814.9,5246.8,4369.6,4051.4,3905.1,3384.4,3091.3,2781.5,2509.0,2238.9,2045.3,,,,,,,
福建省,,,7317.4,6534.9,5790.7,5336.4,5078.9,4296.2,3854.3,3595.2,3394.6,3104.8,2881.2,,,,,,,
江西省,,,5071.6,4675.2,4195.4,3881.6,3633.1,3192.6,2636.9,2495.1,2296.5,1979.8,1843.7,,,,,,,
山东省,,,5201.3,4827.6,4205.9,3954.3,3699.4,3180.6,2711.7,2512.7,2310.7,2051.3,1927.6,,,,,,,
河南省,,,4607.5,4212.8,3575.8,3272.8,3079.8,2707.4,2215.3,2067.5,1855.4,1662.3,1517.0,,,,,,,
湖北省,,,5837.9,5363.7,4429.3,4160.5,3996.3,3456.0,2868.4,2625.4,2516.2,2279.6,2087.8,,,,,,,
湖南省,,,5441.6,4943.9,4322.1,4174.6,3970.4,3243.9,2850.9,2689.4,2479.6,2179.4,1985.9,,,,,,,
广东省,,,8258.4,7471.9,6746.6,6225.2,5866.9,5056.7,4503.9,4265.2,3953.3,3583.7,3460.4,,,,,,,
广西壮族自治区,,,5552.6,5074.5,4372.8,4129.6,4083.0,3398.1,2857.4,2906.7,2727.1,2306.0,2201.4,,,,,,,
海南省,,,6556.1,5673.7,4896.0,4507.8,4226.9,3546.7,3097.7,2820.0,2722.8,2463.0,2435.9,,,,,,,
重庆市,,,6870.2,5847.9,5012.6,4576.2,4418.3,3674.3,3415.9,3135.7,3015.3,2702.3,2419.0,,,,,,,
四川省,,,6073.9,5571.7,4779.6,4391.7,4255.5,3580.1,2838.2,2709.7,2560.4,2240.7,2156.2,,,,,,,
贵州省,,,4992.9,4565.9,4013.7,3755.6,3597.9,3122.5,2649.0,2458.3,2260.5,1968.2,1788.6,,,,,,,
云南省,,,5468.2,4802.3,4593.5,4460.6,4272.3,3562.3,3102.5,2997.1,2895.6,2506.6,2423.4,,,,,,,
西藏自治区,,,5517.7,5184.2,4847.6,4581.6,4262.8,3836.5,3107.9,3830.5,3799.2,3542.9,2837.3,,,,,,,
陕西省,,,5550.7,5040.5,4381.4,3988.6,3586.1,3063.7,2588.9,2401.5,2236.5,1960.3,1832.9,,,,,,,
甘肃省,,,4602.3,4182.5,3702.2,3359.3,3183.8,2824.4,2408.4,2352.8,2204.0,1908.1,1792.6,,,,,,,
青海省,,,4667.3,4260.3,3784.8,3548.9,3315.9,2803.5,2366.4,2267.4,2056.1,1986.5,1850.5,,,,,,,
宁夏回族自治区,,,4768.9,4483.4,3768.1,3432.2,3352.8,2760.7,2445.0,2228.6,2156.3,1919.4,1774.3,,,,,,,
新疆维吾尔自治区,,,5238.9,4537.5,3694.8,3386.3,3235.8,2760.7,2387.0,2257.4,2083.1,1987.4,1912.8,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
