数据库：分省年度数据
指标：城镇居民家庭人均交通和通信消费支出(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,3781.5,3521.2,3420.9,2767.9,2293.2,2328.5,2173.3,1943.5,1562.2,1688.1,1270.8,,,,,,,
天津市,,,3083.4,2699.5,2454.4,1968.4,1567.9,1309.9,1092.9,998.0,787.7,721.3,570.4,,,,,,,
河北省,,,1723.8,1526.6,1398.4,1151.2,1062.3,1010.5,875.4,772.3,596.0,607.8,509.2,,,,,,,
山西省,,,1672.3,1487.7,1340.9,1095.8,931.3,1028.0,825.2,604.4,587.0,478.1,406.2,,,,,,,
内蒙古自治区,,,2572.9,2003.5,1768.7,1557.0,1191.7,1123.8,928.5,755.5,699.7,596.2,503.0,,,,,,,
辽宁省,,,2323.3,1899.1,1773.3,1493.2,1295.7,1033.4,797.6,744.0,652.4,631.1,482.2,,,,,,,
吉林省,,,1780.7,1541.4,1363.9,1305.5,955.0,873.9,815.0,733.5,643.2,550.2,465.4,,,,,,,
黑龙江省,,,1462.6,1363.6,1191.3,922.8,749.1,746.0,665.0,597.0,548.4,499.7,411.0,,,,,,,
上海市,,,4563.8,3808.4,4076.5,3498.7,3373.2,3153.7,2332.8,1983.7,1702.9,1258.7,1114.9,,,,,,,
江苏省,,,2689.5,2262.2,1935.1,1721.9,1358.0,1303.0,1203.5,1050.9,765.2,686.5,499.7,,,,,,,
浙江省,,,4133.5,3728.2,3437.2,3290.6,2392.6,2473.4,2492.0,2097.4,1419.1,1224.0,899.3,,,,,,,
安徽省,,,1809.7,1365.0,1356.6,1013.4,920.8,891.4,788.3,676.9,564.9,502.7,462.4,,,,,,,
福建省,,,2961.8,2470.2,2196.9,1993.8,1777.1,1606.9,1232.7,1048.7,1055.6,867.8,647.9,,,,,,,
江西省,,,1501.3,1310.2,1270.3,1145.2,872.6,733.0,600.2,567.5,498.5,465.8,437.3,,,,,,,
山东省,,,2370.2,2204.0,2140.4,1719.7,1410.5,1333.6,1175.6,902.3,801.2,638.2,538.4,,,,,,,
河南省,,,1730.4,1573.6,1374.8,1034.0,915.1,858.3,762.1,636.6,569.9,533.9,477.6,,,,,,,
湖北省,,,1477.0,1382.2,1205.5,953.7,890.1,903.0,763.1,649.9,600.5,571.9,532.1,,,,,,,
湖南省,,,2084.2,1975.5,1541.4,1233.8,971.1,986.9,965.1,801.3,881.9,680.2,596.0,,,,,,,
广东省,,,4176.7,3630.6,3419.7,2979.9,2623.1,2966.1,2394.7,2333.1,1754.1,1272.8,1272.6,,,,,,,
广西壮族自治区,,,2088.6,2000.6,1973.0,1598.7,1376.0,932.9,785.0,703.4,584.1,608.3,607.0,,,,,,,
海南省,,,2004.3,1830.8,1805.1,1548.8,1303.5,1401.9,1154.9,728.3,701.9,601.9,649.8,,,,,,,
重庆市,,,1903.2,1718.7,1384.3,1189.0,1044.4,1118.8,976.0,929.9,865.5,790.3,615.0,,,,,,,
四川省,,,1946.7,1757.5,1674.1,1416.5,1121.5,1074.9,1009.4,827.7,769.2,586.8,501.2,,,,,,,
贵州省,,,1891.0,1395.3,1270.5,983.1,871.2,895.0,775.1,625.4,601.1,561.2,460.9,,,,,,,
云南省,,,2264.2,1905.9,2039.7,1587.2,1216.5,1034.7,1076.9,930.6,882.2,763.6,623.9,,,,,,,
西藏自治区,,,1387.5,1278.0,1230.9,1062.8,966.7,866.3,694.2,1310.0,1184.7,1183.9,1042.2,,,,,,,
陕西省,,,1788.4,1502.4,1194.8,1071.5,967.5,866.8,824.5,630.2,583.2,528.6,485.0,,,,,,,
甘肃省,,,1575.7,1289.8,1076.6,894.4,817.2,861.5,703.1,638.6,601.2,531.2,456.0,,,,,,,
青海省,,,1549.8,1293.5,1116.6,975.9,787.6,785.3,753.1,691.3,567.0,509.4,506.4,,,,,,,
宁夏回族自治区,,,2110.4,1637.6,1574.6,1363.6,1096.3,859.0,774.6,705.7,647.0,585.4,556.7,,,,,,,
新疆维吾尔自治区,,,1660.3,1377.7,1255.9,1198.7,1003.9,890.3,765.7,757.1,615.2,601.1,643.2,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
