数据库：分省年度数据
指标：城镇居民家庭平均每百户微波炉拥有量(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,88.1,86.8,89.8,87.9,85.6,87.8,90.8,89.1,86.9,79.2,73.1,,,,,,,
天津市,,,89.0,88.0,88.3,86.2,84.9,82.2,77.9,74.3,68.9,61.4,47.4,,,,,,,
河北省,,,53.4,53.6,50.1,48.6,47.2,46.8,44.2,40.3,30.9,26.9,20.1,,,,,,,
山西省,,,38.8,37.5,32.7,31.1,30.5,29.3,26.9,25.6,17.6,14.6,12.1,,,,,,,
内蒙古自治区,,,41.9,41.9,37.8,37.0,33.9,31.4,28.4,26.2,22.5,14.5,9.6,,,,,,,
辽宁省,,,60.2,56.8,60.6,59.9,56.0,50.0,44.6,41.9,37.4,31.4,24.3,,,,,,,
吉林省,,,55.0,48.8,46.9,45.4,42.2,39.0,39.0,35.8,30.9,20.4,16.8,,,,,,,
黑龙江省,,,38.3,36.8,36.0,33.4,30.8,32.7,29.9,29.1,20.0,16.1,12.7,,,,,,,
上海市,,,98.8,98.0,97.5,96.5,96.0,96.1,95.9,95.8,93.3,87.6,86.1,,,,,,,
江苏省,,,91.7,91.6,89.0,87.8,86.2,81.3,78.8,76.5,65.4,63.5,55.1,,,,,,,
浙江省,,,73.0,71.9,71.3,69.4,66.4,65.7,60.1,58.2,51.7,51.2,39.8,,,,,,,
安徽省,,,65.6,61.0,57.8,53.2,50.4,51.0,47.3,40.5,34.1,28.2,22.3,,,,,,,
福建省,,,80.2,79.6,79.7,78.2,75.8,73.0,74.3,70.3,68.3,56.9,46.0,,,,,,,
江西省,,,55.8,55.0,55.9,53.5,53.1,47.3,41.5,38.9,28.7,23.0,17.6,,,,,,,
山东省,,,56.3,54.7,52.8,50.5,47.9,48.3,46.3,42.9,35.6,31.9,26.2,,,,,,,
河南省,,,43.2,42.1,38.9,37.0,34.6,33.6,32.0,30.4,23.9,20.4,15.4,,,,,,,
湖北省,,,65.6,62.8,52.8,52.8,50.8,53.9,49.5,46.9,40.2,38.0,32.1,,,,,,,
湖南省,,,46.0,44.8,40.5,39.8,36.8,41.0,37.8,36.9,34.5,30.8,22.7,,,,,,,
广东省,,,71.9,69.6,69.9,68.1,64.0,65.5,64.9,61.1,58.7,54.6,48.0,,,,,,,
广西壮族自治区,,,72.5,70.2,66.8,64.8,62.9,52.1,48.2,51.1,39.8,33.0,29.7,,,,,,,
海南省,,,31.7,31.3,31.3,30.6,29.9,28.1,24.7,20.7,20.6,16.8,15.2,,,,,,,
重庆市,,,69.5,69.0,70.3,66.7,66.1,70.0,81.7,71.0,66.3,58.7,52.1,,,,,,,
四川省,,,56.1,55.7,54.5,51.8,47.7,47.8,47.5,42.7,37.0,32.1,25.1,,,,,,,
贵州省,,,47.6,45.8,45.7,45.3,43.8,43.7,39.3,35.2,32.7,28.1,23.0,,,,,,,
云南省,,,57.8,54.5,54.1,50.5,46.0,39.8,42.3,44.8,41.2,32.2,25.4,,,,,,,
西藏自治区,,,39.1,38.8,26.7,24.4,22.4,15.4,15.0,34.0,30.0,24.0,14.9,,,,,,,
陕西省,,,52.1,52.3,49.8,49.1,49.7,42.7,40.0,35.0,32.1,30.6,22.1,,,,,,,
甘肃省,,,38.8,36.2,36.2,35.0,31.3,34.9,33.0,28.1,22.3,17.6,11.1,,,,,,,
青海省,,,49.3,49.5,47.1,47.3,40.6,47.7,42.9,38.2,31.9,26.8,20.1,,,,,,,
宁夏回族自治区,,,42.7,43.8,42.1,40.4,38.1,35.7,33.1,30.9,23.1,20.6,13.1,,,,,,,
新疆维吾尔自治区,,,41.6,37.8,34.8,33.8,32.4,27.8,24.2,19.7,14.3,13.0,12.3,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
