数据库：分省年度数据
指标：城镇居民家庭平均每百户空调拥有量(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,178.7,171.4,169.2,162.7,152.5,157.3,157.1,146.5,135.7,119.3,106.5,,,,,,,
天津市,,,147.2,143.3,142.5,129.9,124.9,123.0,115.7,102.1,95.3,90.9,76.8,,,,,,,
河北省,,,104.2,103.2,90.4,84.5,82.4,87.6,86.7,81.4,61.6,55.9,47.1,,,,,,,
山西省,,,48.2,45.3,34.9,33.8,33.3,28.9,28.8,25.9,21.3,18.2,13.4,,,,,,,
内蒙古自治区,,,15.6,14.0,10.5,10.2,7.7,9.2,9.0,7.6,6.1,3.0,2.2,,,,,,,
辽宁省,,,29.1,28.1,30.7,29.7,26.9,17.0,15.0,14.3,12.1,11.2,9.7,,,,,,,
吉林省,,,14.7,12.9,8.5,6.2,6.2,5.6,5.3,4.8,3.8,3.3,2.5,,,,,,,
黑龙江省,,,10.0,9.3,8.9,7.9,7.6,7.3,7.0,7.2,5.8,4.9,3.7,,,,,,,
上海市,,,207.1,206.4,199.9,196.0,191.0,190.9,174.7,168.3,159.2,135.8,113.9,,,,,,,
江苏省,,,198.2,196.0,170.6,163.8,155.2,141.0,132.1,123.9,98.7,90.9,67.4,,,,,,,
浙江省,,,203.8,200.6,186.5,180.1,170.7,161.0,152.4,146.9,115.7,105.2,81.6,,,,,,,
安徽省,,,136.1,127.9,120.0,110.3,108.0,100.3,94.7,81.8,69.8,61.8,50.7,,,,,,,
福建省,,,199.8,193.3,184.6,175.4,164.3,149.9,145.9,134.9,126.6,99.9,74.5,,,,,,,
江西省,,,128.6,124.6,107.7,102.0,96.5,89.1,78.5,72.4,53.9,46.0,34.9,,,,,,,
山东省,,,112.3,108.3,100.2,95.0,89.7,85.7,82.0,74.4,61.7,52.3,40.3,,,,,,,
河南省,,,137.7,132.4,120.3,112.8,103.0,105.7,100.6,93.6,81.8,73.1,59.4,,,,,,,
湖北省,,,144.0,135.6,114.3,112.5,106.0,112.3,107.3,100.6,85.8,77.8,70.5,,,,,,,
湖南省,,,134.9,129.0,108.4,102.8,97.0,100.9,86.0,78.5,65.8,55.4,45.8,,,,,,,
广东省,,,226.9,211.6,206.9,196.2,187.5,184.0,174.8,168.7,156.0,142.0,125.5,,,,,,,
广西壮族自治区,,,139.0,133.6,112.4,106.3,100.6,86.6,82.7,82.2,64.0,46.8,39.0,,,,,,,
海南省,,,84.3,86.1,72.3,66.5,65.3,53.5,55.5,45.8,36.2,29.7,25.4,,,,,,,
重庆市,,,169.9,164.3,158.4,151.1,155.1,157.5,174.3,156.7,152.3,126.7,106.9,,,,,,,
四川省,,,120.9,112.6,101.5,98.4,86.5,73.1,86.7,77.1,65.9,56.2,38.0,,,,,,,
贵州省,,,21.7,20.5,17.0,17.5,16.3,14.7,9.7,10.7,6.4,4.6,3.2,,,,,,,
云南省,,,3.7,3.2,1.6,1.5,1.3,1.5,1.2,0.4,0.3,0.1,,,,,,,,
西藏自治区,,,14.8,13.5,6.3,6.2,5.8,3.1,3.4,5.0,5.0,4.0,2.1,,,,,,,
陕西省,,,114.1,113.7,100.9,100.6,99.9,85.7,80.4,70.4,65.0,59.3,45.2,,,,,,,
甘肃省,,,6.7,5.2,5.4,5.3,6.0,3.8,3.9,3.6,2.8,2.0,1.1,,,,,,,
青海省,,,2.3,2.4,1.3,1.3,1.8,1.1,0.8,0.0,1.0,0.3,0.1,,,,,,,
宁夏回族自治区,,,10.9,12.0,10.2,10.5,8.4,7.2,5.9,6.7,3.0,2.6,1.4,,,,,,,
新疆维吾尔自治区,,,13.7,11.9,12.4,11.2,11.2,6.7,8.6,7.0,6.2,4.9,4.9,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
