数据库：分省年度数据
指标：城镇居民家庭平均每百户淋浴热水器拥有量(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,98.7,97.2,98.0,98.1,95.4,98.9,98.1,97.0,94.1,85.4,83.5,,,,,,,
天津市,,,94.6,94.8,96.2,93.5,90.2,88.6,87.1,86.5,85.8,82.7,75.6,,,,,,,
河北省,,,88.2,86.7,78.1,76.6,74.7,74.4,71.6,68.1,69.4,66.5,61.8,,,,,,,
山西省,,,68.0,65.3,54.3,52.0,51.5,46.6,41.1,37.9,34.6,31.1,26.6,,,,,,,
内蒙古自治区,,,63.0,62.2,53.4,51.0,46.2,46.2,45.0,42.6,40.3,33.5,29.8,,,,,,,
辽宁省,,,75.8,73.1,71.2,70.9,66.6,66.2,61.5,60.5,60.5,57.7,56.0,,,,,,,
吉林省,,,64.1,58.5,50.1,47.9,44.7,43.2,42.9,42.5,40.9,34.5,34.1,,,,,,,
黑龙江省,,,45.6,42.5,36.0,33.4,32.0,36.1,32.2,30.5,30.8,26.7,22.9,,,,,,,
上海市,,,100.1,100.4,98.3,97.8,95.3,95.5,93.0,90.3,88.4,80.6,74.2,,,,,,,
江苏省,,,101.3,100.1,97.8,95.7,92.5,87.5,84.1,82.7,74.8,72.8,64.5,,,,,,,
浙江省,,,106.3,104.0,101.1,99.2,96.7,95.2,91.4,90.4,80.7,83.0,78.6,,,,,,,
安徽省,,,94.0,89.5,86.8,85.6,81.9,80.8,68.3,64.1,59.9,61.7,50.0,,,,,,,
福建省,,,112.3,110.5,110.5,109.0,107.0,104.7,103.5,101.0,98.5,94.9,89.5,,,,,,,
江西省,,,95.4,95.5,92.3,91.1,90.6,92.1,85.3,81.8,72.7,69.2,65.3,,,,,,,
山东省,,,92.9,91.7,88.6,87.0,85.0,80.3,74.0,72.4,69.0,65.8,59.3,,,,,,,
河南省,,,79.7,76.2,66.8,64.4,59.1,59.6,53.6,50.6,45.6,41.5,36.4,,,,,,,
湖北省,,,96.3,93.5,83.3,82.8,80.1,79.5,78.1,76.7,71.0,68.0,63.0,,,,,,,
湖南省,,,90.2,90.0,84.0,81.1,79.4,80.5,70.7,68.6,66.1,64.0,61.0,,,,,,,
广东省,,,113.5,112.3,109.7,109.9,109.7,110.6,108.2,105.2,105.2,104.9,101.3,,,,,,,
广西壮族自治区,,,110.8,109.1,104.3,102.8,100.2,96.3,94.6,97.1,96.7,94.0,89.9,,,,,,,
海南省,,,87.7,87.3,86.2,85.9,82.9,81.5,75.3,69.5,79.5,76.1,74.4,,,,,,,
重庆市,,,99.0,98.9,100.3,99.6,99.7,97.0,102.7,94.3,96.3,92.0,92.1,,,,,,,
四川省,,,95.7,93.2,88.7,87.2,85.6,87.7,91.1,88.2,84.0,82.1,79.6,,,,,,,
贵州省,,,78.5,75.1,72.4,72.2,69.4,68.6,58.3,55.4,50.7,46.3,40.0,,,,,,,
云南省,,,92.1,90.8,90.1,89.0,85.0,82.6,73.6,64.8,50.9,49.0,49.4,,,,,,,
西藏自治区,,,32.6,32.4,26.3,22.1,18.4,15.7,10.7,25.0,25.0,22.0,13.2,,,,,,,
陕西省,,,88.4,88.5,80.5,78.0,76.4,69.5,66.3,63.2,61.2,58.5,49.5,,,,,,,
甘肃省,,,66.4,64.6,62.3,61.4,57.4,62.3,58.9,59.9,55.7,49.2,45.8,,,,,,,
青海省,,,53.6,52.5,44.3,42.5,41.9,51.3,48.4,43.9,32.7,29.7,25.5,,,,,,,
宁夏回族自治区,,,84.2,81.6,75.1,71.5,67.3,63.9,64.7,60.9,55.3,50.9,46.4,,,,,,,
新疆维吾尔自治区,,,79.5,76.5,74.3,72.6,70.0,69.6,65.7,59.6,61.5,61.8,60.3,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
