数据库：分省年度数据
指标：城镇居民家庭平均每百户照相机拥有量(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,90.2,84.5,92.2,89.4,81.6,98.9,112.7,109.1,100.4,103.3,99.6,,,,,,,
天津市,,,58.9,58.9,62.8,58.7,58.0,62.8,59.5,52.5,54.3,56.3,55.3,,,,,,,
河北省,,,37.0,37.0,39.3,37.7,36.8,45.3,48.5,46.5,47.8,45.6,43.6,,,,,,,
山西省,,,32.6,31.0,29.3,27.2,26.2,34.0,36.3,35.2,40.4,38.8,36.9,,,,,,,
内蒙古自治区,,,33.4,32.5,34.9,34.9,31.5,35.1,36.9,35.4,33.0,33.7,33.6,,,,,,,
辽宁省,,,40.3,39.4,47.4,46.7,44.3,43.7,43.9,44.5,50.9,48.1,43.8,,,,,,,
吉林省,,,36.2,34.2,32.6,29.7,27.0,40.2,42.7,42.3,43.0,36.0,35.6,,,,,,,
黑龙江省,,,26.6,25.2,25.1,22.2,22.0,31.3,33.7,32.0,34.0,31.1,28.5,,,,,,,
上海市,,,97.6,94.2,95.0,91.3,86.0,89.3,86.5,85.4,80.1,70.0,76.6,,,,,,,
江苏省,,,50.8,50.9,48.3,46.4,44.0,47.8,47.6,45.2,42.1,41.7,44.1,,,,,,,
浙江省,,,53.9,53.0,50.1,47.9,45.8,52.2,52.5,51.4,51.5,50.7,48.9,,,,,,,
安徽省,,,34.9,32.2,29.7,28.0,26.5,32.0,38.3,35.8,34.5,33.6,32.1,,,,,,,
福建省,,,52.5,50.7,46.5,43.6,40.4,45.5,49.5,47.4,44.6,43.5,37.9,,,,,,,
江西省,,,35.8,36.0,33.8,31.7,31.5,35.8,37.9,37.4,34.7,32.1,32.6,,,,,,,
山东省,,,60.8,58.5,55.0,52.7,50.0,54.3,58.3,57.6,56.8,54.2,52.6,,,,,,,
河南省,,,37.1,35.2,33.6,31.6,28.1,38.0,39.1,38.9,37.9,37.0,34.1,,,,,,,
湖北省,,,40.5,36.5,33.4,33.7,29.4,37.4,39.0,38.3,41.7,42.8,43.4,,,,,,,
湖南省,,,30.7,27.7,23.7,24.2,22.3,29.8,36.9,38.3,39.7,38.7,33.9,,,,,,,
广东省,,,67.1,63.8,62.2,58.3,54.4,57.5,65.6,64.5,64.7,60.2,57.1,,,,,,,
广西壮族自治区,,,50.9,47.8,43.5,40.5,39.3,35.5,37.1,38.3,42.2,39.4,39.0,,,,,,,
海南省,,,19.5,19.6,21.9,21.1,20.8,22.1,24.6,21.9,21.5,21.8,22.5,,,,,,,
重庆市,,,33.2,32.9,33.9,32.9,33.1,43.8,51.3,50.7,52.7,48.3,46.2,,,,,,,
四川省,,,35.8,34.6,33.1,31.0,27.5,34.1,41.6,40.2,37.5,37.6,37.0,,,,,,,
贵州省,,,29.9,29.0,28.0,28.8,25.3,33.0,33.8,33.7,33.8,30.5,27.2,,,,,,,
云南省,,,41.3,36.8,39.5,37.2,33.1,40.4,47.2,45.1,47.3,49.9,48.9,,,,,,,
西藏自治区,,,47.7,44.4,37.5,34.3,33.0,36.5,33.6,56.0,55.0,51.0,53.0,,,,,,,
陕西省,,,50.9,50.2,46.7,44.6,41.7,45.5,42.9,41.7,39.8,41.4,39.0,,,,,,,
甘肃省,,,27.4,24.0,26.5,24.3,21.9,32.7,39.1,42.8,42.6,40.8,41.0,,,,,,,
青海省,,,22.8,22.3,24.8,25.1,22.7,39.5,37.6,41.7,46.0,45.3,42.3,,,,,,,
宁夏回族自治区,,,22.6,22.8,20.3,19.4,19.0,23.4,28.7,28.1,26.9,25.4,27.3,,,,,,,
新疆维吾尔自治区,,,33.8,29.2,26.8,26.3,25.3,33.4,39.2,37.4,40.3,39.9,40.8,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
