数据库：分省年度数据
指标：城镇居民人均总收入(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,41103.1,37124.4,33360.4,30673.7,27677.9,24575.6,22417.2,19533.3,17116.5,14959.3,13251.8,,,,,,,
天津市,,,32944.0,29916.0,26942.0,23565.7,21174.0,17828.2,15476.0,13563.3,12279.7,10971.6,9838.6,,,,,,,
河北省,,,21899.4,19591.9,17334.4,15675.8,14141.4,12336.0,10887.2,9616.8,8381.4,7608.4,7015.2,,,,,,,
山西省,,,22100.3,19666.1,16893.0,14983.2,13859.0,12468.4,10793.9,9538.6,8428.8,7446.9,6528.5,,,,,,,
内蒙古自治区,,,24790.8,21890.2,19014.2,16951.4,15195.4,12977.1,10811.9,9565.1,8488.1,7351.6,6341.3,,,,,,,
辽宁省,,,25915.7,22879.8,20014.6,17757.7,15836.3,13438.4,11230.0,9837.2,8706.5,7832.7,6941.4,,,,,,,
吉林省,,,21659.6,19211.7,16794.5,15155.2,13606.0,11798.6,10245.3,9123.0,8226.8,7311.2,6522.6,,,,,,,
黑龙江省,,,19367.8,17118.5,15095.6,13689.9,12264.1,10882.2,9721.9,8722.5,7803.4,6968.0,6333.7,,,,,,,
上海市,,,44754.5,40532.3,35738.5,32403.0,29759.1,26101.5,22808.6,20602.9,18501.7,16380.2,14395.8,,,,,,,
江苏省,,,32519.1,28972.0,25115.4,22494.9,20175.6,17686.5,15248.7,13330.0,11236.7,9912.1,8738.5,,,,,,,
浙江省,,,37994.8,34264.4,30134.8,27119.3,24980.8,22583.8,19954.0,17877.4,15881.6,14295.4,12682.4,,,,,,,
安徽省,,,23524.6,20751.1,17626.7,15691.9,14159.5,12499.3,10574.5,9184.6,7993.6,7155.9,6334.6,,,,,,,
福建省,,,30877.9,27378.1,24149.6,21692.4,19686.2,16983.3,15102.4,13407.6,12117.9,10816.3,9861.5,,,,,,,
江西省,,,21150.2,18656.5,16558.0,15047.2,13463.6,11984.0,10014.6,9042.5,7876.7,7153.7,6521.3,,,,,,,
山东省,,,28005.6,24889.8,21736.9,19336.9,17549.0,15366.3,13222.9,11607.8,10187.1,9057.6,8158.1,,,,,,,
河南省,,,21897.2,19526.9,17141.8,15408.0,13907.8,12083.0,10339.2,9146.0,8073.4,7245.0,6515.5,,,,,,,
湖北省,,,22903.9,20193.3,17572.8,15698.1,14174.3,12382.9,10533.3,9395.1,8522.1,7745.8,7142.2,,,,,,,
湖南省,,,22804.6,20083.9,17657.1,16078.1,14577.3,12997.9,11146.1,10106.1,9190.2,8145.1,7371.8,,,,,,,
广东省,,,34044.4,30218.8,26896.9,24116.5,21678.5,19618.9,17725.6,16249.9,14953.4,13451.1,11960.9,,,,,,,
广西壮族自治区,,,23209.4,20846.1,18742.2,17032.9,15393.2,13182.6,10624.3,10022.4,9324.0,8293.9,7756.9,,,,,,,
海南省,,,22809.9,20094.2,16929.6,14909.3,13598.6,11792.1,10081.7,8670.2,8121.9,7605.7,7174.2,,,,,,,
重庆市,,,24811.0,21794.3,18990.5,16990.3,15217.7,13441.2,12548.9,11079.2,9910.1,8671.9,7663.3,,,,,,,
四川省,,,22328.3,19688.1,17128.9,15323.8,13685.1,12009.8,10117.0,9003.6,8261.4,7488.5,6988.6,,,,,,,
贵州省,,,20042.9,17598.9,15138.8,13793.4,12185.6,11066.4,9439.3,8385.1,7518.7,6746.4,6107.3,,,,,,,
云南省,,,23000.4,20255.1,17478.9,15680.3,14118.0,12296.4,10848.1,9994.7,9546.3,8202.6,7690.2,,,,,,,
西藏自治区,,,20224.2,18115.8,16539.0,14979.0,13647.5,11951.7,9540.9,10659.3,10395.9,9696.8,8626.9,,,,,,,
陕西省,,,22606.0,20069.9,17064.7,15311.3,13847.1,11482.1,9938.2,8902.3,8043.2,7314.4,6747.0,,,,,,,
甘肃省,,,18498.5,16267.4,14307.3,12918.0,11669.3,10859.7,9586.5,8738.1,7990.7,7132.8,6524.3,,,,,,,
青海省,,,19746.6,17795.0,15480.8,14150.3,12867.3,11428.3,9803.1,8766.7,7785.1,7155.1,6499.3,,,,,,,
宁夏回族自治区,,,21902.2,19654.6,17536.8,15550.8,14118.6,11793.1,10002.0,8744.9,7748.5,6991.3,6409.4,,,,,,,
新疆维吾尔自治区,,,20194.6,17631.2,15421.6,13602.2,12478.6,11303.0,9689.1,8693.7,8201.8,7866.9,7452.6,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
