数据库：分省年度数据
指标：城镇居民人均财产性收入(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,717.6,696.6,655.9,586.7,452.8,530.8,270.5,190.4,146.5,174.7,82.4,,,,,,,
天津市,,,515.5,462.3,333.2,305.3,256.9,233.0,165.1,148.2,123.6,96.4,124.1,,,,,,,
河北省,,,338.5,318.4,324.0,193.7,224.9,163.8,113.5,117.5,109.0,118.8,98.8,,,,,,,
山西省,,,301.8,274.1,198.6,252.4,202.3,187.5,159.4,136.4,141.2,87.2,90.5,,,,,,,
内蒙古自治区,,,564.0,513.4,432.8,363.8,324.6,303.9,209.8,161.3,98.6,83.7,51.0,,,,,,,
辽宁省,,,493.0,333.6,249.6,239.8,248.0,263.7,146.5,95.6,79.4,63.3,58.1,,,,,,,
吉林省,,,324.0,235.3,163.8,145.7,97.7,131.8,117.3,80.7,69.7,100.8,68.5,,,,,,,
黑龙江省,,,186.1,141.3,102.1,88.9,122.8,98.3,99.3,73.0,46.0,38.0,23.4,,,,,,,
上海市,,,575.8,633.1,512.1,473.4,369.1,368.8,300.3,292.2,214.7,130.1,94.4,,,,,,,
江苏省,,,690.0,667.1,471.0,381.7,307.3,402.9,259.6,240.4,202.0,151.1,99.1,,,,,,,
浙江省,,,1465.3,1572.3,1470.1,1414.5,1324.9,1080.3,888.8,552.9,383.6,374.0,202.1,,,,,,,
安徽省,,,549.6,570.0,427.0,272.9,293.9,249.8,148.3,124.6,118.0,114.4,106.1,,,,,,,
福建省,,,1795.2,1752.8,1420.8,1172.8,952.9,739.9,508.7,448.0,348.0,285.8,146.8,,,,,,,
江西省,,,527.6,471.7,344.8,239.8,265.4,155.5,107.0,81.2,88.5,63.8,68.6,,,,,,,
山东省,,,704.9,615.7,490.2,412.8,346.9,304.7,220.7,151.9,116.8,109.8,79.1,,,,,,,
河南省,,,333.8,286.0,222.1,164.9,156.5,159.6,129.7,95.8,126.0,84.6,74.9,,,,,,,
湖北省,,,476.2,357.2,378.3,296.6,244.1,217.9,122.8,112.3,122.7,85.0,96.0,,,,,,,
湖南省,,,867.8,770.7,541.1,419.2,316.5,388.2,287.2,195.6,92.9,100.7,111.0,,,,,,,
广东省,,,1468.7,1243.0,956.6,736.6,701.3,649.4,565.5,417.3,371.3,307.5,228.5,,,,,,,
广西壮族自治区,,,883.7,844.9,576.9,493.4,441.2,449.4,189.8,176.1,174.2,169.2,142.1,,,,,,,
海南省,,,717.6,715.4,559.8,424.5,396.9,283.0,231.2,198.2,267.8,288.1,226.2,,,,,,,
重庆市,,,538.4,433.7,312.6,254.0,205.9,230.4,192.9,188.2,109.7,80.8,44.9,,,,,,,
四川省,,,633.8,523.2,378.1,305.4,262.9,297.5,260.2,211.4,197.4,183.5,130.4,,,,,,,
贵州省,,,355.7,356.4,213.8,134.3,110.9,161.3,120.9,90.3,54.2,55.1,53.0,,,,,,,
云南省,,,1000.0,1274.0,1162.1,1043.9,849.5,476.8,467.3,428.1,334.4,86.4,70.8,,,,,,,
西藏自治区,,,417.9,358.1,233.0,218.3,138.1,254.4,218.0,10.4,1.2,7.2,35.8,,,,,,,
陕西省,,,269.6,214.2,187.4,152.3,151.5,121.0,175.4,135.2,138.5,138.1,60.7,,,,,,,
甘肃省,,,259.6,161.7,72.2,59.5,65.3,71.4,32.1,39.6,53.4,41.4,52.8,,,,,,,
青海省,,,93.0,78.6,73.9,45.7,50.2,66.6,62.9,62.1,67.3,50.9,24.5,,,,,,,
宁夏回族自治区,,,160.9,198.5,189.5,281.2,182.7,147.4,89.2,64.4,60.0,82.5,41.0,,,,,,,
新疆维吾尔自治区,,,145.5,149.1,151.9,115.8,141.8,68.0,58.4,54.5,63.0,76.0,53.4,,,,,,,
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
