数据库：分省年度数据
指标：农村居民家庭人均财产性纯收入(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,1716.4,1537.0,1339.9,1268.6,1142.8,803.2,678.8,588.0,417.8,305.9,341.3,,,,,,,
天津市,,,921.0,742.4,368.4,267.5,463.4,162.0,126.4,152.9,93.7,140.7,72.7,,,,,,,
河北省,,,218.3,206.4,182.5,123.9,118.6,115.8,107.7,93.7,79.0,75.3,77.5,,,,,,,
山西省,,,140.8,170.4,214.2,205.1,153.1,135.8,74.5,62.7,35.5,24.2,15.2,,,,,,,
内蒙古自治区,,,323.0,337.6,164.3,137.3,114.9,117.1,84.8,73.1,56.1,51.7,20.6,,,,,,,
辽宁省,,,246.2,244.6,234.2,205.5,201.3,179.4,141.8,113.2,100.1,66.3,42.6,,,,,,,
吉林省,,,393.0,395.7,377.5,290.9,183.2,283.4,187.7,148.4,81.3,66.4,0.4,,,,,,,
黑龙江省,,,580.3,545.2,344.1,241.0,243.6,196.1,145.7,230.6,137.0,139.1,95.6,,,,,,,
上海市,,,1381.8,1244.1,970.3,932.8,849.8,690.1,558.2,457.5,303.8,236.2,207.0,,,,,,,
江苏省,,,458.5,414.3,398.9,325.6,253.5,226.8,178.5,150.4,110.3,94.3,61.2,,,,,,,
浙江省,,,588.5,555.7,525.4,487.9,437.5,362.7,311.6,278.9,295.9,250.4,192.1,,,,,,,
安徽省,,,111.8,106.0,142.0,117.0,119.0,102.0,52.8,44.9,46.1,36.2,31.2,,,,,,,
福建省,,,319.8,291.5,245.1,199.9,179.0,146.9,113.5,98.7,80.0,78.4,79.4,,,,,,,
江西省,,,120.9,111.5,100.2,80.4,66.6,56.0,35.1,25.8,24.5,28.9,20.7,,,,,,,
山东省,,,257.2,246.5,238.3,196.1,163.9,144.3,127.6,102.8,64.9,63.9,46.1,,,,,,,
河南省,,,135.5,108.1,59.3,56.0,53.0,52.7,40.4,35.8,28.2,38.6,32.5,,,,,,,
湖北省,,,65.9,84.5,106.9,58.4,40.8,37.7,25.9,16.8,16.2,15.8,14.1,,,,,,,
湖南省,,,112.8,112.2,101.6,81.2,57.1,39.9,42.5,42.1,41.9,32.3,29.0,,,,,,,
广东省,,,556.5,490.4,401.2,357.7,339.5,312.6,220.9,167.3,246.9,184.4,139.7,,,,,,,
广西壮族自治区,,,53.9,41.2,33.8,41.5,41.8,29.1,22.5,18.3,17.5,16.8,9.1,,,,,,,
海南省,,,173.3,85.8,107.8,56.1,53.6,66.1,49.4,55.6,60.5,53.3,30.6,,,,,,,
重庆市,,,175.6,139.7,90.5,67.8,50.9,43.8,27.3,30.7,33.1,34.2,17.2,,,,,,,
四川省,,,166.6,140.4,144.0,94.8,71.4,61.1,52.8,41.6,27.0,31.3,27.0,,,,,,,
贵州省,,,71.5,59.5,117.2,81.9,63.9,46.7,36.9,35.5,18.6,36.8,29.6,,,,,,,
云南省,,,234.2,219.0,176.8,127.5,109.8,86.4,82.2,75.5,71.8,67.2,60.4,,,,,,,
西藏自治区,,,127.7,113.6,169.1,148.3,185.5,173.5,156.0,217.2,115.0,,61.0,,,,,,,
陕西省,,,200.1,165.3,97.0,92.6,86.0,73.3,52.6,56.9,50.6,49.2,39.6,,,,,,,
甘肃省,,,112.1,82.5,39.9,34.1,19.5,23.2,52.6,20.6,25.8,17.0,17.3,,,,,,,
青海省,,,95.3,93.7,120.7,117.0,148.6,127.9,100.7,62.0,52.8,51.5,39.0,,,,,,,
宁夏回族自治区,,,101.6,116.4,98.7,63.1,65.7,58.1,53.4,48.6,52.2,68.8,57.3,,,,,,,
新疆维吾尔自治区,,,170.7,147.1,126.5,121.3,121.2,116.5,58.7,33.9,81.1,58.9,31.7,,,,,,,
注：2013年前农村居民收支数据来源于独立开展的农村住户抽样调查。
数据来源：国家统计局
