数据库：分省年度数据
指标：农业生产资料指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,99.1,101.1,108.2,112.6,104.4,100.6,118.6,106.9,101.6,106.8,106.7,99.8,100.4,100.2,101.5,97.5,98.7,104.3,108.0,120.9
山西省,99.2,102.5,105.4,109.4,102.0,101.6,118.7,106.2,103.6,113.3,107.3,98.4,100.9,101.9,102.5,94.1,95.8,104.3,111.5,129.3
内蒙古自治区,99.9,103.5,104.9,106.3,102.0,99.7,114.9,103.0,101.1,108.3,109.5,101.2,102.6,101.4,106.1,96.3,98.7,104.0,109.9,128.5
辽宁省,98.9,99.9,106.9,112.8,103.7,96.7,128.1,114.2,100.5,110.0,113.3,98.4,101.7,100.5,97.5,94.4,95.6,99.2,109.0,128.7
吉林省,95.1,100.8,106.8,111.4,99.1,96.4,127.3,106.0,97.2,109.2,106.3,101.0,100.4,101.1,98.9,97.6,97.2,99.8,111.5,130.2
黑龙江省,100.3,104.1,107.8,110.2,105.6,94.2,122.7,109.4,101.9,108.6,112.0,101.8,99.7,98.9,98.6,96.5,96.0,100.6,110.3,123.1
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,100.2,102.4,104.6,112.6,104.2,97.6,117.3,106.9,101.7,106.9,112.3,101.9,99.3,96.8,98.9,95.5,92.5,101.2,106.6,126.9
浙江省,99.8,102.8,104.2,110.8,102.9,95.9,118.9,107.3,99.6,105.8,113.2,102.9,99.5,99.7,100.4,95.8,92.4,99.7,106.7,129.8
安徽省,99.6,100.9,105.3,114.3,102.0,95.8,123.9,106.8,100.0,108.3,112.0,100.2,99.9,97.9,98.2,95.3,94.8,98.9,107.2,128.0
福建省,99.5,99.5,103.3,111.8,102.4,93.3,123.6,110.3,100.9,108.1,112.5,101.8,99.9,98.7,97.4,96.1,94.6,99.5,106.2,120.2
江西省,99.6,102.4,106.6,111.2,101.9,97.6,119.9,106.6,101.1,107.9,110.7,102.5,99.8,99.6,95.9,93.8,95.5,100.4,107.0,128.7
山东省,99.5,101.2,105.9,111.1,103.0,96.3,119.3,107.1,103.0,106.2,110.2,102.4,100.3,101.8,98.7,95.1,96.2,96.6,105.5,133.3
河南省,97.9,101.3,105.4,111.1,103.1,98.1,120.9,106.1,101.2,107.9,111.4,101.9,100.9,99.1,99.6,95.7,94.2,99.3,107.9,125.8
湖北省,97.9,103.1,107.2,113.5,101.9,95.3,127.2,108.0,101.4,115.1,111.3,100.8,101.0,99.3,97.6,93.9,91.9,96.0,108.6,129.0
湖南省,100.2,102.3,104.7,110.9,101.4,95.0,126.5,113.0,100.7,111.2,112.1,102.6,98.9,98.4,99.3,95.3,89.5,97.9,107.3,129.3
广东省,99.9,99.7,104.0,109.6,101.7,98.2,114.5,105.8,102.6,105.8,109.4,99.6,98.4,97.1,98.1,95.5,94.9,98.2,104.7,120.3
广西壮族自治区,98.9,99.9,103.9,112.2,101.9,94.2,124.0,114.4,101.0,110.5,115.3,102.4,98.2,97.7,99.9,96.4,92.1,100.3,103.8,130.1
海南省,105.3,101.0,104.3,115.6,107.3,94.0,114.8,107.1,100.7,108.9,111.3,104.8,101.7,99.5,98.0,97.1,98.4,100.3,106.8,115.7
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,98.8,101.5,104.7,112.4,103.6,101.2,116.6,109.0,103.3,107.2,110.9,100.8,104.1,97.8,96.2,95.2,92.9,100.9,114.0,130.8
贵州省,99.0,99.0,100.7,111.1,101.1,96.2,113.4,105.1,105.4,110.2,109.0,104.1,100.6,99.4,100.6,94.9,95.0,101.3,108.1,135.7
云南省,98.4,100.1,104.6,108.3,101.4,99.3,116.6,107.0,102.8,105.9,106.3,101.9,100.4,96.6,98.9,98.7,96.5,102.4,113.3,125.5
西藏自治区,100.9,101.8,101.6,102.6,100.6,99.1,103.2,101.0,100.4,100.6,101.3,102.8,,98.9,96.0,,,,,
陕西省,100.9,102.6,105.4,110.3,105.3,95.8,122.0,108.3,100.7,107.2,111.6,102.3,100.8,101.9,102.2,93.9,95.2,102.4,110.3,126.3
甘肃省,99.0,102.1,105.2,107.6,101.7,99.0,114.7,107.1,104.4,109.0,107.4,101.8,100.4,98.6,103.9,95.8,96.3,101.4,110.7,129.6
青海省,99.8,104.3,108.7,112.4,103.5,97.8,124.2,108.1,102.1,106.5,109.2,101.1,98.0,99.6,100.7,95.6,100.3,105.0,112.6,123.9
宁夏回族自治区,96.9,101.6,107.6,114.0,104.4,96.3,126.2,112.2,100.8,109.3,113.5,99.4,103.5,102.0,96.0,93.4,96.1,98.2,109.0,130.4
新疆维吾尔自治区,97.7,102.6,106.2,106.6,103.1,99.5,112.3,106.2,102.5,105.3,107.3,101.1,99.6,103.0,97.9,97.0,100.8,106.5,115.5,126.6
数据来源：国家统计局
