数据库：分省年度数据
指标：种植业生产价格指数(上年价格=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,100.1,105.5,107.9,101.6,109.8,106.2,106.6,106.1,100.6,107.2,103.2,101.9,,,,,,,,
天津市,103.1,106.2,109.9,102.0,115.2,105.8,105.5,105.7,104.7,103.5,103.1,110.8,,,,,,,,
河北省,97.2,106.8,103.1,106.0,124.1,102.4,105.0,111.0,102.3,103.9,107.1,111.8,,,,,,,,
山西省,101.4,105.7,103.4,107.7,114.7,104.6,104.0,112.8,101.0,104.2,109.1,105.5,,,,,,,,
内蒙古自治区,103.4,102.2,105.4,106.9,114.6,102.9,106.9,114.8,105.4,103.1,112.3,107.2,,,,,,,,
辽宁省,101.4,100.3,109.4,107.2,115.5,104.6,103.6,112.1,110.2,100.3,117.7,105.6,,,,,,,,
吉林省,104.7,98.9,107.6,113.3,114.2,106.2,102.0,112.3,106.0,100.8,119.8,148.1,,,,,,,,
黑龙江省,101.9,100.2,107.0,114.3,110.0,99.5,114.8,116.7,100.8,100.5,117.1,116.4,,,,,,,,
上海市,98.8,104.5,103.4,106.1,110.5,108.7,105.5,106.2,104.1,108.2,108.1,113.8,,,,,,,,
江苏省,102.1,104.7,105.0,109.0,114.8,105.0,108.7,103.8,102.7,100.3,125.0,110.8,,,,,,,,
浙江省,100.5,102.5,106.3,108.3,117.5,104.8,107.0,102.7,101.1,109.6,117.0,97.7,,,,,,,,
安徽省,100.7,103.8,103.0,106.1,114.8,103.1,109.6,109.9,100.9,97.3,117.7,108.4,,,,,,,,
福建省,105.9,104.7,104.7,108.8,115.3,103.3,106.7,107.6,105.5,105.1,104.7,101.3,,,,,,,,
江西省,102.6,100.9,105.9,110.7,112.2,99.7,108.2,109.5,103.9,98.9,122.6,106.2,,,,,,,,
山东省,102.4,111.0,104.3,102.0,126.7,105.4,107.6,111.3,103.2,103.4,111.4,110.2,,,,,,,,
河南省,98.9,102.7,103.2,103.8,120.5,106.0,108.2,110.4,104.1,99.8,118.4,116.3,,,,,,,,
湖北省,100.1,101.3,103.6,105.5,119.8,100.0,111.3,112.3,103.6,97.9,119.6,109.7,,,,,,,,
湖南省,100.0,101.1,103.1,116.1,118.1,100.6,113.9,111.8,101.9,103.4,118.1,113.2,,,,,,,,
广东省,102.4,106.3,106.9,108.6,111.7,98.8,109.2,104.7,106.1,104.5,108.9,103.2,,,,,,,,
广西壮族自治区,98.4,106.4,107.2,114.9,115.2,98.1,100.4,100.4,116.1,107.4,104.1,106.1,,,,,,,,
海南省,111.5,99.3,109.1,112.6,104.9,107.1,113.9,98.3,107.9,101.0,105.7,107.0,,,,,,,,
重庆市,102.6,103.1,106.0,113.8,109.1,104.2,108.9,108.6,100.4,102.2,120.3,105.5,,,,,,,,
四川省,101.0,102.3,107.6,110.5,110.7,103.5,111.2,110.7,104.4,103.9,121.0,105.1,,,,,,,,
贵州省,103.3,102.3,106.1,112.0,113.6,104.4,108.6,108.0,103.4,102.5,110.7,100.3,,,,,,,,
云南省,103.1,107.6,113.7,112.3,114.3,103.6,107.6,113.3,108.4,103.9,110.7,99.0,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,104.8,110.3,102.5,108.0,126.1,96.4,106.0,114.2,104.8,108.5,110.3,109.0,,,,,,,,
甘肃省,103.9,105.7,106.9,109.3,119.5,104.9,107.9,109.9,104.0,103.3,113.0,105.8,,,,,,,,
青海省,99.2,108.3,104.4,109.5,130.8,97.8,109.8,121.6,108.3,102.2,111.5,110.0,,,,,,,,
宁夏回族自治区,100.1,106.1,103.9,107.2,118.7,106.3,110.6,111.9,103.2,103.0,120.2,108.8,,,,,,,,
新疆维吾尔自治区,102.0,101.1,100.3,90.2,141.9,106.4,101.0,113.9,98.8,118.4,96.8,137.4,,,,,,,,
数据来源：国家统计局
