数据库：分省年度数据
指标：棉花生产价格指数(上年价格=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,100.0,,,100.0,,,,,,,,,
天津市,,113.7,98.9,92.3,118.9,108.7,101.3,106.2,102.6,94.3,106.4,128.8,,,,,,,,
河北省,,102.2,94.9,100.6,151.0,91.7,98.6,110.1,98.1,104.9,85.7,139.9,,,,,,,,
山西省,,108.3,102.5,102.5,146.9,107.3,96.1,105.3,97.5,99.7,94.3,140.0,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,,,,,,,,,107.8,,,,,,,,,
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,109.0,101.7,95.2,131.8,110.3,79.9,114.1,93.2,117.7,73.1,164.5,,,,,,,,
浙江省,,106.0,100.1,87.5,123.5,124.9,98.9,101.7,99.7,108.6,85.8,110.0,,,,,,,,
安徽省,,103.7,94.2,73.7,161.7,111.5,88.5,109.9,100.9,109.5,78.1,135.8,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,100.8,95.8,90.8,141.5,107.4,95.3,105.3,101.9,112.1,96.8,127.9,,,,,,,,
山东省,,106.3,84.9,121.5,151.7,101.6,102.3,108.3,102.0,92.8,88.6,141.3,,,,,,,,
河南省,,102.9,92.6,107.2,141.8,93.3,106.6,105.1,105.2,100.4,97.4,139.6,,,,,,,,
湖北省,,99.5,97.0,74.8,167.8,108.3,90.2,112.1,99.2,107.7,84.2,141.6,,,,,,,,
湖南省,,99.1,90.2,125.4,155.6,101.1,103.2,105.9,98.9,105.7,101.3,158.3,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,105.0,104.2,101.9,104.8,103.0,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,109.6,105.1,105.7,152.1,91.8,100.7,106.4,93.4,121.9,99.5,156.7,,,,,,,,
甘肃省,,107.2,88.9,101.7,176.2,98.1,94.6,103.8,100.7,98.2,86.8,152.8,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,105.0,99.2,80.1,181.4,115.8,88.6,106.5,95.7,122.6,87.8,162.7,,,,,,,,
数据来源：国家统计局
