数据库：分省年度数据
指标：烟叶生产价格指数(上年价格=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,,,,,,,,,,,,,,,,,
山西省,,,,,,,125.0,100.0,100.0,,,,,,,,,,,
内蒙古自治区,,122.2,103.7,99.8,100.0,107.1,118.5,115.8,117.7,87.7,105.4,,,,,,,,,
辽宁省,,,,,99.0,79.4,115.0,117.8,75.6,112.5,117.2,89.1,,,,,,,,
吉林省,,110.4,109.4,98.3,116.5,124.2,107.3,117.5,114.3,119.1,108.5,,,,,,,,,
黑龙江省,,106.1,114.0,,99.7,103.7,102.3,102.7,98.7,104.5,140.2,80.3,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
浙江省,,,102.3,108.7,,,,,,,,,,,,,,,,
安徽省,,113.1,120.2,108.5,,,,,,,,,,,,,,,,
福建省,,112.7,120.5,110.9,98.5,112.9,114.2,109.5,106.5,101.8,111.3,97.2,,,,,,,,
江西省,,112.7,119.8,110.2,100.3,115.0,111.5,103.8,100.6,108.7,123.5,102.0,,,,,,,,
山东省,,112.3,115.1,113.1,98.3,103.0,114.3,126.9,104.2,125.7,82.7,160.4,,,,,,,,
河南省,,105.6,112.3,117.1,103.9,105.1,120.1,108.6,104.9,104.3,95.1,115.7,,,,,,,,
湖北省,,102.4,110.4,114.0,110.3,106.6,116.8,109.0,103.5,104.4,128.5,104.3,,,,,,,,
湖南省,,104.4,114.2,109.3,107.7,99.2,125.9,114.9,95.1,95.3,130.7,90.3,,,,,,,,
广东省,,108.1,122.1,112.3,106.9,110.1,117.0,102.1,107.6,86.7,120.9,86.0,,,,,,,,
广西壮族自治区,,105.1,116.6,120.9,92.2,105.9,124.4,124.2,107.3,102.4,130.0,105.0,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,109.0,113.6,117.9,114.0,110.4,107.7,106.8,101.8,105.3,117.0,109.4,,,,,,,,
四川省,,107.9,102.8,105.0,103.1,104.4,122.4,105.5,106.1,105.1,106.4,104.6,,,,,,,,
贵州省,,103.2,114.0,108.9,104.2,109.4,113.9,106.7,103.4,104.8,109.5,83.0,,,,,,,,
云南省,,107.3,114.2,118.7,104.1,104.0,118.4,107.0,100.8,105.1,113.2,97.3,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,116.7,115.9,121.5,119.5,105.0,125.2,107.4,99.2,100.3,118.1,134.8,,,,,,,,
甘肃省,,,,100.0,107.0,91.2,123.7,107.9,79.6,92.4,111.1,107.7,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
