数据库：分省年度数据
指标：林产品生产价格指数(上年价格=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,111.3,107.8,109.1,152.6,83.5,103.5,128.5,122.6,108.3,111.4,100.9,,,,,,,,
天津市,,,,,,84.2,106.0,99.2,102.6,102.0,98.8,98.8,,,,,,,,
河北省,,83.0,106.8,107.0,108.1,104.3,89.0,105.1,118.8,100.6,112.3,95.0,,,,,,,,
山西省,100.8,116.1,108.1,109.9,109.1,101.1,100.7,103.8,102.0,102.2,106.3,98.6,,,,,,,,
内蒙古自治区,108.1,91.4,93.0,117.3,102.9,102.4,116.6,107.7,107.7,103.2,99.0,97.2,,,,,,,,
辽宁省,106.0,74.9,113.6,119.5,110.5,94.8,109.0,109.7,101.8,101.7,95.0,104.9,,,,,,,,
吉林省,104.9,92.3,107.8,114.4,114.0,100.1,121.2,107.8,,106.1,250.6,,,,,,,,,
黑龙江省,96.2,81.2,93.5,130.5,,,,,,99.6,83.8,,,,,,,,,
上海市,109.2,97.1,111.0,106.3,100.0,101.9,111.6,,,,,100.0,,,,,,,,
江苏省,104.4,104.6,104.5,107.0,131.9,96.8,96.5,102.7,103.8,104.8,99.4,101.4,,,,,,,,
浙江省,102.3,97.5,106.1,113.7,112.9,96.4,102.6,108.6,118.5,101.3,98.8,116.6,,,,,,,,
安徽省,102.3,104.0,106.8,110.7,106.4,97.6,106.5,109.0,107.9,107.4,102.8,97.7,,,,,,,,
福建省,101.7,106.4,105.7,110.1,107.6,101.5,115.2,107.5,103.8,104.0,102.3,101.5,,,,,,,,
江西省,101.8,103.8,105.1,108.7,109.9,99.1,114.7,108.9,106.0,108.1,109.1,103.3,,,,,,,,
山东省,99.9,103.9,101.9,105.6,114.6,90.1,109.6,115.8,104.3,101.0,110.2,90.1,,,,,,,,
河南省,106.2,103.1,105.3,101.9,,,105.4,107.2,104.4,104.9,103.8,103.5,,,,,,,,
湖北省,104.0,104.4,107.5,108.4,108.8,103.7,113.7,106.1,108.9,104.8,100.1,141.7,,,,,,,,
湖南省,104.9,111.5,104.1,107.2,112.9,106.5,118.8,115.6,104.2,99.8,111.1,107.6,,,,,,,,
广东省,103.6,105.2,101.8,108.7,112.6,98.9,103.1,104.3,109.9,103.9,108.3,100.7,,,,,,,,
广西壮族自治区,103.2,103.7,99.4,109.5,107.6,104.5,104.3,105.3,102.2,98.4,105.3,88.5,,,,,,,,
海南省,81.1,81.8,78.4,122.1,131.6,83.5,103.0,113.2,117.0,106.8,106.3,108.3,,,,,,,,
重庆市,103.2,102.3,103.8,113.5,104.3,111.4,112.9,110.7,106.4,100.6,,,,,,,,,,
四川省,103.9,102.1,104.4,105.0,104.2,101.0,109.6,105.6,99.1,102.0,104.4,111.9,,,,,,,,
贵州省,100.2,101.5,103.7,104.3,111.8,108.3,107.5,106.2,103.6,102.8,106.0,115.7,,,,,,,,
云南省,95.0,109.9,92.2,117.3,144.8,98.4,105.6,97.7,123.3,115.3,115.8,111.0,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,98.9,95.2,110.9,107.5,133.8,92.0,109.5,103.7,124.9,96.9,95.1,87.4,,,,,,,,
甘肃省,,,,125.0,144.9,92.9,115.9,100.1,113.5,99.7,100.0,86.3,,,,,,,,
青海省,,101.6,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,100.3,101.4,99.3,102.3,119.0,121.9,102.2,109.4,100.5,87.3,98.8,90.0,,,,,,,,
数据来源：国家统计局
