数据库：分省年度数据
指标：渔业产品生产价格指数(上年价格=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,97.5,99.0,112.6,107.9,102.9,96.3,111.7,107.1,100.5,98.4,106.5,110.0,,,,,,,,
天津市,106.1,112.6,100.8,103.8,104.5,106.5,118.7,99.3,102.7,103.2,104.4,92.7,,,,,,,,
河北省,101.7,93.9,104.9,111.6,125.1,103.8,102.4,112.0,97.7,107.1,127.0,106.1,,,,,,,,
山西省,97.2,88.4,97.0,102.7,110.4,77.6,158.7,116.5,96.4,102.3,102.8,98.6,,,,,,,,
内蒙古自治区,101.8,101.1,107.3,135.6,109.7,99.0,111.1,101.8,102.5,100.2,112.3,109.2,,,,,,,,
辽宁省,101.3,102.2,113.7,107.9,102.2,120.0,102.4,105.5,104.1,107.3,117.8,99.2,,,,,,,,
吉林省,96.4,103.5,110.5,115.5,110.4,95.3,106.3,102.2,99.3,100.2,87.3,90.5,,,,,,,,
黑龙江省,98.5,93.4,100.2,104.4,108.6,75.9,128.0,112.8,101.2,101.0,104.8,119.4,,,,,,,,
上海市,99.7,106.9,104.1,113.2,107.3,101.0,116.0,102.6,107.5,104.9,114.7,93.0,,,,,,,,
江苏省,103.1,104.5,110.1,109.5,105.6,104.8,108.4,102.5,103.6,102.6,111.9,97.7,,,,,,,,
浙江省,100.1,108.3,104.0,117.4,116.1,102.5,113.3,103.1,103.1,104.9,110.3,95.8,,,,,,,,
安徽省,102.9,107.6,110.8,112.5,106.9,106.0,107.3,104.5,108.4,105.6,110.1,103.1,,,,,,,,
福建省,96.9,102.1,107.0,111.0,113.7,97.1,109.0,108.8,103.3,103.8,107.0,101.0,,,,,,,,
江西省,103.7,107.8,112.3,104.3,105.4,100.1,110.8,102.0,101.5,105.0,110.6,97.5,,,,,,,,
山东省,98.0,103.1,105.7,113.2,113.8,100.0,111.9,106.0,111.6,103.3,110.0,105.8,,,,,,,,
河南省,106.0,110.8,106.2,105.7,102.0,103.2,121.1,109.3,104.7,103.0,109.3,103.4,,,,,,,,
湖北省,102.4,109.1,110.1,108.4,104.4,105.2,111.3,103.5,102.4,109.1,113.7,93.5,,,,,,,,
湖南省,102.7,104.9,104.6,108.1,107.2,105.0,116.5,107.1,100.9,105.4,111.8,101.8,,,,,,,,
广东省,105.4,102.8,104.5,107.6,109.3,94.2,115.9,104.2,98.7,104.6,106.1,98.2,,,,,,,,
广西壮族自治区,101.5,103.7,97.7,109.2,107.6,96.9,118.4,107.9,101.1,97.9,109.9,96.1,,,,,,,,
海南省,104.6,108.8,107.3,109.4,105.8,104.2,109.2,103.5,103.3,105.0,101.5,97.4,,,,,,,,
重庆市,104.7,102.0,108.1,108.2,102.2,104.7,110.4,105.9,101.7,105.7,107.8,100.9,,,,,,,,
四川省,102.5,104.4,105.3,106.8,104.0,103.8,115.1,106.7,102.1,106.5,109.4,102.3,,,,,,,,
贵州省,102.5,102.2,108.3,114.9,111.2,103.8,115.1,114.3,110.2,102.7,106.2,95.9,,,,,,,,
云南省,101.5,98.2,100.7,107.2,107.8,98.1,111.4,113.0,94.0,111.3,111.6,98.3,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,101.5,104.6,113.7,99.0,121.2,98.4,120.0,123.5,90.7,95.4,110.3,115.8,,,,,,,,
甘肃省,79.5,108.4,108.6,119.8,115.5,108.2,113.8,104.9,101.2,101.4,100.0,98.9,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,99.9,84.4,112.1,110.2,103.0,104.9,103.7,111.7,96.6,106.3,132.9,103.2,,,,,,,,
新疆维吾尔自治区,108.3,105.2,101.2,106.5,110.5,104.3,128.1,105.1,101.2,96.1,122.9,120.1,,,,,,,,
注：2011年渔业产品指标分类依据最新《统计用产品分类目录》有所调整。
数据来源：国家统计局
