数据库：分省年度数据
指标：花生生产价格指数(上年价格=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,125.6,94.2,122.7,104.6,100.4,,109.2,92.9,,,,,,,,
天津市,,,,92.5,,,106.7,97.5,,,100.4,100.0,,,,,,,,
河北省,,95.0,106.8,110.4,123.6,83.4,105.2,120.2,103.2,96.8,117.8,127.4,,,,,,,,
山西省,,,111.3,99.1,108.4,108.6,102.9,103.3,104.6,100.8,112.8,112.5,,,,,,,,
内蒙古自治区,,92.2,97.5,102.4,136.3,80.5,109.3,141.5,113.1,100.5,83.6,101.0,,,,,,,,
辽宁省,,89.2,116.2,107.8,108.1,89.1,102.8,129.9,110.6,97.4,108.2,138.2,,,,,,,,
吉林省,,97.6,111.2,114.2,123.2,104.6,91.2,140.2,101.8,95.6,121.2,,,,,,,,,
黑龙江省,,,,,,115.4,112.5,100.0,,,87.3,75.3,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,70.2,112.8,106.6,107.3,88.6,88.8,139.0,115.8,95.1,97.9,145.4,,,,,,,,
浙江省,,103.8,123.0,109.2,106.7,103.4,111.0,109.7,98.6,106.5,107.4,95.5,,,,,,,,
安徽省,,90.8,102.9,116.5,120.5,84.1,114.7,118.2,106.8,89.8,111.2,121.1,,,,,,,,
福建省,,105.5,104.9,113.7,116.5,94.7,113.6,108.5,106.5,106.4,106.6,101.5,,,,,,,,
江西省,,95.4,106.6,117.3,115.4,91.1,116.1,117.3,106.9,102.2,118.0,124.0,,,,,,,,
山东省,,93.1,109.5,113.7,132.4,81.3,118.4,121.0,103.8,95.8,113.2,131.4,,,,,,,,
河南省,,98.1,127.8,111.4,118.1,89.0,110.6,129.8,101.4,97.1,120.9,132.9,,,,,,,,
湖北省,,97.5,101.4,118.6,115.4,88.5,112.6,120.5,103.7,95.5,116.2,121.8,,,,,,,,
湖南省,,,,,123.0,84.9,120.1,121.0,106.8,92.6,121.3,124.1,,,,,,,,
广东省,,99.9,104.2,129.5,110.8,89.1,111.3,116.1,106.9,102.9,113.6,104.1,,,,,,,,
广西壮族自治区,,102.6,99.5,144.9,122.1,90.5,109.2,120.0,113.5,96.3,119.3,117.5,,,,,,,,
海南省,,95.0,117.6,122.3,115.0,91.9,118.8,112.3,109.6,95.0,119.2,104.6,,,,,,,,
重庆市,,105.0,108.0,107.2,111.3,96.4,115.3,109.4,100.6,103.1,127.8,112.4,,,,,,,,
四川省,,102.9,105.4,114.9,116.5,90.5,115.4,112.1,104.8,100.4,125.1,119.1,,,,,,,,
贵州省,,104.9,99.3,118.4,112.7,101.7,114.6,106.8,103.6,103.1,107.4,103.2,,,,,,,,
云南省,,107.5,107.6,102.8,111.6,102.1,109.0,115.9,105.1,108.0,114.3,105.8,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,105.7,107.6,111.3,123.7,83.3,112.4,128.9,102.9,106.5,112.7,135.3,,,,,,,,
甘肃省,,,,,,,,,,,100.0,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,99.4,94.2,,94.0,136.0,94.2,113.3,,,,,,,,
数据来源：国家统计局
