数据库：分省年度数据
指标：食品类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,106.2,102.7,113.6,108.1,100.1,115.7,113.8,102.4,101.5,111.0,103.9,,,,,,,,
山西省,,107.0,103.2,110.9,108.5,100.2,115.6,113.3,102.4,102.4,113.2,105.0,,,,,,,,
内蒙古自治区,,105.8,105.0,112.4,109.8,100.7,114.2,113.0,102.3,102.3,109.6,103.8,,,,,,,,
辽宁省,,104.1,103.2,111.5,111.6,102.9,111.7,115.7,102.9,102.1,111.4,106.5,,,,,,,,
吉林省,,107.0,104.0,111.8,109.4,101.7,112.0,112.5,103.3,100.1,114.2,104.5,,,,,,,,
黑龙江省,,106.1,103.8,112.3,109.9,101.2,115.0,116.5,105.2,99.9,112.4,104.0,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,103.9,104.0,112.1,109.7,101.2,112.6,113.5,102.6,104.2,110.9,102.9,,,,,,,,
浙江省,,103.9,104.9,113.5,106.9,99.1,113.3,111.5,101.7,103.1,113.7,103.6,,,,,,,,
安徽省,,104.1,104.1,112.4,107.2,100.3,114.3,111.9,101.3,103.9,110.5,106.8,,,,,,,,
福建省,,104.4,105.2,110.5,108.4,98.8,112.4,113.2,102.7,103.6,110.6,102.4,,,,,,,,
江西省,,104.8,105.3,111.5,105.8,100.3,111.6,112.4,101.4,102.4,110.7,103.3,,,,,,,,
山东省,,106.0,103.4,112.8,109.0,101.2,112.7,114.8,102.5,104.5,111.7,106.5,,,,,,,,
河南省,,105.9,102.3,112.7,109.5,100.6,115.7,116.3,102.2,102.9,115.2,105.4,,,,,,,,
湖北省,,105.7,106.2,112.9,106.4,99.9,116.8,114.4,101.9,104.7,113.6,103.8,,,,,,,,
湖南省,,104.4,103.1,110.8,105.1,100.3,115.9,116.6,101.4,102.5,112.9,104.7,,,,,,,,
广东省,,104.2,104.3,111.7,106.1,98.3,112.8,109.7,102.7,104.7,108.7,101.5,,,,,,,,
广西壮族自治区,,103.4,105.3,115.8,106.5,97.2,121.0,115.3,101.2,102.2,114.0,104.1,,,,,,,,
海南省,,105.3,105.0,114.2,109.1,99.5,115.8,111.9,102.7,103.3,110.4,104.1,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,104.2,102.9,112.8,106.2,100.6,110.9,114.9,103.3,101.8,112.4,102.0,,,,,,,,
贵州省,,102.9,104.6,113.1,109.4,97.2,117.9,118.1,102.2,101.6,113.6,103.8,,,,,,,,
云南省,,104.4,104.7,112.2,108.1,102.6,115.7,113.6,102.5,99.2,115.0,101.4,,,,,,,,
西藏自治区,,107.6,106.5,108.9,104.2,104.7,110.1,107.6,105.0,102.8,105.0,101.5,,,,,,,,
陕西省,,106.7,104.3,111.5,110.9,101.2,113.9,113.4,103.7,101.5,110.5,105.8,,,,,,,,
甘肃省,,106.0,104.5,109.7,107.2,103.1,116.1,113.8,103.3,101.0,107.5,100.5,,,,,,,,
青海省,,107.4,105.7,110.7,110.2,101.4,118.9,116.0,102.8,100.5,106.2,103.0,,,,,,,,
宁夏回族自治区,,107.6,103.9,114.4,109.1,101.2,119.4,115.2,104.2,101.9,112.9,104.0,,,,,,,,
新疆维吾尔自治区,,108.4,108.7,112.7,113.4,102.1,118.2,113.0,105.2,97.5,109.0,99.9,,,,,,,,
数据来源：国家统计局
