数据库：分省年度数据
指标：粮食类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,108.7,103.5,109.2,111.8,104.9,107.4,109.3,103.2,102.8,123.3,102.3,,,,,,,,
山西省,,111.6,102.1,108.3,107.7,108.0,107.9,105.4,100.9,103.1,124.6,102.7,,,,,,,,
内蒙古自治区,,105.6,103.2,110.1,110.8,104.9,108.6,105.5,102.3,103.8,123.6,100.4,,,,,,,,
辽宁省,,104.3,103.1,111.1,113.3,108.1,105.9,106.9,102.9,102.4,127.3,99.6,,,,,,,,
吉林省,,107.1,103.2,112.9,111.6,113.3,102.5,106.8,102.2,103.7,136.1,97.9,,,,,,,,
黑龙江省,,104.8,104.6,110.2,113.5,114.5,106.7,106.1,106.1,102.7,129.6,97.7,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.2,102.6,109.9,117.2,104.7,104.3,102.7,103.1,100.6,138.6,101.2,,,,,,,,
浙江省,,103.4,103.5,112.8,113.1,105.7,105.5,104.2,102.7,99.2,134.8,102.2,,,,,,,,
安徽省,,102.6,103.6,121.6,110.8,105.3,105.0,108.0,102.5,97.0,141.3,97.8,,,,,,,,
福建省,,102.2,103.1,115.1,116.8,101.2,103.8,106.5,103.2,99.1,127.7,107.0,,,,,,,,
江西省,,103.2,103.8,115.4,106.3,102.9,109.9,110.4,100.9,96.8,134.5,105.2,,,,,,,,
山东省,,108.8,103.1,109.3,112.4,106.0,104.8,107.5,102.7,99.8,130.1,106.0,,,,,,,,
河南省,,107.8,102.1,110.4,111.0,107.4,106.9,108.9,101.0,100.3,130.9,106.5,,,,,,,,
湖北省,,104.3,105.8,115.9,110.2,103.9,108.4,108.5,103.4,101.0,130.3,105.8,,,,,,,,
湖南省,,105.8,105.7,117.2,107.4,105.0,112.6,109.1,102.3,101.0,132.1,103.0,,,,,,,,
广东省,,102.6,103.7,112.0,106.9,102.1,107.4,106.8,102.3,101.6,121.5,101.0,,,,,,,,
广西壮族自治区,,102.0,103.7,117.0,107.2,104.3,110.8,104.8,100.5,101.2,120.1,109.0,,,,,,,,
海南省,,104.4,103.3,110.4,110.0,104.4,111.0,103.1,105.8,99.6,111.2,105.3,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,103.0,104.3,110.5,109.2,103.8,106.1,108.8,100.8,102.3,125.6,101.1,,,,,,,,
贵州省,,99.9,104.6,116.6,123.4,103.8,110.1,106.9,101.7,99.9,122.1,103.5,,,,,,,,
云南省,,102.0,103.3,111.5,112.5,103.7,109.0,105.8,101.5,103.6,124.9,102.6,,,,,,,,
西藏自治区,,104.6,103.5,111.9,105.8,102.6,104.4,103.7,102.2,104.0,108.6,99.5,,,,,,,,
陕西省,,109.4,102.4,108.1,112.3,106.1,107.0,106.7,103.2,101.7,122.9,105.3,,,,,,,,
甘肃省,,107.5,103.0,109.7,110.0,104.3,108.2,107.8,101.5,104.4,118.7,101.5,,,,,,,,
青海省,,107.8,101.5,107.2,112.6,104.3,109.6,108.6,104.1,101.9,114.6,101.4,,,,,,,,
宁夏回族自治区,,106.2,100.1,113.0,113.9,107.2,111.2,106.5,100.2,106.3,123.4,100.4,,,,,,,,
新疆维吾尔自治区,,106.4,106.8,108.0,110.3,104.2,113.7,107.1,102.6,102.5,118.1,94.1,,,,,,,,
数据来源：国家统计局
