数据库：分省年度数据
指标：床上用品类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,101.3,103.5,106.1,101.1,97.9,101.1,99.0,99.2,100.3,102.5,100.5,,,,,,,,
山西省,,100.7,100.5,103.7,95.3,98.5,99.7,99.4,98.7,99.9,98.7,100.5,,,,,,,,
内蒙古自治区,,102.2,101.3,101.9,97.7,97.3,101.6,99.5,98.7,99.0,101.7,94.5,,,,,,,,
辽宁省,,101.2,99.0,104.0,101.0,99.2,96.3,101.9,99.8,99.3,100.6,100.7,,,,,,,,
吉林省,,99.7,99.5,100.2,102.7,101.2,100.6,96.9,99.9,102.3,99.4,103.1,,,,,,,,
黑龙江省,,100.1,100.8,103.5,100.6,99.9,100.0,100.2,100.0,101.2,103.1,99.7,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,96.9,103.3,109.1,101.3,98.7,99.1,99.7,100.1,99.3,99.7,100.5,,,,,,,,
浙江省,,98.7,99.6,100.4,99.0,100.3,103.1,99.0,98.0,100.2,98.9,99.2,,,,,,,,
安徽省,,96.9,100.2,101.7,103.7,100.0,99.9,99.3,98.8,98.3,98.1,99.5,,,,,,,,
福建省,,98.1,101.7,110.2,94.9,101.1,100.4,99.5,99.4,100.4,100.4,100.2,,,,,,,,
江西省,,101.9,101.5,104.1,98.9,99.0,100.2,99.1,99.7,99.9,100.9,98.7,,,,,,,,
山东省,,100.3,102.6,98.6,98.3,97.2,96.0,100.6,100.2,98.1,99.4,100.4,,,,,,,,
河南省,,101.6,102.1,111.5,104.9,99.8,100.7,102.8,100.9,100.8,101.3,99.2,,,,,,,,
湖北省,,100.0,97.3,103.8,100.7,98.5,97.8,99.2,100.2,100.8,101.5,101.0,,,,,,,,
湖南省,,100.4,99.8,102.0,100.5,101.5,99.9,98.4,101.4,102.0,100.9,100.4,,,,,,,,
广东省,,101.3,99.0,103.9,99.8,99.1,101.4,100.8,100.4,97.9,99.1,99.2,,,,,,,,
广西壮族自治区,,103.5,98.0,105.9,100.3,103.5,116.6,95.2,100.9,100.1,97.8,101.9,,,,,,,,
海南省,,102.6,100.8,104.7,104.1,100.9,104.1,101.8,99.7,97.7,97.6,95.4,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,100.3,99.8,98.6,102.9,99.9,99.6,99.6,100.3,101.1,100.6,100.2,,,,,,,,
贵州省,,100.3,100.5,95.2,98.0,98.6,99.7,100.0,99.8,106.4,112.3,98.2,,,,,,,,
云南省,,100.6,102.3,100.2,97.8,98.7,100.2,100.6,100.1,98.5,101.3,98.9,,,,,,,,
西藏自治区,,100.9,101.1,100.3,100.1,99.0,100.0,101.3,100.3,99.0,102.0,101.4,,,,,,,,
陕西省,,102.1,102.1,105.8,100.7,98.4,100.2,101.0,99.5,101.0,102.9,99.1,,,,,,,,
甘肃省,,102.6,107.4,104.8,100.0,101.7,100.1,100.3,105.0,100.6,108.9,99.3,,,,,,,,
青海省,,100.3,98.1,101.9,103.3,101.1,100.0,100.4,98.4,99.8,100.5,99.1,,,,,,,,
宁夏回族自治区,,102.9,103.0,108.0,103.4,102.2,100.9,99.7,99.0,100.3,98.2,97.2,,,,,,,,
新疆维吾尔自治区,,100.3,101.4,101.5,99.5,100.0,100.7,100.7,99.4,101.1,97.8,99.1,,,,,,,,
数据来源：国家统计局
