数据库：分省年度数据
指标：音像器材类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,100.4,100.2,103.5,98.7,96.0,98.2,98.7,98.4,98.0,96.3,96.4,,,,,,,,
山西省,,,0.0,,96.7,97.3,95.4,86.0,85.4,96.5,96.9,98.8,,,,,,,,
内蒙古自治区,,100.0,100.0,99.8,99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
辽宁省,,99.6,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
吉林省,,99.3,99.2,99.9,97.6,91.3,98.4,99.9,97.7,98.4,95.5,100.0,,,,,,,,
黑龙江省,,100.0,100.0,100.0,98.1,98.2,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.1,100.2,103.0,99.1,97.5,95.7,97.3,95.7,94.7,95.1,95.7,,,,,,,,
浙江省,,98.9,98.7,99.4,100.7,98.2,99.9,98.4,98.4,99.9,97.8,97.9,,,,,,,,
安徽省,,99.4,99.1,100.5,101.9,99.8,98.9,100.0,99.9,99.7,100.0,100.0,,,,,,,,
福建省,,98.9,99.3,100.5,100.0,99.5,99.7,95.2,99.8,98.3,98.2,97.4,,,,,,,,
江西省,,99.1,99.7,99.9,100.0,100.0,100.0,100.0,100.0,99.8,100.0,98.3,,,,,,,,
山东省,,99.2,99.7,97.5,99.1,99.8,100.7,100.5,97.4,99.0,99.4,99.3,,,,,,,,
河南省,,100.0,99.9,100.0,100.0,100.0,99.9,99.6,99.5,100.0,101.0,100.0,,,,,,,,
湖北省,,99.8,99.8,99.7,99.7,99.3,99.2,99.5,99.8,98.9,100.0,99.8,,,,,,,,
湖南省,,100.6,100.9,100.4,99.9,98.0,98.5,99.2,98.2,93.7,95.8,98.3,,,,,,,,
广东省,,98.5,99.6,98.0,98.1,99.0,99.1,97.9,97.5,96.5,96.5,96.8,,,,,,,,
广西壮族自治区,,97.5,98.6,99.6,98.4,99.3,99.9,100.0,99.0,98.4,99.7,98.7,,,,,,,,
海南省,,99.6,96.0,95.6,95.3,95.7,96.5,95.6,95.8,92.0,99.6,100.0,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,98.4,100.1,92.7,98.1,97.8,99.1,90.4,78.3,99.5,99.6,99.9,,,,,,,,
贵州省,,96.2,94.5,96.5,106.8,92.0,90.2,97.0,98.6,99.8,97.9,98.1,,,,,,,,
云南省,,107.4,103.0,103.0,97.7,99.4,99.7,101.3,100.4,97.6,98.5,99.3,,,,,,,,
西藏自治区,,100.0,99.4,95.4,93.7,91.2,85.8,95.3,96.6,98.3,98.7,93.1,,,,,,,,
陕西省,,98.9,99.6,100.1,99.1,98.3,111.8,96.7,99.1,99.1,98.2,95.7,,,,,,,,
甘肃省,,99.2,99.8,99.7,99.8,99.7,104.0,98.7,98.2,103.3,100.8,101.0,,,,,,,,
青海省,,100.1,100.3,94.6,100.0,100.0,100.0,100.0,100.1,99.9,99.3,98.0,,,,,,,,
宁夏回族自治区,,98.3,98.4,98.0,93.1,91.7,95.3,91.5,100.3,91.5,90.8,93.2,,,,,,,,
新疆维吾尔自治区,,98.9,98.8,99.9,100.1,100.0,99.8,100.0,99.3,99.0,98.6,99.0,,,,,,,,
数据来源：国家统计局
