数据库：分省年度数据
指标：日用百货类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,101.9,103.3,105.1,100.5,100.9,103.7,100.8,100.7,100.4,98.5,99.0,,,,,,,,
山西省,,101.1,102.2,102.0,98.1,101.1,102.6,100.5,101.1,99.1,98.8,99.2,,,,,,,,
内蒙古自治区,,100.5,100.6,100.1,100.6,101.1,104.5,99.5,101.5,100.6,100.7,98.4,,,,,,,,
辽宁省,,100.3,100.7,101.1,100.6,100.5,102.3,101.0,99.8,99.2,101.9,99.6,,,,,,,,
吉林省,,101.0,99.7,98.4,99.4,100.9,105.8,98.9,100.0,99.7,99.5,99.6,,,,,,,,
黑龙江省,,101.7,102.7,101.1,100.3,104.0,103.3,101.3,100.0,100.6,100.1,103.1,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,101.5,101.6,102.8,98.9,101.1,103.7,100.1,100.4,99.2,99.4,99.3,,,,,,,,
浙江省,,100.0,100.6,101.8,100.2,102.0,103.7,100.0,100.1,100.8,102.2,96.3,,,,,,,,
安徽省,,100.9,102.0,101.7,102.3,100.6,102.5,100.5,100.6,100.7,104.3,98.2,,,,,,,,
福建省,,101.6,101.1,102.8,103.3,103.8,104.8,100.8,101.3,99.0,100.2,99.1,,,,,,,,
江西省,,101.2,102.9,103.0,101.5,100.1,102.6,101.1,101.3,100.7,101.5,99.0,,,,,,,,
山东省,,100.2,100.6,100.2,99.6,103.3,103.9,101.1,99.8,99.0,99.6,98.9,,,,,,,,
河南省,,100.9,102.3,102.9,100.6,101.4,106.9,101.0,100.3,99.7,100.9,96.9,,,,,,,,
湖北省,,100.0,101.0,103.4,101.2,101.5,102.7,100.3,100.5,99.3,100.9,99.6,,,,,,,,
湖南省,,100.5,100.0,100.4,100.6,100.5,102.3,100.9,104.1,100.8,100.0,97.7,,,,,,,,
广东省,,100.9,101.4,101.9,101.0,101.0,103.6,99.7,99.5,100.4,100.0,99.8,,,,,,,,
广西壮族自治区,,99.9,101.1,104.0,100.0,102.1,104.6,99.2,88.5,101.0,101.3,97.2,,,,,,,,
海南省,,100.2,101.7,102.6,101.7,100.4,104.9,100.4,101.3,101.7,101.3,100.9,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,98.6,98.2,102.2,101.1,100.3,101.8,98.6,102.9,99.1,99.6,99.9,,,,,,,,
贵州省,,100.1,99.4,100.9,104.4,101.7,102.7,103.5,98.7,100.9,105.8,98.2,,,,,,,,
云南省,,101.0,99.4,97.1,100.4,101.2,102.5,101.2,99.9,98.7,99.9,99.1,,,,,,,,
西藏自治区,,100.5,98.7,101.4,97.6,95.5,97.3,99.1,94.4,100.8,100.9,93.4,,,,,,,,
陕西省,,102.6,102.9,101.9,101.4,103.0,108.1,102.6,104.7,101.0,99.8,98.4,,,,,,,,
甘肃省,,101.5,100.9,101.0,101.4,104.8,106.8,102.1,101.3,99.4,100.2,100.3,,,,,,,,
青海省,,101.4,102.1,100.6,98.4,101.0,105.8,101.5,101.1,99.1,100.2,99.6,,,,,,,,
宁夏回族自治区,,98.6,101.2,102.2,98.1,104.6,112.4,102.6,100.6,102.0,101.9,98.6,,,,,,,,
新疆维吾尔自治区,,101.3,103.3,103.0,100.1,101.6,104.0,102.7,101.0,99.1,98.7,98.9,,,,,,,,
数据来源：国家统计局
