数据库：分省年度数据
指标：娱乐用品类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,100.0,100.3,100.5,101.7,98.0,99.8,100.5,99.0,98.9,97.1,96.4,,,,,,,,
山西省,,100.7,100.7,96.9,94.0,97.8,98.5,97.4,98.2,97.2,99.6,99.4,,,,,,,,
内蒙古自治区,,101.5,100.3,99.8,99.7,100.5,99.3,99.4,98.5,99.8,99.7,99.6,,,,,,,,
辽宁省,,99.8,99.4,99.6,98.2,100.1,97.9,98.5,97.2,97.2,97.3,94.5,,,,,,,,
吉林省,,99.8,102.0,100.6,95.2,100.0,99.7,100.3,99.5,100.6,99.6,102.3,,,,,,,,
黑龙江省,,100.2,100.0,100.0,97.5,100.0,99.8,100.0,100.0,99.1,97.8,98.7,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.3,101.7,101.4,98.8,96.6,98.8,99.2,98.9,98.4,99.1,100.0,,,,,,,,
浙江省,,101.8,101.0,100.5,98.7,98.2,100.2,99.5,98.9,99.5,98.9,98.2,,,,,,,,
安徽省,,100.0,99.5,100.7,99.5,99.3,100.4,99.3,99.6,100.6,100.6,104.3,,,,,,,,
福建省,,99.1,99.1,100.1,99.5,98.8,98.8,98.3,98.6,97.9,98.4,98.1,,,,,,,,
江西省,,98.9,100.4,101.5,100.4,97.4,98.6,97.7,99.6,99.1,97.1,97.6,,,,,,,,
山东省,,100.4,101.5,101.6,100.9,101.5,98.6,98.0,98.9,99.7,100.5,99.4,,,,,,,,
河南省,,100.5,100.3,100.6,98.9,98.1,99.1,99.2,99.6,99.4,100.0,99.6,,,,,,,,
湖北省,,100.0,100.0,100.9,100.1,99.9,99.6,99.6,99.1,99.5,99.1,98.8,,,,,,,,
湖南省,,100.7,100.0,101.5,99.4,101.8,101.8,100.3,99.8,98.6,99.8,99.8,,,,,,,,
广东省,,100.7,100.1,100.0,98.2,99.0,99.5,99.2,99.4,98.3,100.5,98.2,,,,,,,,
广西壮族自治区,,98.8,99.2,101.0,97.4,92.4,92.1,99.5,98.3,97.0,96.9,98.2,,,,,,,,
海南省,,99.9,99.9,99.9,97.8,98.2,97.1,98.7,100.0,99.9,99.7,101.4,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,99.6,100.3,100.1,98.4,99.5,100.0,97.9,99.8,99.5,99.3,99.1,,,,,,,,
贵州省,,100.9,103.1,100.8,99.6,99.4,99.4,101.5,100.0,102.3,98.1,102.9,,,,,,,,
云南省,,100.7,100.5,100.5,99.1,97.1,97.5,97.5,97.5,93.5,99.6,95.1,,,,,,,,
西藏自治区,,99.4,98.6,91.4,91.1,90.1,94.2,96.3,95.7,94.5,98.8,95.5,,,,,,,,
陕西省,,101.5,102.4,102.4,98.3,98.9,98.8,99.1,100.5,97.4,94.0,93.0,,,,,,,,
甘肃省,,99.7,99.8,99.9,100.3,100.5,100.1,99.2,99.2,100.1,97.2,98.2,,,,,,,,
青海省,,101.2,100.4,99.9,99.8,99.8,100.3,100.3,88.8,98.3,98.6,98.2,,,,,,,,
宁夏回族自治区,,98.7,98.6,100.3,98.3,91.2,90.7,97.3,97.8,97.3,96.1,95.3,,,,,,,,
新疆维吾尔自治区,,100.2,100.3,100.0,100.0,100.0,100.8,99.8,99.7,99.1,98.8,100.1,,,,,,,,
数据来源：国家统计局
