数据库：分省年度数据
指标：家具类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,100.5,101.9,101.8,98.8,96.9,101.6,100.5,99.9,100.9,98.6,97.5,,,,,,,,
山西省,,100.7,102.5,99.8,96.6,97.2,105.0,107.9,102.8,99.8,96.6,98.0,,,,,,,,
内蒙古自治区,,99.9,100.0,97.3,98.4,99.8,99.5,98.4,98.0,100.0,97.5,98.1,,,,,,,,
辽宁省,,100.1,101.3,101.2,99.6,98.8,100.4,101.7,99.9,95.8,99.4,96.8,,,,,,,,
吉林省,,100.8,101.6,103.7,100.3,99.9,99.7,99.8,96.3,99.0,98.5,96.7,,,,,,,,
黑龙江省,,99.2,99.4,99.7,100.4,100.4,101.0,100.8,100.0,99.1,98.1,98.9,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,99.8,101.3,105.8,97.9,98.9,100.6,100.4,100.7,100.0,99.5,100.0,,,,,,,,
浙江省,,101.9,102.6,101.7,100.5,100.5,102.7,103.4,100.6,99.7,99.6,97.3,,,,,,,,
安徽省,,98.1,101.1,100.8,100.4,99.4,103.6,103.8,102.2,102.2,99.1,97.1,,,,,,,,
福建省,,100.1,99.1,101.7,103.6,100.6,104.0,104.2,99.1,99.9,99.5,99.6,,,,,,,,
江西省,,103.7,101.0,99.9,100.6,99.6,101.4,102.1,101.3,98.8,97.4,97.4,,,,,,,,
山东省,,100.7,100.7,101.9,100.0,99.0,105.7,107.9,100.4,100.2,98.1,97.4,,,,,,,,
河南省,,101.9,102.8,101.8,99.3,99.0,100.2,101.9,99.5,99.0,98.0,97.5,,,,,,,,
湖北省,,99.5,99.8,102.5,100.2,99.8,100.8,102.0,98.7,99.2,97.9,100.2,,,,,,,,
湖南省,,101.0,101.5,100.5,101.3,97.5,97.5,102.4,100.6,99.6,99.7,99.8,,,,,,,,
广东省,,102.4,102.2,101.6,100.7,98.4,105.8,104.1,102.3,101.2,101.1,99.0,,,,,,,,
广西壮族自治区,,100.8,102.2,102.9,99.0,95.5,101.6,101.3,99.6,101.5,99.5,102.1,,,,,,,,
海南省,,100.4,102.6,112.5,104.8,99.2,105.9,106.8,107.8,100.7,100.4,98.2,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,99.2,92.0,100.7,102.0,100.5,100.4,98.3,101.0,100.0,99.7,99.2,,,,,,,,
贵州省,,100.2,99.3,96.1,99.4,103.1,101.8,99.0,99.7,101.1,92.2,92.5,,,,,,,,
云南省,,101.3,100.3,96.5,98.8,99.1,99.7,101.6,100.4,97.5,101.4,99.9,,,,,,,,
西藏自治区,,100.6,103.3,100.7,101.1,99.5,102.3,101.8,98.4,99.6,99.6,102.4,,,,,,,,
陕西省,,100.3,99.8,100.3,101.0,100.1,103.7,101.9,99.9,99.8,98.7,97.4,,,,,,,,
甘肃省,,105.1,100.4,101.0,100.2,101.7,104.4,104.3,100.8,100.9,98.3,97.8,,,,,,,,
青海省,,98.0,100.9,100.7,100.9,102.1,103.0,101.1,98.8,98.1,97.1,96.6,,,,,,,,
宁夏回族自治区,,101.6,100.2,102.3,101.3,101.4,103.1,99.6,95.4,94.4,94.3,91.8,,,,,,,,
新疆维吾尔自治区,,102.6,101.8,101.2,101.4,100.8,101.6,100.4,99.7,97.1,97.8,95.9,,,,,,,,
数据来源：国家统计局
