数据库：分省年度数据
指标：保健器具及用品类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,101.1,101.1,101.8,100.4,98.7,101.3,100.0,100.2,98.3,99.3,96.7,,,,,,,,
山西省,,99.8,100.7,101.3,100.4,99.0,99.3,97.8,92.4,97.8,98.0,91.1,,,,,,,,
内蒙古自治区,,100.3,99.3,99.3,100.3,100.1,100.4,99.7,99.8,99.5,99.5,100.5,,,,,,,,
辽宁省,,100.4,100.5,101.0,100.4,100.1,100.6,100.1,101.3,99.6,97.6,100.3,,,,,,,,
吉林省,,100.2,99.4,100.8,100.5,98.6,98.6,100.2,100.1,100.2,98.9,103.2,,,,,,,,
黑龙江省,,103.6,102.4,100.9,101.9,99.7,99.5,99.4,100.0,98.4,97.6,98.1,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.0,100.8,102.1,100.4,99.9,100.4,99.1,98.0,98.3,100.1,99.2,,,,,,,,
浙江省,,101.4,108.1,106.2,102.0,103.0,105.7,101.9,100.4,100.2,93.8,96.9,,,,,,,,
安徽省,,101.3,103.6,111.1,104.8,100.6,100.3,101.7,100.2,100.4,102.1,100.6,,,,,,,,
福建省,,103.4,103.2,103.2,100.1,100.3,99.8,99.5,99.0,98.5,97.2,98.3,,,,,,,,
江西省,,101.7,102.3,101.2,100.7,100.4,101.1,101.0,99.9,98.2,96.2,96.9,,,,,,,,
山东省,,100.4,102.0,103.0,103.5,100.8,100.3,100.7,99.4,100.1,99.1,98.9,,,,,,,,
河南省,,100.7,99.8,100.7,101.1,102.2,100.8,100.1,99.2,98.7,98.9,100.3,,,,,,,,
湖北省,,101.5,101.8,102.1,100.5,101.2,99.5,99.9,100.6,101.0,97.2,92.5,,,,,,,,
湖南省,,102.3,102.5,105.0,100.5,100.7,101.2,100.2,99.5,101.0,100.5,93.0,,,,,,,,
广东省,,101.0,101.2,101.6,101.1,100.0,99.5,100.7,100.3,98.5,97.2,97.4,,,,,,,,
广西壮族自治区,,101.4,100.6,100.0,99.2,116.8,113.4,100.8,102.3,95.7,100.0,100.1,,,,,,,,
海南省,,100.3,99.6,100.2,100.3,102.8,103.7,98.0,98.3,95.6,100.4,101.6,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,100.1,102.5,103.0,100.8,99.7,101.6,96.8,96.7,100.5,99.0,97.0,,,,,,,,
贵州省,,99.8,99.4,100.1,100.3,100.1,101.2,100.8,99.3,97.9,99.1,95.8,,,,,,,,
云南省,,100.6,100.8,99.7,99.0,102.3,102.3,100.0,98.6,96.2,98.9,100.0,,,,,,,,
西藏自治区,,100.2,99.9,99.4,100.7,101.6,102.3,98.8,100.2,99.1,96.3,99.5,,,,,,,,
陕西省,,102.9,101.7,100.7,101.0,99.3,100.3,99.6,99.4,97.8,98.6,98.3,,,,,,,,
甘肃省,,99.2,101.9,102.8,99.8,100.6,101.0,97.7,101.3,99.5,94.5,99.4,,,,,,,,
青海省,,101.1,99.7,96.1,101.2,101.2,99.0,101.6,98.0,96.8,91.2,95.5,,,,,,,,
宁夏回族自治区,,108.4,103.3,111.8,102.7,97.9,103.9,99.9,99.5,98.7,93.9,99.7,,,,,,,,
新疆维吾尔自治区,,102.0,98.9,99.5,101.4,100.8,100.3,99.4,100.8,97.2,97.5,97.7,,,,,,,,
数据来源：国家统计局
