数据库：分省年度数据
指标：书报杂志类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,100.0,100.0,100.1,100.4,105.3,101.1,100.5,100.7,100.0,101.2,100.7,,,,,,,,
山西省,,101.8,100.7,100.0,100.1,108.6,100.6,99.8,100.3,101.6,98.9,99.8,,,,,,,,
内蒙古自治区,,100.0,100.2,102.3,100.0,101.4,100.0,101.3,100.8,100.0,100.0,101.6,,,,,,,,
辽宁省,,100.6,100.7,100.9,102.0,109.0,102.5,101.2,100.5,100.3,100.5,99.8,,,,,,,,
吉林省,,100.0,100.1,100.0,101.8,101.9,100.0,98.5,103.4,100.7,101.9,101.0,,,,,,,,
黑龙江省,,100.7,100.2,100.9,100.3,103.5,100.0,100.0,100.0,99.2,100.4,100.0,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.0,101.1,100.2,103.7,112.7,107.2,100.7,99.7,100.4,101.3,99.6,,,,,,,,
浙江省,,100.1,100.8,107.0,100.9,104.2,100.1,102.0,100.2,100.2,101.2,100.2,,,,,,,,
安徽省,,100.2,102.8,100.4,100.8,101.4,100.1,100.6,100.0,100.3,99.7,100.2,,,,,,,,
福建省,,101.6,104.0,101.4,100.5,113.2,102.1,102.0,100.3,100.3,100.8,100.5,,,,,,,,
江西省,,100.2,100.4,100.1,101.0,104.5,100.5,100.1,102.7,100.5,100.8,102.4,,,,,,,,
山东省,,100.7,100.8,100.0,100.1,103.3,101.7,100.7,102.0,101.3,100.2,99.9,,,,,,,,
河南省,,101.9,101.3,100.4,100.2,106.5,101.4,101.6,100.8,100.1,100.1,100.7,,,,,,,,
湖北省,,103.7,103.0,100.4,100.3,105.7,100.7,100.4,100.1,99.8,100.4,100.5,,,,,,,,
湖南省,,101.4,101.3,100.1,100.6,102.6,101.1,100.0,99.5,101.1,101.0,99.7,,,,,,,,
广东省,,101.9,100.2,101.4,100.7,103.7,100.3,100.6,100.3,102.0,100.4,99.8,,,,,,,,
广西壮族自治区,,100.2,100.1,100.7,100.0,108.7,101.1,100.3,100.2,100.4,102.1,103.3,,,,,,,,
海南省,,100.3,101.4,100.2,100.3,101.9,100.0,99.9,99.7,99.9,100.5,100.0,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,100.7,101.3,100.0,101.1,105.9,100.9,101.5,100.2,99.7,100.9,101.1,,,,,,,,
贵州省,,101.9,101.4,101.9,101.5,103.7,103.9,99.8,103.3,102.2,100.4,102.4,,,,,,,,
云南省,,100.1,101.0,100.5,101.3,101.8,100.5,99.9,100.6,96.1,100.3,101.5,,,,,,,,
西藏自治区,,101.6,101.6,100.8,102.4,107.1,101.1,101.7,99.9,100.3,99.9,99.3,,,,,,,,
陕西省,,101.3,100.7,100.6,100.9,105.0,100.5,101.3,100.4,100.5,100.2,100.0,,,,,,,,
甘肃省,,99.3,99.7,101.0,104.4,103.1,104.0,103.3,105.6,100.0,100.4,101.0,,,,,,,,
青海省,,102.6,102.2,104.2,100.2,109.2,105.3,105.2,100.5,103.0,100.2,100.2,,,,,,,,
宁夏回族自治区,,100.3,102.2,101.7,102.3,109.1,100.6,100.7,100.4,99.9,99.4,98.8,,,,,,,,
新疆维吾尔自治区,,101.1,101.6,103.6,100.6,103.6,99.9,100.7,101.1,104.8,106.1,100.7,,,,,,,,
数据来源：国家统计局
