数据库：分省年度数据
指标：电子音像制品类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,100.6,100.2,99.8,99.2,98.1,98.6,102.1,99.5,99.1,98.7,101.7,,,,,,,,
山西省,,100.0,99.6,99.6,98.3,99.9,100.1,102.7,99.7,100.4,99.7,98.7,,,,,,,,
内蒙古自治区,,102.5,100.1,100.0,100.0,99.9,100.0,98.9,100.1,98.4,99.1,99.0,,,,,,,,
辽宁省,,97.4,95.6,96.3,99.8,99.4,98.7,98.8,99.9,99.4,99.5,101.1,,,,,,,,
吉林省,,99.9,99.9,98.8,97.7,99.6,100.9,99.7,99.2,99.7,91.5,101.7,,,,,,,,
黑龙江省,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,103.1,99.9,100.0,101.1,100.2,98.9,98.7,97.8,99.0,96.5,97.4,,,,,,,,
浙江省,,100.5,99.8,99.9,99.6,99.3,100.7,99.6,99.2,99.8,97.8,96.6,,,,,,,,
安徽省,,100.1,100.0,101.0,99.8,98.1,99.1,98.7,99.8,100.1,100.0,101.8,,,,,,,,
福建省,,98.8,98.6,100.1,100.3,98.3,100.2,100.0,99.3,98.1,99.1,97.2,,,,,,,,
江西省,,100.1,99.8,99.7,99.6,99.5,98.5,98.1,99.5,99.0,97.8,99.6,,,,,,,,
山东省,,100.0,101.9,100.9,100.1,100.1,98.7,99.1,99.4,98.8,100.1,99.1,,,,,,,,
河南省,,99.0,100.2,100.2,99.7,99.9,100.1,100.0,99.8,98.7,99.6,98.8,,,,,,,,
湖北省,,104.4,105.4,100.6,99.4,98.5,98.5,99.6,99.1,103.0,100.6,99.4,,,,,,,,
湖南省,,100.0,100.0,100.0,100.0,101.4,101.9,101.9,101.0,100.6,102.0,98.8,,,,,,,,
广东省,,99.9,100.2,99.5,99.3,99.0,98.9,99.4,99.0,98.7,99.0,94.2,,,,,,,,
广西壮族自治区,,99.7,100.3,99.8,98.6,97.6,97.8,101.3,101.3,100.8,98.4,99.9,,,,,,,,
海南省,,108.0,101.3,100.0,98.6,99.1,99.4,95.5,99.6,100.0,100.0,100.0,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,100.0,99.7,100.0,100.9,99.9,99.8,101.5,98.5,99.4,99.3,100.2,,,,,,,,
贵州省,,100.0,98.7,96.7,99.5,99.3,99.2,99.5,99.6,99.4,99.9,91.1,,,,,,,,
云南省,,99.7,99.8,98.8,99.7,99.7,96.7,98.8,100.2,100.8,96.6,92.3,,,,,,,,
西藏自治区,,101.9,101.1,98.5,95.6,91.9,92.6,99.9,95.0,97.9,103.1,98.1,,,,,,,,
陕西省,,99.9,98.7,98.5,99.3,100.0,99.3,99.3,98.5,100.1,99.5,98.7,,,,,,,,
甘肃省,,100.0,100.0,100.1,100.1,99.5,105.2,99.4,101.5,91.7,93.5,99.5,,,,,,,,
青海省,,105.9,100.1,95.8,98.3,99.0,100.9,100.1,99.0,99.7,99.4,99.7,,,,,,,,
宁夏回族自治区,,93.8,98.1,92.1,97.3,98.6,97.0,96.6,99.6,93.7,98.7,97.3,,,,,,,,
新疆维吾尔自治区,,99.7,98.4,99.8,100.0,99.8,99.3,100.4,99.2,98.8,95.8,98.5,,,,,,,,
数据来源：国家统计局
