数据库：分省年度数据
指标：调味品类农村商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,106.9,105.3,102.5,,104.3,104.1,99.8,102.2,101.1,101.2,100.7,,,,,,,,
山西省,,110.3,103.4,104.6,,105.8,108.4,105.8,102.4,101.4,104.5,102.1,,,,,,,,
内蒙古自治区,,103.0,102.9,106.2,,101.8,102.4,106.4,100.3,100.5,101.1,103.2,,,,,,,,
辽宁省,,105.1,102.5,104.5,,104.1,104.5,101.4,101.5,100.8,97.5,102.3,,,,,,,,
吉林省,,100.1,107.4,102.8,,112.4,105.0,100.6,99.1,100.6,101.3,99.6,,,,,,,,
黑龙江省,,107.3,105.8,106.0,,103.5,106.2,106.7,100.0,99.9,100.4,100.0,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,105.3,108.5,109.8,,101.9,103.4,101.1,100.8,100.9,101.5,103.0,,,,,,,,
浙江省,,102.7,105.2,102.6,,103.4,102.8,101.5,102.9,101.2,102.2,100.0,,,,,,,,
安徽省,,101.1,105.2,107.1,,101.2,101.4,101.7,100.4,100.6,99.6,100.7,,,,,,,,
福建省,,104.7,101.6,103.8,,103.1,102.4,100.7,101.7,100.2,103.7,98.3,,,,,,,,
江西省,,103.2,104.3,102.6,,102.5,102.2,102.9,105.2,100.2,100.2,99.2,,,,,,,,
山东省,,103.9,105.6,107.3,,102.4,102.4,101.5,103.4,106.2,100.2,100.0,,,,,,,,
河南省,,108.8,106.2,104.2,,103.2,106.6,107.4,102.8,100.3,103.1,100.6,,,,,,,,
湖北省,,103.0,103.6,105.4,,103.4,105.4,102.9,101.6,113.9,100.8,98.9,,,,,,,,
湖南省,,101.8,101.3,102.8,,104.7,105.5,101.0,103.3,103.2,100.4,99.4,,,,,,,,
广东省,,103.8,105.6,103.9,,103.1,103.2,105.0,100.8,100.7,100.2,101.6,,,,,,,,
广西壮族自治区,,101.8,101.3,103.0,,102.2,106.4,107.0,103.1,102.8,99.6,99.5,,,,,,,,
海南省,,100.9,109.3,111.9,,102.7,105.0,116.0,105.0,102.6,98.4,99.9,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,102.5,104.5,103.5,,102.3,102.1,101.0,102.9,101.2,101.8,101.4,,,,,,,,
贵州省,,101.4,103.1,107.3,,102.0,109.9,109.6,106.6,99.4,106.7,101.5,,,,,,,,
云南省,,104.2,101.2,101.6,,100.5,113.2,109.1,101.3,101.3,102.3,103.9,,,,,,,,
西藏自治区,,99.7,100.9,109.2,,99.1,98.0,103.2,99.8,99.5,103.3,107.6,,,,,,,,
陕西省,,102.9,103.1,108.1,,100.6,102.2,108.4,103.0,100.4,99.8,99.5,,,,,,,,
甘肃省,,113.0,103.8,104.0,,104.2,109.7,110.1,102.8,100.1,98.4,102.4,,,,,,,,
青海省,,109.4,102.0,110.5,,103.8,102.3,108.6,106.1,100.3,101.2,92.8,,,,,,,,
宁夏回族自治区,,106.0,102.6,114.3,,106.3,107.4,104.6,101.5,100.8,98.8,98.6,,,,,,,,
新疆维吾尔自治区,,100.5,101.9,102.2,,106.1,111.6,112.3,105.5,100.7,99.9,99.6,,,,,,,,
数据来源：国家统计局
