数据库：分省年度数据
指标：其他水产品类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,113.8,106.6,110.0,108.3,106.8,108.7,103.1,107.2,103.5,104.9,98.7,98.8,98.5,,,,,,
山西省,,102.3,103.8,107.8,103.8,101.2,112.4,102.2,104.5,107.1,109.9,101.6,98.8,98.3,,,,,,
内蒙古自治区,,103.7,101.1,106.0,104.8,101.6,109.7,101.6,101.5,106.2,105.9,96.6,97.0,95.8,,,,,,
辽宁省,,114.0,106.4,106.8,110.6,103.0,103.3,100.4,107.1,110.8,101.8,100.5,106.8,101.7,,,,,,
吉林省,,109.8,110.7,114.3,102.8,101.8,105.9,104.9,100.2,102.3,96.8,107.0,97.2,99.1,,,,,,
黑龙江省,,109.8,103.9,105.1,105.5,101.8,105.2,100.4,99.4,105.6,99.5,98.7,104.2,95.8,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,103.9,107.1,111.8,115.4,103.6,102.5,109.2,118.2,114.4,103.6,97.8,104.3,98.1,,,,,,
浙江省,,103.9,113.2,109.5,109.3,108.6,111.1,104.1,107.7,110.2,104.4,101.5,96.8,85.9,,,,,,
安徽省,,110.3,105.7,102.1,102.3,108.9,111.5,104.0,100.9,105.1,106.9,106.2,94.7,90.8,,,,,,
福建省,,106.2,106.5,102.8,106.3,103.6,109.4,109.0,105.2,101.0,108.5,102.0,95.6,98.2,,,,,,
江西省,,107.5,111.3,110.2,103.9,99.6,107.8,107.8,104.5,103.4,110.5,103.6,99.9,98.8,,,,,,
山东省,,107.6,106.9,111.8,103.7,103.6,104.6,101.6,106.5,106.5,107.5,100.9,96.6,103.6,,,,,,
河南省,,106.1,107.7,112.3,111.5,103.2,119.3,109.2,104.8,106.4,105.8,98.6,102.7,99.5,,,,,,
湖北省,,108.5,110.8,111.9,105.6,109.2,119.8,110.1,106.4,109.3,96.2,98.4,102.2,102.2,,,,,,
湖南省,,106.9,109.7,107.8,97.7,102.9,122.9,119.5,107.5,118.3,113.6,101.1,92.9,89.7,,,,,,
广东省,,112.3,104.2,105.0,108.6,101.6,104.0,104.0,105.4,106.0,105.1,99.2,89.2,96.9,,,,,,
广西壮族自治区,,107.2,106.8,115.9,112.2,97.1,102.7,104.5,104.5,112.3,106.8,92.1,103.2,101.6,,,,,,
海南省,,96.1,97.4,106.2,105.1,104.8,108.0,101.9,115.8,103.9,104.0,108.8,104.5,82.6,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,109.9,106.3,105.1,109.1,106.5,119.5,111.0,106.5,107.1,109.8,103.2,99.8,103.8,,,,,,
贵州省,,102.9,108.6,115.9,110.1,105.6,116.9,123.0,111.7,104.2,107.3,100.6,100.2,102.4,,,,,,
云南省,,95.8,101.1,104.6,107.6,105.8,114.2,108.8,105.5,105.1,104.4,95.1,112.1,100.9,,,,,,
西藏自治区,,104.3,98.1,101.6,105.1,101.1,101.4,99.5,101.8,100.3,108.3,102.3,91.9,98.2,,,,,,
陕西省,,106.2,108.3,103.6,100.9,101.5,101.1,103.9,102.9,103.6,103.9,101.8,98.6,100.8,,,,,,
甘肃省,,99.9,103.1,102.6,103.6,101.5,104.7,102.5,99.5,106.5,97.3,100.9,103.1,100.5,,,,,,
青海省,,104.8,107.6,104.1,107.3,109.5,117.4,103.1,91.1,107.5,96.2,97.3,99.3,101.3,,,,,,
宁夏回族自治区,,101.8,101.9,109.4,101.7,99.4,108.7,103.0,101.5,100.8,96.1,99.0,97.5,97.2,,,,,,
新疆维吾尔自治区,,100.2,108.3,114.8,110.3,101.1,94.5,101.8,101.4,114.5,99.5,96.1,95.0,97.3,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
