数据库：分省年度数据
指标：酒类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,100.3,105.1,104.4,101.7,101.9,108.5,103.9,101.1,100.3,100.7,99.5,100.2,98.8,,,,,,
山西省,,105.8,102.3,103.5,106.7,101.9,103.3,108.1,103.7,104.3,105.8,100.6,99.1,95.9,,,,,,
内蒙古自治区,,103.4,107.1,105.2,101.9,101.0,102.8,100.0,99.4,99.3,100.7,100.0,102.1,97.9,,,,,,
辽宁省,,102.4,102.6,102.8,100.7,103.3,107.3,100.5,98.5,97.9,98.8,103.1,99.8,99.7,,,,,,
吉林省,,100.8,103.2,101.6,101.0,102.2,105.4,100.2,99.0,99.1,103.3,100.3,99.0,99.4,,,,,,
黑龙江省,,102.3,102.9,107.0,101.2,101.6,106.3,103.4,100.6,100.4,101.0,99.4,103.8,98.5,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,97.6,109.5,110.4,106.7,103.8,106.5,102.2,101.2,101.3,101.4,99.6,98.9,100.0,,,,,,
浙江省,,98.7,102.7,104.1,102.2,102.3,106.8,103.1,102.0,101.1,102.5,101.1,100.8,100.0,,,,,,
安徽省,,96.8,109.5,111.0,104.1,103.1,107.5,101.4,99.9,100.3,101.7,100.3,97.8,101.8,,,,,,
福建省,,98.8,103.6,107.3,103.0,104.6,105.4,100.6,100.3,100.6,101.0,100.2,100.8,99.4,,,,,,
江西省,,100.6,106.0,101.3,101.0,101.1,104.7,100.8,101.7,100.2,101.5,100.5,99.4,98.3,,,,,,
山东省,,99.7,104.1,106.3,103.4,103.8,107.3,105.0,100.3,100.7,101.2,99.9,100.1,99.5,,,,,,
河南省,,102.0,105.4,105.8,102.4,103.8,105.4,101.7,101.3,100.5,101.6,99.6,99.6,99.3,,,,,,
湖北省,,101.9,103.2,106.5,103.6,102.9,104.9,102.1,100.8,103.0,103.3,99.0,99.2,97.7,,,,,,
湖南省,,102.7,101.7,105.1,102.3,100.0,98.9,101.3,100.5,99.8,99.9,97.8,102.4,95.3,,,,,,
广东省,,99.3,105.6,104.5,101.1,104.5,104.9,102.4,100.2,102.8,102.0,99.5,100.0,99.5,,,,,,
广西壮族自治区,,100.6,105.0,106.1,104.3,104.9,109.9,101.9,97.0,103.4,101.7,103.1,100.6,99.8,,,,,,
海南省,,101.0,102.4,101.8,102.4,104.0,105.7,101.1,102.5,101.1,100.4,101.0,100.5,97.7,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,97.3,106.5,106.7,105.3,103.9,104.6,102.2,101.1,100.6,103.4,101.7,97.0,101.2,,,,,,
贵州省,,103.5,103.5,106.1,103.5,101.2,113.7,105.7,98.3,98.1,103.3,100.3,105.4,99.6,,,,,,
云南省,,101.9,101.8,103.2,102.2,101.3,104.9,100.5,98.4,107.5,98.6,100.0,98.5,100.9,,,,,,
西藏自治区,,101.4,103.3,103.7,104.4,100.6,104.3,102.9,100.0,103.3,102.5,99.4,100.0,101.0,,,,,,
陕西省,,100.2,105.7,104.4,102.8,103.5,106.3,105.1,101.8,100.5,99.4,100.0,98.5,97.2,,,,,,
甘肃省,,104.2,107.9,101.9,102.0,102.3,106.7,104.8,93.7,98.0,100.1,98.4,99.0,96.1,,,,,,
青海省,,98.7,103.1,103.0,103.0,102.1,106.2,102.9,99.3,99.4,102.9,100.0,102.4,101.9,,,,,,
宁夏回族自治区,,99.3,106.4,107.7,102.7,110.4,105.5,99.8,98.1,95.9,101.2,98.3,101.4,95.2,,,,,,
新疆维吾尔自治区,,103.4,113.3,106.0,103.3,101.8,103.6,100.2,100.9,100.7,101.2,100.0,99.9,97.6,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
