数据库：分省年度数据
指标：干豆类及豆制品类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,104.7,99.6,107.2,113.8,94.8,130.2,107.6,99.6,101.6,119.5,105.3,98.3,99.4,101.6,,99.7,111.5,,
山西省,,105.8,95.8,100.8,112.1,101.3,132.1,106.7,103.4,106.9,125.1,109.2,97.4,98.0,102.3,,98.2,111.1,,
内蒙古自治区,,99.2,96.5,106.2,114.0,101.5,127.2,107.6,99.0,109.5,119.5,103.8,96.4,105.9,99.5,,102.5,105.5,,
辽宁省,,107.6,101.7,102.1,112.5,96.8,131.7,113.1,102.8,100.0,117.5,111.7,98.3,98.3,108.8,,95.9,107.1,,
吉林省,,103.8,105.8,107.4,111.5,91.9,133.1,112.0,102.9,99.1,125.4,110.8,97.1,99.9,102.1,,94.5,110.4,,
黑龙江省,,105.0,98.1,102.9,122.8,86.0,128.7,114.9,98.9,95.5,126.6,121.8,101.3,97.6,106.6,,94.7,108.6,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,104.8,101.5,106.0,111.3,96.2,131.8,106.8,101.1,100.9,123.8,110.1,97.5,100.2,100.9,,97.6,106.2,,
浙江省,,103.2,103.1,110.6,105.2,97.0,146.8,108.6,100.6,102.7,124.9,109.3,97.6,99.1,99.4,,97.7,102.3,,
安徽省,,101.6,101.5,103.2,110.1,101.8,127.6,106.1,102.8,102.7,113.2,102.6,98.3,98.9,100.5,,100.6,103.8,,
福建省,,106.7,103.2,103.6,110.6,97.7,130.6,109.7,101.3,102.9,118.4,103.1,99.1,95.0,101.5,,97.2,107.2,,
江西省,,106.5,100.6,104.7,108.3,99.6,126.7,108.3,101.0,103.2,117.4,108.2,99.2,99.9,98.8,,98.7,102.0,,
山东省,,106.6,101.3,106.5,114.9,93.5,132.1,107.6,98.3,102.6,122.6,109.0,97.9,99.4,108.4,,90.9,107.8,,
河南省,,108.3,98.5,100.5,113.4,94.1,136.6,112.4,100.2,103.4,122.1,110.8,96.5,99.1,109.1,,87.8,106.5,,
湖北省,,110.4,103.0,105.1,114.0,97.4,132.3,109.3,100.9,103.5,115.8,103.6,99.7,100.6,99.7,,100.4,107.6,,
湖南省,,107.6,106.6,104.5,103.4,104.7,139.3,113.5,103.5,108.7,120.5,105.2,99.6,97.8,96.2,,94.8,101.7,,
广东省,,103.5,100.7,102.7,112.7,98.8,119.9,105.1,102.2,103.9,113.1,103.9,97.1,100.5,100.0,,96.6,104.0,,
广西壮族自治区,,104.4,101.9,107.9,108.7,95.6,142.9,112.3,98.0,108.4,126.4,104.4,97.2,97.0,100.7,,95.8,108.5,,
海南省,,103.5,105.3,105.4,117.3,99.0,126.7,93.9,101.2,104.4,102.8,100.6,97.3,94.9,103.0,,98.6,108.5,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,107.2,101.0,102.8,116.4,103.0,116.7,108.0,104.1,103.1,114.8,102.9,96.3,104.5,102.1,,98.9,111.8,,
贵州省,,103.8,100.1,104.8,109.8,98.7,131.5,110.8,104.1,103.0,118.3,103.7,94.9,107.9,94.6,,99.9,103.3,,
云南省,,106.7,102.4,106.4,104.0,105.4,127.1,106.6,100.7,104.5,121.6,103.4,97.2,98.3,98.5,,99.2,107.9,,
西藏自治区,,105.8,102.5,111.0,106.0,101.9,115.5,101.4,103.7,105.2,104.6,100.7,100.0,101.5,99.4,,,,,
陕西省,,107.6,99.3,103.5,109.0,100.8,135.1,108.6,100.5,101.4,121.4,109.9,97.8,98.4,107.7,,97.2,107.0,,
甘肃省,,104.9,104.3,106.9,114.9,101.8,117.8,111.2,105.0,100.8,114.0,101.1,96.8,99.6,98.7,,104.9,108.3,,
青海省,,107.8,101.1,105.4,111.5,99.8,136.9,110.0,102.1,104.1,120.7,101.5,96.1,98.0,93.9,,96.9,118.0,,
宁夏回族自治区,,107.4,98.1,103.3,107.5,97.2,139.2,107.1,101.2,100.5,125.1,110.9,101.1,100.4,96.9,,96.1,107.7,,
新疆维吾尔自治区,,109.6,108.2,106.4,109.4,94.8,138.7,105.1,97.1,101.8,115.0,97.5,97.6,99.4,95.8,,99.5,121.9,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
