数据库：分省年度数据
指标：家庭服务及加工维修服务类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,105.5,105.8,105.3,102.8,119.3,108.9,102.7,102.0,102.9,100.9,101.3,100.4,98.3,,,,,,
山西省,,107.7,106.6,103.4,101.3,103.9,126.1,112.8,109.2,111.5,102.3,99.6,100.3,100.2,,,,,,
内蒙古自治区,,100.8,103.9,107.7,103.3,102.4,106.1,102.3,103.6,107.4,102.4,102.8,105.7,102.5,,,,,,
辽宁省,,102.3,103.5,105.4,108.8,106.5,103.6,106.3,102.9,99.5,96.6,91.5,102.5,101.9,,,,,,
吉林省,,100.2,101.7,101.9,100.2,100.2,101.6,100.7,98.6,100.4,102.3,102.4,93.5,100.0,,,,,,
黑龙江省,,111.6,105.2,100.9,107.7,107.2,104.2,110.8,106.8,104.1,97.4,95.3,100.0,100.0,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,107.6,107.8,110.6,104.0,101.5,104.1,107.5,101.4,104.4,110.2,101.5,100.1,100.1,,,,,,
浙江省,,109.6,112.8,109.5,108.1,102.3,105.4,109.6,112.1,105.6,104.5,101.1,101.8,100.4,,,,,,
安徽省,,109.5,105.4,102.9,101.2,106.6,109.3,105.7,102.6,103.3,100.6,101.6,103.7,100.9,,,,,,
福建省,,106.2,103.4,102.3,104.1,105.9,113.7,120.3,113.3,107.8,101.7,99.9,99.3,102.2,,,,,,
江西省,,105.7,107.5,110.0,108.5,106.9,112.6,109.5,103.0,103.0,100.7,101.1,97.5,101.0,,,,,,
山东省,,104.0,103.2,103.0,103.9,102.2,103.7,102.9,101.8,104.6,104.2,103.3,100.6,101.1,,,,,,
河南省,,109.6,116.4,103.9,103.6,108.2,110.1,103.8,101.4,100.7,100.3,99.4,99.4,100.3,,,,,,
湖北省,,114.6,109.2,114.4,104.9,102.3,103.4,105.2,102.1,103.3,101.0,104.6,104.0,101.5,,,,,,
湖南省,,104.3,108.0,100.3,102.7,101.4,104.5,109.0,111.9,110.2,112.1,102.0,100.6,99.7,,,,,,
广东省,,104.8,106.8,102.7,104.6,101.8,101.5,103.6,104.7,100.4,102.5,102.1,100.8,99.9,,,,,,
广西壮族自治区,,103.1,103.5,106.0,110.2,105.9,104.6,107.5,108.0,110.2,100.2,99.8,101.1,101.1,,,,,,
海南省,,129.0,108.8,111.0,114.7,115.6,122.5,113.2,107.4,101.7,102.8,100.8,101.5,105.1,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,106.3,102.8,101.8,102.7,103.7,108.8,105.0,102.1,101.4,101.6,101.7,102.2,102.6,,,,,,
贵州省,,104.2,105.4,100.1,101.2,104.0,125.2,104.8,100.9,104.9,102.2,101.8,100.0,100.0,,,,,,
云南省,,108.1,109.2,109.5,104.2,110.0,109.3,109.8,105.7,126.5,101.6,100.1,98.7,103.4,,,,,,
西藏自治区,,102.7,109.4,108.3,101.9,101.9,114.3,112.5,97.9,100.2,110.7,100.9,100.0,102.6,,,,,,
陕西省,,107.6,112.5,112.3,107.4,103.3,108.1,112.2,106.1,106.1,105.1,100.5,100.5,100.5,,,,,,
甘肃省,,111.8,105.4,107.0,107.0,105.7,104.7,104.0,101.6,109.3,110.7,104.8,104.5,100.4,,,,,,
青海省,,103.9,106.0,106.9,102.3,112.5,118.3,116.7,100.0,100.0,100.0,106.8,101.4,99.8,,,,,,
宁夏回族自治区,,111.3,108.1,103.6,109.7,105.5,115.4,103.8,103.5,101.6,99.8,104.6,101.0,105.2,,,,,,
新疆维吾尔自治区,,113.1,120.7,118.1,116.9,118.1,105.9,104.8,98.0,101.4,100.5,99.0,103.5,103.6,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
