数据库：分省年度数据
指标：清洁化妆用品类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,102.7,105.0,105.5,100.6,101.2,100.4,99.6,99.8,99.1,99.4,98.6,99.0,97.6,,,,,,
山西省,,100.9,102.0,101.9,99.3,100.6,101.1,99.1,97.8,95.4,97.6,98.1,95.6,95.3,,,,,,
内蒙古自治区,,100.8,102.6,101.5,100.6,100.9,102.0,102.8,101.2,100.9,99.6,98.2,98.9,97.0,,,,,,
辽宁省,,102.3,102.5,99.4,101.3,102.3,100.8,100.4,99.9,99.7,96.9,99.9,98.8,99.3,,,,,,
吉林省,,101.4,102.4,101.9,99.1,99.7,98.5,100.0,98.7,95.6,99.7,94.6,99.2,99.7,,,,,,
黑龙江省,,99.6,102.2,100.2,100.2,101.2,100.5,100.7,100.3,92.9,96.9,98.8,94.9,93.5,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,104.2,103.4,104.2,99.6,102.8,102.1,99.8,100.2,100.6,99.6,97.2,97.9,99.4,,,,,,
浙江省,,100.9,102.2,100.8,100.4,103.6,103.5,99.7,94.1,99.8,100.0,98.2,97.1,97.6,,,,,,
安徽省,,103.3,103.4,100.1,100.6,101.7,101.2,100.1,100.0,100.5,97.1,95.3,96.0,99.5,,,,,,
福建省,,101.2,103.6,101.2,100.6,102.7,102.1,100.2,99.7,99.0,99.8,98.9,96.9,98.9,,,,,,
江西省,,104.8,102.2,100.7,101.3,104.7,101.5,100.7,102.9,98.0,97.5,99.0,98.2,98.6,,,,,,
山东省,,103.3,104.4,101.6,99.2,100.9,101.3,100.5,100.4,98.9,96.2,98.2,99.5,96.8,,,,,,
河南省,,102.7,102.9,101.2,100.5,101.7,102.0,99.7,100.1,97.0,98.4,101.5,98.4,96.8,,,,,,
湖北省,,101.5,102.2,101.8,99.0,101.4,101.6,100.3,101.4,100.0,96.0,96.9,95.7,95.4,,,,,,
湖南省,,100.9,100.5,100.3,101.4,100.9,100.4,102.3,101.7,101.5,99.0,99.5,99.5,100.4,,,,,,
广东省,,101.2,102.7,101.6,100.4,100.0,103.7,100.4,99.4,99.3,98.3,98.8,98.7,99.0,,,,,,
广西壮族自治区,,101.3,103.9,100.9,99.3,101.3,108.0,102.7,103.5,100.6,99.1,99.4,98.1,98.7,,,,,,
海南省,,101.8,101.7,102.4,102.2,102.7,101.5,101.2,100.2,100.0,100.0,99.6,100.5,99.4,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,101.1,103.4,100.3,102.3,104.4,101.1,99.8,100.7,100.6,99.4,99.3,97.7,99.8,,,,,,
贵州省,,101.0,103.9,101.7,101.0,102.9,98.1,111.6,98.6,101.3,101.7,97.6,94.1,98.5,,,,,,
云南省,,101.4,102.2,100.1,97.8,97.6,99.8,100.4,102.7,95.5,97.9,96.4,96.4,100.3,,,,,,
西藏自治区,,104.0,102.1,99.8,100.1,99.8,99.5,98.1,102.1,96.5,98.5,99.8,97.8,100.3,,,,,,
陕西省,,103.1,102.0,101.4,102.2,102.8,108.4,101.0,100.7,99.5,99.4,97.8,99.4,98.7,,,,,,
甘肃省,,101.8,101.2,100.8,99.3,107.3,108.6,99.9,100.1,99.0,116.6,107.9,99.1,97.3,,,,,,
青海省,,102.6,102.0,104.4,100.9,103.2,103.1,100.0,96.2,96.4,99.1,99.9,99.2,99.3,,,,,,
宁夏回族自治区,,104.0,103.3,104.7,100.8,106.0,103.7,100.5,99.0,98.5,98.2,98.4,95.4,100.2,,,,,,
新疆维吾尔自治区,,103.8,106.5,102.7,101.1,104.2,102.1,101.1,99.9,99.1,96.5,99.4,99.2,98.9,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
