数据库：分省年度数据
指标：个人饰品类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,98.7,101.1,107.8,107.1,94.9,107.6,104.8,115.7,100.1,95.5,100.0,100.0,99.4,,,,,,
山西省,,95.2,102.1,111.1,109.2,93.3,110.7,103.8,113.7,101.3,107.6,105.9,98.2,94.2,,,,,,
内蒙古自治区,,95.8,102.0,108.6,108.4,98.1,109.9,105.3,106.8,102.2,99.9,96.9,105.6,97.5,,,,,,
辽宁省,,96.8,99.5,107.9,109.0,93.6,112.1,107.5,112.8,99.6,102.7,99.2,93.0,97.7,,,,,,
吉林省,,94.4,99.6,108.5,113.7,92.4,110.2,100.0,110.2,104.7,109.3,104.7,101.3,99.4,,,,,,
黑龙江省,,97.0,101.0,105.9,105.7,91.7,112.5,101.8,110.1,104.9,109.5,106.1,98.3,96.6,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,92.9,100.5,112.4,108.4,91.0,113.2,105.0,111.2,102.2,107.0,107.0,100.0,97.1,,,,,,
浙江省,,93.2,100.9,113.7,111.7,92.5,116.4,106.9,115.3,103.0,105.7,102.1,98.8,98.2,,,,,,
安徽省,,96.8,98.9,106.4,106.2,94.6,113.8,105.2,110.4,97.5,101.4,101.7,95.5,96.8,,,,,,
福建省,,95.2,102.8,110.6,109.0,100.1,107.7,104.7,112.9,101.0,101.6,100.4,98.9,96.4,,,,,,
江西省,,97.7,104.4,113.3,105.4,99.2,106.7,103.8,107.8,101.3,102.8,101.6,98.5,97.9,,,,,,
山东省,,96.9,103.0,109.5,105.9,99.6,105.7,101.3,107.1,100.5,100.5,99.0,99.6,100.9,,,,,,
河南省,,97.2,102.0,108.3,103.8,100.9,108.5,103.5,107.2,101.6,102.4,101.1,100.0,99.4,,,,,,
湖北省,,97.2,101.6,108.0,106.2,97.7,107.4,103.3,106.3,100.3,103.0,100.8,100.8,97.9,,,,,,
湖南省,,95.3,102.4,111.9,106.4,100.1,105.3,105.8,114.5,100.7,103.3,103.5,100.6,98.6,,,,,,
广东省,,96.8,101.5,107.5,107.0,104.2,105.0,103.6,108.5,101.8,106.0,100.6,99.5,99.7,,,,,,
广西壮族自治区,,95.1,100.9,105.3,101.1,94.2,108.8,101.1,101.4,99.5,103.6,101.1,100.4,98.0,,,,,,
海南省,,95.7,101.8,106.9,113.9,96.7,106.0,107.0,111.6,97.8,101.8,99.3,94.4,96.1,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,96.5,99.1,106.5,104.4,101.4,103.5,102.2,106.4,102.4,99.8,99.6,103.3,99.0,,,,,,
贵州省,,97.1,101.3,103.9,102.5,97.9,100.8,101.6,103.0,100.8,101.6,94.5,92.7,112.6,,,,,,
云南省,,97.5,100.4,103.1,102.1,99.4,104.2,103.5,105.7,98.9,100.6,98.4,98.8,99.3,,,,,,
西藏自治区,,95.1,103.1,113.1,102.7,93.2,111.0,104.1,100.1,98.7,100.8,99.0,102.6,98.3,,,,,,
陕西省,,97.9,101.5,106.5,105.8,99.3,105.9,102.1,108.8,100.8,105.9,103.4,100.3,96.0,,,,,,
甘肃省,,98.5,101.3,102.5,101.4,99.9,101.9,101.3,101.6,101.1,99.1,101.4,98.0,97.4,,,,,,
青海省,,95.9,99.9,108.2,108.7,91.9,120.0,104.5,108.8,101.4,106.7,102.2,97.7,97.1,,,,,,
宁夏回族自治区,,96.2,103.4,108.7,109.4,98.5,113.7,105.4,113.0,96.6,101.8,109.2,98.2,95.2,,,,,,
新疆维吾尔自治区,,95.7,101.0,109.5,108.3,99.9,109.9,103.3,105.6,100.3,103.2,99.4,97.1,97.8,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
