数据库：分省年度数据
指标：车用燃料及零配件类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,99.0,103.7,112.6,112.7,93.5,116.6,104.2,111.1,112.4,108.8,111.2,96.9,96.9,,,,,,
山西省,,98.7,102.6,111.5,111.9,89.2,116.3,103.3,114.6,111.7,107.7,107.0,97.7,97.2,,,,,,
内蒙古自治区,,99.4,101.8,108.1,110.9,96.9,111.9,101.2,107.1,106.9,106.0,105.6,99.3,97.3,,,,,,
辽宁省,,99.6,102.2,110.1,112.1,91.0,114.2,104.3,112.2,106.5,106.2,113.4,97.6,99.9,,,,,,
吉林省,,99.7,103.6,108.4,108.7,95.0,110.9,100.1,108.6,108.5,101.4,106.6,102.2,99.6,,,,,,
黑龙江省,,98.4,102.5,109.8,107.3,91.8,109.2,105.8,113.8,107.3,108.3,105.8,97.5,98.4,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,100.8,102.9,111.9,111.4,90.5,113.8,103.6,113.3,109.7,106.3,107.7,98.7,97.3,,,,,,
浙江省,,99.0,103.0,113.1,111.3,90.7,114.7,104.3,113.6,111.1,107.4,105.1,98.3,97.3,,,,,,
安徽省,,99.3,103.0,111.6,112.2,93.5,114.0,103.7,113.5,108.1,109.5,107.0,99.0,97.8,,,,,,
福建省,,99.9,102.6,111.6,112.8,92.5,114.4,103.2,114.6,109.3,106.5,107.5,98.7,97.1,,,,,,
江西省,,98.8,103.8,112.0,109.1,95.5,111.5,103.0,111.2,109.5,107.0,108.5,98.5,98.3,,,,,,
山东省,,99.0,103.9,109.0,110.9,91.2,113.1,106.1,112.5,110.3,107.6,110.1,99.1,98.2,,,,,,
河南省,,99.6,103.1,112.6,113.3,90.1,114.2,104.7,114.0,110.3,108.1,110.1,98.7,97.9,,,,,,
湖北省,,99.6,102.3,110.0,109.9,91.0,111.8,103.6,112.8,110.6,105.0,104.3,100.4,97.5,,,,,,
湖南省,,99.5,102.4,112.6,109.2,94.2,111.6,103.2,111.5,108.7,108.0,105.7,97.8,98.8,,,,,,
广东省,,99.2,102.2,110.5,111.1,91.5,113.2,102.9,111.3,109.7,107.0,109.5,100.1,97.2,,,,,,
广西壮族自治区,,98.3,103.4,111.3,112.0,99.7,112.3,103.7,110.8,110.7,106.6,105.1,96.5,97.3,,,,,,
海南省,,99.8,102.4,109.0,112.6,95.5,112.6,104.1,114.8,108.4,106.9,109.1,98.9,100.0,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,99.6,102.6,111.5,109.3,99.3,111.1,103.4,111.8,107.9,106.5,105.5,99.7,97.9,,,,,,
贵州省,,101.0,103.7,109.1,106.5,97.7,108.8,102.8,107.8,107.1,105.2,105.1,95.6,100.5,,,,,,
云南省,,99.1,102.1,111.1,111.6,91.7,112.5,102.8,111.4,109.7,109.2,107.6,96.7,93.7,,,,,,
西藏自治区,,98.9,102.7,109.0,111.8,102.0,108.6,103.0,114.1,105.6,105.2,102.5,103.0,102.5,,,,,,
陕西省,,99.0,102.4,108.9,109.1,97.3,109.4,105.1,114.4,105.8,105.8,108.3,98.8,100.8,,,,,,
甘肃省,,99.9,101.8,113.5,108.8,96.5,109.2,102.6,109.8,104.5,102.3,104.9,98.6,105.5,,,,,,
青海省,,100.7,101.8,110.6,111.0,91.8,113.4,104.6,113.4,108.4,106.6,105.5,99.4,98.6,,,,,,
宁夏回族自治区,,98.3,101.6,112.8,111.0,92.0,115.4,104.8,114.4,112.4,106.7,107.4,97.0,97.7,,,,,,
新疆维吾尔自治区,,99.6,102.8,110.3,112.5,95.9,113.1,104.0,111.2,109.0,107.0,108.1,99.8,99.9,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
