数据库：分省年度数据
指标：食用畜肉及副产品类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,107.9,95.6,133.3,101.4,85.6,125.3,141.7,95.5,101.4,119.6,108.1,95.5,106.5,,,,,,
山西省,,102.3,97.1,131.7,104.3,83.6,125.1,149.3,93.2,97.9,124.6,112.3,96.9,102.0,,,,,,
内蒙古自治区,,105.8,99.9,130.9,105.8,91.3,127.2,143.5,96.2,100.4,115.9,105.1,100.4,104.4,,,,,,
辽宁省,,107.9,99.0,130.5,104.9,89.2,125.0,147.9,95.6,98.3,119.3,108.0,98.9,107.6,,,,,,
吉林省,,110.5,99.4,129.6,100.6,87.6,126.4,155.1,92.3,101.7,113.3,103.5,105.5,110.1,,,,,,
黑龙江省,,111.2,101.1,129.4,101.6,91.0,121.6,149.4,94.2,99.2,116.0,104.5,100.1,111.5,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.9,99.9,128.2,104.0,82.9,122.9,135.6,95.6,102.9,120.5,105.5,97.0,104.5,,,,,,
浙江省,,102.6,95.0,132.3,103.3,82.7,122.7,141.6,94.1,99.4,124.7,107.6,98.6,101.6,,,,,,
安徽省,,103.3,96.0,131.1,103.2,83.5,123.5,135.4,94.2,107.6,120.2,111.7,95.3,104.3,,,,,,
福建省,,102.0,102.7,127.9,100.8,85.4,119.3,130.5,97.4,101.8,118.9,104.1,97.5,96.0,,,,,,
江西省,,103.7,99.6,128.1,99.0,85.2,122.3,132.1,94.7,102.0,119.5,107.3,97.2,100.2,,,,,,
山东省,,103.2,97.4,132.1,103.0,87.3,123.8,147.0,93.8,98.4,117.7,108.8,100.6,103.5,,,,,,
河南省,,105.3,93.5,131.4,104.7,84.6,127.6,147.6,93.5,101.1,123.9,106.7,95.4,107.4,,,,,,
湖北省,,107.2,103.4,128.2,102.3,90.9,127.6,135.1,99.3,103.1,118.1,107.6,98.2,98.5,,,,,,
湖南省,,103.8,95.6,122.4,100.7,82.6,122.8,143.6,96.4,96.4,123.9,117.5,102.9,99.0,,,,,,
广东省,,102.8,102.5,127.9,101.3,87.7,120.8,125.8,98.6,103.8,117.1,101.7,98.0,96.5,,,,,,
广西壮族自治区,,101.6,100.4,128.5,100.6,84.7,125.6,138.0,95.6,100.9,121.7,103.9,103.0,95.8,,,,,,
海南省,,103.0,102.8,124.3,105.9,88.9,125.1,129.9,99.7,94.7,139.1,106.9,97.3,102.1,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,102.6,96.3,132.2,103.6,86.9,117.2,141.8,99.7,98.4,126.4,100.3,104.1,104.6,,,,,,
贵州省,,102.2,99.3,131.8,103.6,87.8,133.5,138.8,100.1,101.1,121.6,102.7,104.2,102.4,,,,,,
云南省,,102.8,105.4,131.7,100.8,84.9,130.5,137.9,98.9,96.0,124.1,99.5,109.3,96.9,,,,,,
西藏自治区,,113.5,107.2,115.9,104.9,100.9,122.8,126.1,113.3,103.3,122.8,111.0,106.2,105.3,,,,,,
陕西省,,106.1,99.8,135.7,104.0,87.7,131.1,151.8,103.2,100.4,126.5,108.2,99.6,104.4,,,,,,
甘肃省,,105.7,103.6,127.3,104.7,93.7,131.2,143.4,94.4,99.5,119.3,103.7,99.5,110.4,,,,,,
青海省,,111.9,108.8,127.4,105.3,90.2,123.5,141.5,95.9,100.0,113.9,103.8,106.7,117.0,,,,,,
宁夏回族自治区,,111.3,103.5,126.8,106.9,90.5,132.2,147.2,97.1,100.5,118.3,102.5,100.4,108.0,,,,,,
新疆维吾尔自治区,,117.5,105.4,118.7,115.9,104.3,139.7,129.8,96.2,95.1,109.3,97.3,101.1,120.8,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
