数据库：分省年度数据
指标：居住类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,103.1,102.3,108.1,104.7,102.4,113.5,104.3,104.8,104.5,106.1,102.6,102.4,102.3,103.6,,98.6,106.2,,
山西省,,102.3,103.8,105.2,103.1,104.4,112.4,104.5,105.4,103.9,107.7,106.9,104.2,105.6,106.4,,105.6,109.8,,
内蒙古自治区,,100.7,101.1,104.4,102.1,99.3,106.6,103.2,103.1,105.6,104.3,98.6,102.6,102.6,103.4,,100.0,106.6,,
辽宁省,,101.9,103.0,105.2,101.9,100.7,105.2,103.8,105.8,106.4,105.4,101.7,99.7,102.5,104.6,,102.8,108.2,,
吉林省,,101.5,102.2,103.9,103.5,101.3,108.4,103.0,106.4,110.5,106.1,98.1,105.0,99.7,103.9,,102.4,108.5,,
黑龙江省,,103.4,104.5,105.2,107.6,105.5,105.1,103.4,105.2,110.7,105.9,101.6,102.1,102.7,101.1,,100.2,107.1,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,102.6,102.3,105.7,106.1,96.7,107.1,105.4,104.1,102.7,105.8,100.6,98.3,98.6,101.8,,96.2,100.7,,
浙江省,,103.7,101.2,105.0,105.5,93.3,105.7,105.2,104.6,103.9,104.4,100.4,99.5,97.7,103.3,,98.5,103.6,,
安徽省,,101.1,100.8,105.2,105.5,97.4,105.7,103.0,103.7,103.8,105.9,99.6,98.7,100.3,101.5,,101.0,105.0,,
福建省,,101.8,100.8,106.3,106.9,95.1,106.9,103.4,103.8,107.5,104.8,100.9,99.8,99.4,106.0,,102.7,107.9,,
江西省,,101.7,102.1,105.3,105.7,97.5,106.2,105.0,106.2,105.2,104.8,101.3,100.3,98.6,103.4,,100.9,102.4,,
山东省,,101.0,101.1,107.3,104.7,99.0,110.1,104.2,104.0,105.0,107.3,100.2,101.3,101.6,102.2,,98.7,106.8,,
河南省,,101.1,102.0,107.3,104.2,100.5,109.4,103.0,105.4,107.0,107.9,100.6,100.1,101.4,97.0,,95.1,102.4,,
湖北省,,102.5,101.7,105.8,103.3,100.1,109.7,106.3,104.4,104.3,108.5,101.4,100.7,97.9,102.1,,98.4,105.9,,
湖南省,,101.0,101.3,108.0,104.6,97.4,109.1,105.4,103.6,109.1,103.9,101.5,98.5,100.3,101.0,,98.3,101.8,,
广东省,,102.9,102.9,103.6,105.2,93.3,105.5,102.9,104.9,104.4,105.3,102.3,99.4,101.5,106.2,,96.3,102.8,,
广西壮族自治区,,103.5,103.6,102.9,106.3,93.3,106.7,107.7,103.3,103.5,105.4,100.6,98.8,99.4,105.1,,96.8,102.1,,
海南省,,99.6,101.4,109.9,114.3,96.1,108.9,105.8,109.4,105.0,103.3,102.1,98.3,98.2,103.9,,100.0,119.4,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,104.1,100.3,105.7,101.8,101.7,106.0,103.2,102.5,104.1,103.5,100.5,100.2,99.7,101.1,,100.5,107.3,,
贵州省,,101.4,102.6,102.3,101.4,100.6,109.6,104.5,104.2,106.2,104.0,99.5,98.9,99.6,104.4,,106.6,110.3,,
云南省,,102.6,102.2,105.2,103.9,98.4,105.9,105.8,107.0,107.5,108.4,101.3,99.6,99.7,102.0,,103.8,106.0,,
西藏自治区,,103.7,101.1,105.8,100.6,98.5,108.4,105.9,106.0,102.1,98.7,97.9,100.2,101.9,101.6,,,,,
陕西省,,103.3,103.3,104.9,103.4,103.7,109.4,104.6,104.6,105.6,104.8,101.1,100.7,101.6,102.7,,102.6,109.7,,
甘肃省,,102.8,101.4,102.7,101.9,103.6,114.3,107.2,105.4,107.8,106.6,100.4,102.5,102.2,101.8,,99.3,106.6,,
青海省,,103.0,105.2,109.5,103.9,106.9,126.0,110.0,103.1,104.2,101.9,98.7,106.1,100.5,102.0,,104.4,106.2,,
宁夏回族自治区,,102.0,98.8,106.0,103.3,105.3,115.1,106.6,105.7,104.3,108.1,99.1,100.1,101.6,104.5,,97.3,105.5,,
新疆维吾尔自治区,,102.5,103.7,106.2,104.7,103.1,109.7,107.9,106.0,105.6,108.1,102.7,105.5,102.6,103.5,,103.2,106.8,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
