数据库：分省年度数据
指标：蛋类农村居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,104.7,96.0,113.5,106.5,107.4,107.0,122.3,94.3,103.3,126.0,99.5,101.4,108.4,84.1,,101.8,77.9,,
山西省,,103.9,96.0,116.0,108.9,102.1,99.7,126.9,92.7,103.1,125.4,98.7,99.2,108.1,93.4,,103.3,75.6,,
内蒙古自治区,,104.2,98.5,116.2,110.8,102.0,100.5,121.9,94.9,103.5,123.4,96.9,101.8,96.9,83.2,,100.0,81.4,,
辽宁省,,103.4,97.3,116.2,108.0,103.0,103.1,127.3,93.8,102.6,120.1,95.2,102.8,105.5,83.4,,100.7,76.5,,
吉林省,,108.1,94.0,113.1,112.1,100.5,106.4,121.1,93.7,102.9,120.0,92.8,101.2,110.6,81.4,,95.0,82.9,,
黑龙江省,,101.9,97.8,114.5,113.1,100.9,103.1,121.8,97.3,106.0,111.3,96.7,97.7,105.9,81.3,,91.0,87.2,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,104.2,95.2,115.1,108.7,101.4,104.5,121.0,96.8,105.7,120.8,97.3,101.2,103.1,87.7,,105.7,78.7,,
浙江省,,101.6,97.9,116.2,108.3,101.4,105.0,125.3,95.1,107.1,123.6,97.4,103.9,106.7,84.3,,102.1,77.9,,
安徽省,,103.8,94.8,112.6,107.8,101.5,106.1,120.0,97.2,109.9,116.6,100.8,106.2,104.4,85.6,,99.5,80.0,,
福建省,,109.1,96.3,113.7,106.0,103.1,105.2,122.1,96.9,103.8,124.6,97.9,104.2,103.5,83.7,,95.2,83.4,,
江西省,,105.3,99.1,117.1,108.6,105.4,103.7,115.0,99.7,107.4,111.0,100.5,103.5,104.2,85.6,,100.9,79.6,,
山东省,,103.7,95.7,115.4,106.9,101.1,105.8,122.3,95.7,104.6,121.2,99.0,102.2,108.3,82.3,,103.9,75.8,,
河南省,,103.8,94.8,110.4,107.8,102.2,105.1,117.5,96.9,105.2,116.5,98.6,103.2,103.5,82.8,,101.5,79.9,,
湖北省,,108.7,97.8,117.4,107.3,99.1,104.1,121.4,94.0,108.7,118.9,99.5,104.5,104.5,89.5,,98.0,88.1,,
湖南省,,104.3,98.9,110.0,107.9,100.1,99.9,121.5,98.1,110.9,119.4,102.0,108.5,110.2,90.1,,97.0,84.4,,
广东省,,105.6,97.3,107.1,106.7,99.6,105.2,116.7,95.6,104.0,112.3,101.9,103.4,98.8,89.7,,95.5,85.5,,
广西壮族自治区,,106.8,97.4,113.5,107.3,102.2,108.4,125.3,96.6,102.5,121.9,102.0,108.2,103.9,81.9,,100.7,80.8,,
海南省,,105.8,95.9,113.0,103.9,100.1,109.1,112.1,101.4,104.8,111.2,99.3,98.4,96.2,95.7,,96.7,94.7,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,106.3,102.0,112.8,110.8,106.0,105.5,116.2,99.9,106.8,113.7,102.0,103.2,100.7,87.6,,96.0,91.3,,
贵州省,,104.1,92.6,111.5,110.0,95.2,102.4,115.9,96.9,106.0,115.1,97.3,106.7,96.8,92.4,,99.3,91.1,,
云南省,,107.3,99.1,110.5,103.7,100.9,105.0,111.7,99.9,107.6,113.6,95.5,101.2,98.6,92.0,,98.6,89.0,,
西藏自治区,,103.9,102.4,107.4,103.3,103.6,105.2,107.0,101.8,108.5,107.7,99.7,94.5,99.4,93.5,,,,,
陕西省,,108.5,98.4,113.9,110.1,101.6,103.3,120.9,95.4,104.4,118.2,97.4,99.6,104.9,83.7,,101.7,78.6,,
甘肃省,,106.2,100.3,114.0,107.1,105.8,100.6,125.9,88.9,107.1,102.8,100.9,101.1,100.0,88.7,,102.4,84.6,,
青海省,,105.4,99.2,109.3,107.7,105.6,104.2,115.7,94.5,105.1,114.3,98.9,96.9,98.7,84.6,,99.2,82.2,,
宁夏回族自治区,,105.6,99.0,116.6,109.5,105.2,98.6,132.0,90.2,104.3,129.0,97.1,101.2,101.9,84.2,,102.6,78.7,,
新疆维吾尔自治区,,113.0,103.4,110.0,115.1,104.1,105.7,123.5,93.9,100.4,115.1,100.0,95.6,110.0,79.7,,93.2,85.4,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
