数据库：分省年度数据
指标：文化办公用品类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,93.6,95.6,95.7,93.0,92.6,93.0,96.5,96.9,97.5,98.2,98.1,93.0,,,,,,,,
天津市,96.4,97.7,94.6,90.5,90.8,91.5,90.2,93.2,95.2,98.8,96.2,98.1,,,,,,,,
河北省,100.0,99.5,98.4,97.4,97.3,95.1,99.2,98.7,98.0,98.0,98.4,98.0,,,,,,,,
山西省,98.4,98.0,98.0,96.5,97.7,96.3,98.4,98.7,98.3,97.6,96.3,96.2,,,,,,,,
内蒙古自治区,98.2,98.9,98.2,97.1,98.1,97.0,96.6,98.6,98.5,97.9,97.5,98.7,,,,,,,,
辽宁省,99.6,99.5,99.1,97.5,97.3,96.0,96.4,95.9,96.7,96.1,96.1,95.7,,,,,,,,
吉林省,98.9,98.9,98.7,101.1,100.3,96.3,96.0,95.2,97.5,97.0,97.4,97.9,,,,,,,,
黑龙江省,99.4,96.3,97.9,95.1,95.5,95.1,98.9,97.8,99.7,97.7,96.6,96.3,,,,,,,,
上海市,98.2,94.9,94.1,94.7,97.7,93.9,94.9,93.9,95.2,91.6,91.9,93.7,,,,,,,,
江苏省,100.5,99.5,97.2,96.5,96.5,92.8,92.1,94.1,96.9,96.0,95.0,93.6,,,,,,,,
浙江省,99.6,98.2,97.3,97.9,98.1,97.4,98.3,98.0,98.0,98.0,96.6,95.7,,,,,,,,
安徽省,99.0,99.6,99.4,98.4,99.1,96.6,97.9,96.8,96.7,96.2,96.7,95.5,,,,,,,,
福建省,97.9,98.5,98.6,98.6,98.3,95.3,98.3,98.0,96.9,96.4,97.2,94.5,,,,,,,,
江西省,99.2,98.0,99.4,99.7,97.9,97.6,97.5,96.9,98.5,97.0,97.0,97.3,,,,,,,,
山东省,99.3,98.9,98.6,99.1,98.5,99.2,97.8,97.8,97.0,96.1,98.5,94.4,,,,,,,,
河南省,100.0,99.2,99.3,98.5,98.7,98.1,100.0,98.6,98.6,98.4,97.6,97.3,,,,,,,,
湖北省,98.8,99.1,98.9,98.8,97.4,95.4,96.9,98.3,98.5,98.4,98.6,99.3,,,,,,,,
湖南省,100.4,99.8,99.6,100.8,99.9,97.5,98.5,97.0,99.2,99.0,98.3,98.0,,,,,,,,
广东省,99.2,99.3,99.4,99.0,98.4,95.3,95.7,95.9,96.3,94.8,95.6,94.8,,,,,,,,
广西壮族自治区,99.8,98.6,99.0,98.9,98.9,96.5,95.9,97.7,96.6,95.8,96.0,93.4,,,,,,,,
海南省,103.7,99.2,100.0,100.6,98.5,96.4,98.5,98.9,97.3,97.0,97.4,99.1,,,,,,,,
重庆市,99.7,98.7,98.2,93.2,95.0,96.3,97.9,99.3,100.0,99.8,98.2,98.2,,,,,,,,
四川省,97.4,98.2,96.8,96.5,98.5,97.9,97.3,97.9,98.9,97.1,97.0,95.0,,,,,,,,
贵州省,98.6,98.6,98.4,98.1,100.1,99.3,98.5,97.1,100.0,99.8,99.4,99.1,,,,,,,,
云南省,99.5,100.3,97.9,98.4,99.5,98.6,95.2,93.3,97.1,90.9,95.7,97.2,,,,,,,,
西藏自治区,96.9,99.3,97.8,96.4,96.2,97.6,98.1,99.7,92.3,97.5,99.2,97.8,,,,,,,,
陕西省,98.5,99.6,99.0,96.3,98.3,98.3,97.9,97.9,98.7,97.8,97.9,98.5,,,,,,,,
甘肃省,99.6,99.9,99.9,99.7,98.6,98.0,98.6,99.6,98.6,97.6,97.2,97.6,,,,,,,,
青海省,96.9,97.4,99.9,99.3,96.9,94.6,96.1,96.8,94.9,98.3,97.4,93.6,,,,,,,,
宁夏回族自治区,96.1,98.7,96.4,98.0,94.8,94.8,96.4,95.0,92.2,94.5,94.0,94.3,,,,,,,,
新疆维吾尔自治区,100.1,99.5,98.5,98.7,99.2,98.0,97.4,97.8,98.8,96.7,96.1,98.9,,,,,,,,
数据来源：国家统计局
