数据库：分省年度数据
指标：金银珠宝类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,88.5,88.9,101.3,120.9,120.3,93.9,121.4,109.0,129.7,105.1,111.5,108.6,105.2,91.2,89.6,92.2,89.2,99.0,,99.7
天津市,91.8,91.0,95.8,113.3,125.4,86.2,120.2,109.8,123.5,102.9,119.1,115.5,109.2,80.7,99.7,93.9,88.5,98.7,,97.8
河北省,90.8,91.7,101.5,113.7,114.7,91.0,118.1,105.9,124.5,104.2,112.2,109.7,100.3,91.9,95.4,93.5,92.0,98.8,,100.2
山西省,91.5,92.1,100.5,113.8,111.6,92.4,115.7,105.1,114.9,102.9,109.6,107.5,99.8,91.1,96.2,93.9,91.6,99.1,,98.7
内蒙古自治区,92.6,91.5,100.3,113.5,116.8,91.6,117.9,108.0,121.9,104.3,111.8,108.6,95.8,93.2,97.8,94.2,94.2,99.1,,98.6
辽宁省,90.5,91.9,101.0,115.4,114.6,93.2,117.4,108.5,119.8,103.8,112.2,108.8,104.3,90.4,94.0,91.0,90.0,98.8,,99.9
吉林省,89.2,89.1,100.4,116.7,118.1,95.3,117.9,108.3,117.3,104.9,117.3,112.8,103.8,92.4,91.5,94.5,92.1,97.5,,97.7
黑龙江省,87.1,98.3,102.0,117.6,115.5,91.4,118.4,108.1,117.8,105.8,112.4,107.6,103.7,89.1,95.3,92.5,90.7,98.2,,99.8
上海市,93.7,93.7,99.2,107.9,111.7,98.6,110.3,106.2,114.7,107.3,107.9,106.5,100.0,87.2,98.7,98.5,90.0,94.9,,98.1
江苏省,91.9,91.2,101.8,114.5,114.4,95.6,117.7,109.1,120.8,104.7,113.6,112.5,98.5,89.0,101.2,94.9,91.4,98.8,,99.5
浙江省,91.8,91.8,100.6,114.3,115.6,96.2,117.7,108.5,116.0,104.7,111.9,109.3,100.1,88.4,100.4,94.1,90.7,98.2,,99.0
安徽省,91.9,90.9,99.2,114.5,117.4,92.1,119.3,109.3,121.9,102.9,110.1,107.1,95.7,91.3,99.4,95.6,93.1,98.5,,99.3
福建省,94.1,94.1,98.9,111.7,112.3,98.2,112.4,105.5,112.7,104.2,108.3,103.8,100.5,96.3,97.4,95.9,91.2,95.9,,99.0
江西省,91.6,92.2,101.6,119.9,116.6,94.1,120.0,111.8,124.8,104.6,112.3,108.8,102.7,93.3,96.2,93.7,93.8,98.3,,99.1
山东省,94.5,93.9,101.5,112.2,110.5,99.5,114.3,108.3,117.5,103.4,109.0,104.9,100.7,94.9,94.9,93.0,91.3,98.7,,101.4
河南省,91.6,91.5,103.2,114.3,111.3,93.8,118.8,107.2,119.2,103.0,110.6,109.3,100.5,94.0,95.4,94.7,88.9,98.5,,98.9
湖北省,91.8,92.3,102.8,115.5,116.8,92.7,119.0,107.2,119.4,104.2,114.2,110.0,98.8,86.4,97.1,94.9,92.1,98.6,,100.0
湖南省,90.7,91.7,103.0,117.0,114.4,94.8,117.2,107.8,121.4,104.2,109.7,110.0,100.1,88.5,98.1,97.4,92.0,96.3,,98.4
广东省,91.9,90.6,101.8,112.5,112.6,102.4,114.6,107.8,118.1,105.3,113.2,108.9,98.3,92.3,101.4,96.3,91.6,94.8,,98.9
广西壮族自治区,91.5,90.6,102.5,114.2,114.0,98.5,112.0,106.9,118.9,106.1,109.3,105.8,104.6,88.2,98.0,95.2,90.9,99.0,,101.0
海南省,92.0,90.5,103.9,115.6,113.7,100.2,114.4,108.1,116.5,105.0,113.7,107.8,103.6,94.4,94.6,85.6,95.2,99.0,,98.0
重庆市,94.3,93.9,99.0,113.3,119.2,91.0,119.7,106.5,123.5,104.0,106.5,110.5,109.7,88.6,99.7,96.1,93.5,95.6,,
四川省,90.4,91.8,101.8,112.6,114.3,93.6,114.8,105.4,117.1,104.6,109.1,108.3,100.9,91.0,99.9,95.6,91.7,97.1,,101.3
贵州省,91.3,95.1,101.5,111.7,108.9,89.7,113.3,108.3,120.6,103.6,115.7,106.4,101.3,95.2,95.1,91.4,91.8,97.8,,98.4
云南省,88.8,90.5,101.6,116.8,117.1,94.2,124.5,108.9,123.5,105.2,111.9,108.4,94.8,92.2,104.6,96.6,90.5,96.6,,103.3
西藏自治区,97.8,99.7,101.0,106.5,105.1,98.6,113.3,101.3,102.0,98.7,101.0,98.5,96.5,104.4,92.6,96.2,,,,
陕西省,91.1,90.2,98.5,114.6,113.8,95.7,113.4,106.6,120.6,103.6,116.6,106.8,107.2,94.0,94.6,97.7,79.3,96.3,,100.6
甘肃省,92.2,91.4,105.6,114.5,111.4,93.8,124.2,109.0,118.3,104.0,115.4,106.1,98.4,90.7,95.4,95.3,93.2,99.0,,100.5
青海省,92.2,91.4,100.4,111.3,112.8,92.1,134.4,113.8,118.7,101.5,110.2,101.5,100.0,91.3,96.7,96.3,96.3,100.6,,100.9
宁夏回族自治区,90.7,90.8,94.5,109.1,111.9,92.9,116.8,104.3,117.2,104.3,116.4,111.6,101.3,88.9,97.6,97.3,87.6,98.4,,96.4
新疆维吾尔自治区,94.7,94.4,103.8,118.5,110.7,97.4,113.1,105.4,116.0,102.2,107.5,104.4,99.0,93.5,97.5,96.0,91.3,98.3,,99.1
数据来源：国家统计局
