数据库：分省年度数据
指标：燃料类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,97.8,100.6,102.7,110.9,109.9,97.4,111.7,104.1,111.9,109.9,107.9,109.9,107.6,108.2,109.4,114.5,100.4,156.9,103.6,99.4
天津市,102.8,99.8,102.2,108.2,106.8,96.1,109.8,104.8,106.8,112.9,110.5,109.9,111.5,107.6,115.2,99.9,101.4,122.3,116.5,102.7
河北省,97.1,98.7,101.0,111.6,112.5,96.7,121.5,104.9,112.0,114.7,116.7,108.6,106.7,106.7,113.4,98.1,97.2,106.6,109.6,113.3
山西省,97.2,97.4,102.6,109.5,111.8,97.5,121.5,105.1,111.4,115.0,117.6,114.8,111.5,104.1,113.5,96.6,98.0,105.6,101.9,110.1
内蒙古自治区,96.0,100.0,102.0,108.9,109.5,100.5,120.7,104.6,113.3,123.5,115.8,104.8,102.5,105.0,116.5,97.9,99.0,107.6,103.9,101.2
辽宁省,98.7,99.6,103.1,111.4,111.6,98.6,115.4,104.0,110.9,114.9,109.8,108.3,100.9,105.0,118.2,101.0,98.7,103.9,102.4,105.5
吉林省,99.8,101.6,103.6,112.6,111.7,94.3,115.3,104.4,115.9,118.3,108.5,106.7,102.8,104.2,114.4,100.3,99.9,104.7,103.4,103.6
黑龙江省,98.6,99.1,103.1,110.2,113.9,101.1,114.0,105.8,112.6,118.0,109.3,106.2,105.1,103.4,111.5,99.8,101.9,104.2,105.7,105.8
上海市,99.8,99.3,102.0,107.2,112.8,102.1,112.0,103.0,110.0,109.1,107.0,108.6,106.8,111.4,119.7,99.8,108.3,123.0,103.1,118.5
江苏省,101.5,101.9,103.4,109.3,112.5,87.6,112.2,103.9,112.2,113.7,111.0,110.0,99.6,101.6,118.4,100.0,95.4,107.2,108.0,106.2
浙江省,100.0,99.8,103.3,111.9,114.3,88.3,114.5,104.5,112.6,113.1,112.9,108.8,98.3,98.7,121.0,103.2,92.3,103.6,104.4,103.6
安徽省,99.7,99.3,103.5,109.7,112.2,92.9,115.1,103.3,111.5,112.8,112.3,109.3,103.1,104.9,111.6,98.1,94.1,106.5,111.3,106.3
福建省,99.6,100.7,103.1,112.4,116.7,87.4,115.1,104.4,114.5,117.0,111.8,109.6,98.5,100.7,117.7,101.1,96.7,106.4,103.9,106.2
江西省,99.9,100.1,103.3,108.7,112.4,94.2,117.1,102.9,110.5,118.4,111.2,108.7,104.7,100.6,118.9,99.1,93.6,104.5,106.4,110.2
山东省,99.1,99.5,102.3,109.9,110.0,94.6,117.8,104.3,109.9,113.3,114.6,108.9,104.3,105.5,115.7,97.8,96.5,104.7,106.1,111.8
河南省,98.5,98.3,104.5,113.6,110.5,98.7,119.3,102.6,111.2,118.2,119.4,108.9,107.7,107.2,115.7,97.3,94.7,107.9,107.7,104.3
湖北省,99.7,100.5,102.9,110.6,112.2,90.7,115.6,104.2,112.9,113.8,109.3,108.6,99.3,98.6,122.6,97.1,94.7,107.5,106.8,107.2
湖南省,99.2,99.0,103.5,113.6,113.5,87.2,122.8,102.8,110.2,123.2,110.0,109.2,102.1,102.6,120.1,99.3,96.4,102.4,103.6,125.4
广东省,98.4,99.2,102.5,111.1,115.4,85.2,115.7,104.2,113.9,115.6,112.9,113.1,98.1,97.4,122.5,102.9,91.9,103.9,100.7,105.3
广西壮族自治区,99.4,99.7,103.9,109.7,115.3,91.6,116.7,104.3,113.0,115.0,112.0,112.5,98.9,98.5,126.1,103.9,89.6,103.4,101.7,104.4
海南省,98.4,102.4,103.2,110.5,114.5,89.9,113.7,103.6,114.6,113.4,106.9,109.5,98.5,95.1,116.0,105.7,95.5,110.0,95.2,105.2
重庆市,99.4,100.7,102.1,111.3,109.2,95.3,107.0,106.0,116.5,107.9,106.2,105.3,100.3,97.7,121.7,98.1,103.8,109.4,,
四川省,99.7,100.4,102.3,113.2,110.9,100.7,115.8,105.7,111.7,114.0,108.8,104.3,101.0,102.3,117.9,98.8,97.2,109.9,108.0,102.1
贵州省,100.6,99.7,102.2,113.7,111.2,93.7,124.5,108.1,113.5,118.3,113.4,107.6,101.1,103.2,113.4,98.6,96.7,103.2,106.1,115.5
云南省,101.0,103.9,104.7,112.8,109.3,100.7,113.0,103.9,111.8,112.5,111.5,108.3,97.1,98.0,123.1,101.7,94.4,107.5,105.1,102.9
西藏自治区,99.7,100.9,104.1,106.2,106.1,99.6,110.4,104.0,109.4,107.5,111.6,95.0,105.0,99.4,106.2,103.0,,,,
陕西省,98.2,99.4,102.9,111.7,108.5,96.0,116.3,103.7,111.3,114.4,113.3,109.9,100.7,100.1,112.8,98.8,97.3,104.8,106.1,103.8
甘肃省,99.0,100.5,102.6,110.7,111.1,101.4,119.1,103.4,111.2,113.0,111.3,107.2,99.5,107.3,115.8,97.9,98.5,104.7,106.6,102.6
青海省,98.8,100.3,103.7,112.9,109.6,98.3,121.3,106.0,112.2,112.7,110.5,107.6,107.6,103.7,108.3,100.1,101.6,109.5,107.6,106.5
宁夏回族自治区,99.8,100.7,102.5,110.0,109.9,99.3,125.1,104.2,113.7,117.1,114.5,106.3,106.3,108.7,122.9,99.4,96.6,106.0,104.7,101.6
新疆维吾尔自治区,100.1,102.0,103.8,109.6,107.7,97.0,112.7,107.7,115.3,114.1,108.4,105.7,103.4,109.2,109.3,100.0,101.6,114.1,108.7,115.5
数据来源：国家统计局
