数据库：分省年度数据
指标：粮食类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,102.2,104.4,102.6,110.8,109.6,105.6,108.9,107.4,102.6,106.1,120.6,99.1,99.9,97.2,92.0,98.2,96.4,96.7,112.1,136.6
天津市,103.4,108.7,102.4,108.5,117.5,107.6,105.5,106.3,103.7,103.8,123.7,102.1,96.7,101.4,100.4,92.8,94.6,95.4,115.4,134.4
河北省,102.3,108.1,102.8,109.6,112.1,105.9,107.1,109.2,103.1,103.1,123.8,102.4,98.0,99.7,91.5,95.8,93.4,92.5,108.4,143.7
山西省,103.8,109.3,103.0,108.3,107.6,106.8,107.6,105.9,101.1,103.6,124.2,101.9,99.0,97.5,91.0,95.9,94.1,94.9,110.3,141.1
内蒙古自治区,104.3,105.9,105.3,110.9,109.9,106.7,106.3,107.3,102.4,103.8,125.9,100.2,99.6,100.7,93.4,95.4,95.8,93.6,108.7,148.5
辽宁省,103.9,106.0,103.8,111.6,112.5,109.9,104.8,105.8,102.4,104.2,127.3,98.2,96.6,107.7,90.2,95.4,96.3,92.5,111.2,137.2
吉林省,103.5,106.1,104.5,110.9,114.3,110.7,104.4,106.6,103.6,103.8,129.4,99.1,95.2,109.1,90.7,93.7,97.9,94.5,105.3,140.4
黑龙江省,103.3,104.5,104.4,112.3,112.2,109.8,103.9,104.5,105.0,100.5,124.4,99.5,99.9,104.1,92.7,93.7,99.1,98.2,103.3,139.6
上海市,102.0,103.6,103.0,113.3,112.0,103.7,107.3,101.4,102.4,102.1,128.8,100.5,96.8,102.3,97.1,93.9,93.4,94.0,117.5,131.4
江苏省,103.6,102.9,102.3,111.0,116.4,105.0,106.1,103.4,103.4,100.1,137.1,102.0,97.9,105.9,88.5,94.5,103.6,82.3,108.4,136.9
浙江省,101.8,102.8,103.6,112.5,114.2,105.7,105.1,104.0,103.6,98.1,133.6,102.4,97.9,102.7,87.8,98.4,101.4,85.0,106.5,130.8
安徽省,102.9,104.5,104.4,116.2,111.3,106.8,105.7,106.2,102.7,98.0,137.9,100.5,99.8,104.6,86.5,97.7,101.2,88.5,108.4,128.0
福建省,102.0,102.4,102.9,116.3,116.0,103.2,105.5,106.6,103.6,99.6,124.2,106.2,100.6,101.8,90.2,95.0,100.4,88.5,101.2,132.6
江西省,102.9,102.4,103.8,113.9,107.4,104.1,107.7,108.4,100.9,98.8,130.3,104.0,99.3,97.9,87.2,99.2,102.5,91.8,110.3,126.3
山东省,103.8,107.2,102.4,108.7,113.0,104.8,106.7,108.5,102.6,100.0,125.9,105.6,98.8,101.3,90.8,96.9,91.5,93.0,109.7,134.0
河南省,104.8,107.0,103.5,110.3,111.1,107.9,106.8,108.6,101.5,100.9,131.4,104.8,98.6,102.0,85.3,98.6,91.9,91.1,109.3,138.3
湖北省,102.9,104.2,105.3,116.0,110.5,103.4,105.6,107.5,103.8,100.7,128.0,106.9,98.0,97.4,83.4,100.8,99.6,93.1,102.8,135.9
湖南省,102.2,105.6,105.3,116.7,107.3,104.5,114.2,109.6,101.7,100.4,129.1,102.2,100.0,100.6,87.7,98.6,99.6,94.0,104.9,121.6
广东省,103.0,102.4,104.9,112.0,106.9,104.2,108.3,104.7,101.9,102.0,117.2,101.1,98.2,97.2,95.1,96.6,95.7,94.3,103.9,124.3
广西壮族自治区,102.3,101.6,103.5,117.0,106.7,106.0,112.5,106.1,100.7,101.6,122.8,107.1,99.1,94.8,91.7,96.6,95.3,93.9,102.1,133.7
海南省,103.2,101.9,104.1,117.7,110.5,103.7,109.7,102.2,103.7,100.1,113.0,102.2,98.5,98.8,90.9,97.3,88.7,91.5,107.5,122.0
重庆市,101.8,103.0,107.7,115.4,113.1,106.2,112.0,107.9,101.3,102.7,127.1,100.5,106.4,96.8,87.2,94.3,92.5,103.8,,
四川省,102.7,102.9,104.6,112.1,109.7,104.3,105.9,108.1,101.0,102.4,124.9,101.2,103.2,101.4,88.7,93.6,94.0,97.5,110.5,125.3
贵州省,101.9,103.7,104.8,117.1,120.4,103.7,108.8,107.0,103.2,100.0,123.8,103.9,98.1,96.9,93.2,96.9,93.3,94.4,109.2,132.7
云南省,103.0,102.4,103.6,111.7,113.2,103.9,109.3,105.9,101.4,103.3,126.9,100.7,96.7,102.3,90.8,97.5,95.1,92.4,106.0,138.9
西藏自治区,106.5,107.9,103.0,112.0,106.8,100.4,103.7,108.0,97.4,105.9,108.3,98.8,91.1,99.0,100.3,99.2,,,,
陕西省,103.2,107.3,103.6,110.3,114.1,104.4,107.3,107.6,103.0,101.0,123.9,104.9,98.6,98.8,91.1,95.5,93.7,96.7,113.5,135.9
甘肃省,104.1,107.4,102.4,110.8,122.2,105.0,107.6,106.4,102.8,102.8,117.7,101.2,98.5,98.1,94.9,95.7,91.8,95.4,113.4,139.0
青海省,104.4,107.8,103.1,109.1,113.9,106.9,108.6,107.7,105.8,101.1,114.2,101.7,98.0,97.6,95.8,98.2,97.9,104.2,118.3,132.8
宁夏回族自治区,104.0,106.0,101.7,115.5,112.8,107.3,108.6,105.2,102.1,104.6,120.5,101.1,98.6,102.4,92.1,98.8,93.1,101.1,108.8,136.4
新疆维吾尔自治区,103.2,106.3,107.1,108.3,109.7,102.8,110.9,107.7,102.6,101.9,115.2,97.1,97.1,99.6,88.9,94.4,97.2,104.1,116.0,132.0
数据来源：国家统计局
