数据库：分省年度数据
指标：建筑材料及五金电料类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99.7,100.4,99.2,103.7,101.5,99.0,106.9,103.5,100.4,99.6,99.4,94.2,,,,,,106.9,110.1,104.0
天津市,101.0,102.4,101.1,107.7,101.4,105.5,112.2,104.0,107.7,101.6,100.6,99.1,,,,,,98.4,101.4,100.8
河北省,100.1,101.3,100.8,105.0,102.7,100.5,107.4,103.4,102.2,101.3,102.2,99.7,,,,,,99.9,103.4,108.3
山西省,98.5,99.7,100.5,104.9,100.9,99.5,113.7,105.6,102.7,103.2,104.1,98.8,,,,,,98.0,101.3,107.4
内蒙古自治区,100.5,99.8,100.5,102.2,102.5,100.2,103.5,103.1,100.9,101.0,101.3,98.2,,,,,,101.7,101.2,101.9
辽宁省,99.8,100.4,101.9,105.5,101.2,100.2,104.8,103.9,103.5,102.2,101.1,94.9,,,,,,99.2,100.8,101.5
吉林省,101.1,100.9,102.4,105.3,100.4,100.4,106.0,104.5,102.9,101.4,101.6,98.6,,,,,,99.9,101.7,105.1
黑龙江省,101.0,99.1,100.5,104.0,102.8,99.9,105.5,106.2,102.3,103.5,102.0,99.6,,,,,,98.2,101.2,108.1
上海市,99.3,100.6,102.6,104.2,103.3,97.9,106.6,107.6,106.1,104.0,104.7,100.8,,,,,,92.0,96.6,100.8
江苏省,100.9,100.3,99.4,106.3,105.3,97.3,107.5,107.5,105.4,103.6,104.4,99.3,,,,,,97.8,100.4,107.6
浙江省,100.1,100.3,100.3,105.2,104.5,97.8,108.1,107.0,105.5,103.0,104.3,100.6,,,,,,98.7,102.2,105.0
安徽省,100.1,100.1,98.5,104.3,103.5,97.0,106.7,104.7,101.1,102.1,102.5,99.4,,,,,,99.4,103.5,108.8
福建省,99.5,99.3,98.3,105.5,104.5,94.8,108.5,105.3,102.6,101.4,103.4,99.9,,,,,,97.0,97.0,102.9
江西省,100.5,101.3,100.8,106.5,105.3,97.2,108.1,105.5,102.6,101.3,104.6,101.5,,,,,,97.7,101.1,107.6
山东省,100.1,100.3,100.0,105.3,103.2,98.4,107.6,104.4,103.1,102.0,104.4,99.2,,,,,,100.0,101.0,105.7
河南省,100.4,100.0,101.3,107.0,104.3,96.9,109.3,105.5,102.8,102.1,106.3,100.4,,,,,,98.2,101.1,113.3
湖北省,101.1,101.3,101.1,104.4,103.4,98.2,108.7,105.3,104.0,101.9,106.9,101.4,,,,,,101.5,101.3,104.9
湖南省,101.5,101.9,101.8,106.0,104.0,98.9,105.5,104.6,103.9,105.2,103.8,100.9,,,,,,97.4,98.4,106.4
广东省,100.7,100.8,100.4,103.5,103.5,98.5,107.7,103.5,100.5,100.8,104.4,101.3,,,,,,98.1,98.7,98.7
广西壮族自治区,100.1,100.9,99.8,106.2,104.8,97.8,109.9,106.9,100.7,102.6,105.1,100.1,,,,,,95.6,99.0,101.8
海南省,102.1,97.3,98.4,104.6,111.9,93.6,113.2,109.3,106.7,106.6,106.3,100.6,,,,,,96.2,97.4,91.9
重庆市,102.6,103.1,102.6,105.1,103.1,99.7,105.1,109.2,106.4,101.3,99.0,100.1,,,,,,100.9,,
四川省,100.0,100.3,97.3,103.6,102.6,99.3,107.4,104.3,101.4,101.4,101.7,99.2,,,,,,102.7,104.1,106.2
贵州省,99.4,99.3,99.0,102.7,102.5,96.6,112.7,105.2,100.4,102.8,101.2,98.6,,,,,,98.4,101.1,104.6
云南省,100.7,101.3,101.1,104.0,102.8,99.4,107.6,103.0,105.4,103.5,104.2,99.9,,,,,,102.6,102.7,96.7
西藏自治区,101.5,104.7,101.2,103.8,102.0,101.4,102.2,100.4,100.6,99.7,98.2,100.0,,,,,,,,
陕西省,96.5,98.7,100.7,105.4,103.1,102.1,107.0,104.7,102.6,101.2,101.8,99.9,,,,,,99.9,102.4,105.5
甘肃省,100.4,100.8,100.4,101.8,102.3,103.2,109.6,103.5,101.3,102.4,102.5,98.0,,,,,,99.6,99.9,99.2
青海省,100.6,99.7,98.3,102.8,101.1,99.9,115.0,105.3,101.6,102.5,101.3,97.4,,,,,,104.8,101.5,107.3
宁夏回族自治区,99.5,100.1,97.7,105.8,102.3,99.7,114.1,106.2,100.3,101.0,105.1,97.8,,,,,,99.3,107.7,105.0
新疆维吾尔自治区,100.7,99.6,97.7,104.8,103.0,101.8,110.0,107.3,104.1,103.7,101.4,97.6,,,,,,102.9,103.8,104.4
数据来源：国家统计局
