数据库：分省年度数据
指标：肉禽及其制品类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99.9,106.7,106.7,121.8,101.2,95.2,125.1,128.6,99.6,104.0,110.1,100.8,,,,,,,,
天津市,99.6,108.0,105.7,122.6,103.9,93.1,118.9,129.9,96.6,104.5,113.9,102.0,,,,,,,,
河北省,98.4,106.7,101.8,124.8,102.2,90.8,122.9,134.3,95.9,102.5,115.1,104.3,,,,,,,,
山西省,99.1,104.5,101.0,125.8,102.6,88.5,123.7,136.8,95.0,101.1,120.3,106.6,,,,,,,,
内蒙古自治区,100.2,109.7,105.9,125.2,105.0,93.0,120.6,134.1,97.1,102.5,114.5,101.8,,,,,,,,
辽宁省,99.2,107.2,102.4,125.5,101.3,92.5,123.0,138.9,96.1,99.8,115.5,102.0,,,,,,,,
吉林省,100.3,107.0,104.0,123.3,103.0,91.7,123.9,141.2,96.4,101.0,115.4,102.2,,,,,,,,
黑龙江省,99.3,106.7,106.4,125.3,101.3,91.4,119.6,137.5,96.5,99.7,113.8,101.6,,,,,,,,
上海市,101.4,103.7,105.1,119.9,104.2,95.6,122.9,123.0,100.6,105.5,117.6,101.7,,,,,,,,
江苏省,99.9,103.1,102.5,120.8,102.8,92.8,121.3,127.2,96.5,104.4,117.2,103.9,,,,,,,,
浙江省,100.1,103.9,101.1,122.9,103.5,90.5,119.2,129.4,95.9,103.5,120.1,105.5,,,,,,,,
安徽省,98.6,104.6,98.7,124.7,103.0,89.3,121.6,131.6,96.0,104.5,117.5,107.6,,,,,,,,
福建省,100.7,103.5,102.0,119.7,102.3,91.0,121.0,127.5,97.2,104.0,115.3,101.5,,,,,,,,
江西省,100.8,104.3,99.1,121.8,101.0,92.4,119.3,129.4,94.8,102.0,117.7,105.0,,,,,,,,
山东省,98.7,103.2,101.5,122.9,103.5,91.5,122.6,132.6,96.6,103.0,118.7,106.1,,,,,,,,
河南省,98.8,104.8,99.3,126.3,104.0,90.0,124.5,137.7,96.6,102.9,120.2,105.0,,,,,,,,
湖北省,100.9,105.3,102.2,122.6,101.9,90.9,124.5,134.8,97.5,105.0,120.6,105.5,,,,,,,,
湖南省,101.4,103.9,98.6,119.3,102.4,89.8,115.8,132.8,96.6,101.4,120.5,106.0,,,,,,,,
广东省,103.0,102.0,104.7,119.0,102.3,92.5,120.3,121.8,98.2,105.6,112.5,100.6,,,,,,,,
广西壮族自治区,103.9,102.8,104.0,120.2,103.1,92.0,121.8,132.5,95.5,103.4,119.0,102.2,,,,,,,,
海南省,103.2,102.0,104.4,117.0,103.6,94.8,119.0,124.3,98.7,100.9,122.8,103.0,,,,,,,,
重庆市,99.4,103.7,99.1,130.1,104.7,86.7,122.7,136.7,99.6,101.4,121.5,99.2,,,,,,,,
四川省,98.7,103.9,100.0,123.7,103.6,91.9,116.0,133.3,100.5,101.9,121.0,100.4,,,,,,,,
贵州省,101.1,104.1,101.8,123.6,104.9,89.9,125.9,134.5,100.0,101.0,120.4,102.6,,,,,,,,
云南省,100.8,103.6,103.9,124.6,102.3,90.5,127.5,130.6,98.5,99.1,123.2,100.3,,,,,,,,
西藏自治区,107.3,112.7,109.5,110.9,102.2,100.3,124.6,118.8,102.3,104.1,107.4,103.3,,,,,,,,
陕西省,99.1,104.0,101.7,127.8,105.5,90.1,127.1,139.9,97.1,100.9,120.6,104.5,,,,,,,,
甘肃省,100.0,104.2,103.8,122.5,104.6,92.9,127.6,133.5,98.0,103.0,114.6,100.1,,,,,,,,
青海省,99.3,110.6,107.6,123.1,104.8,94.0,128.1,135.4,95.3,102.2,114.3,103.6,,,,,,,,
宁夏回族自治区,100.6,109.0,105.1,123.2,106.1,93.0,128.5,137.5,97.9,102.7,117.3,102.2,,,,,,,,
新疆维吾尔自治区,99.9,114.7,106.5,120.2,111.6,100.7,131.4,124.8,98.4,97.8,108.5,96.5,,,,,,,,
数据来源：国家统计局
