数据库：分省年度数据
指标：纺织品类商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,95.9,99.3,96.3,107.4,100.5,98.5,100.3,97.8,99.9,98.2,99.0,99.5,103.5,98.7,98.3,100.1,99.9,102.2,109.6,120.6
天津市,100.4,103.5,102.3,112.4,108.6,96.5,103.3,93.9,97.7,102.2,94.5,95.3,97.6,98.2,96.7,92.8,94.6,98.3,101.5,108.3
河北省,101.0,101.3,103.1,107.3,101.9,99.9,101.1,99.9,99.1,101.2,100.7,99.0,100.1,99.0,99.2,98.1,99.9,104.1,107.3,115.3
山西省,101.2,102.7,102.7,105.6,100.7,98.8,99.1,100.7,99.0,98.7,99.1,99.7,96.9,95.4,94.5,97.0,98.8,101.4,104.6,114.9
内蒙古自治区,100.0,104.0,102.6,104.3,99.7,98.8,99.2,101.8,99.7,99.2,99.6,96.9,99.3,98.1,97.3,97.4,99.4,102.2,108.5,115.2
辽宁省,100.0,101.2,103.7,110.2,101.7,98.7,99.0,100.1,100.1,98.9,97.4,99.9,100.2,98.5,99.4,95.7,98.8,101.6,107.0,117.0
吉林省,101.3,100.6,103.4,106.9,101.1,100.5,100.3,99.8,100.6,99.7,100.0,100.4,99.0,98.9,98.4,97.8,99.3,102.6,107.3,112.8
黑龙江省,101.8,99.3,101.6,106.3,100.1,98.5,100.7,99.8,100.5,101.1,100.1,98.5,99.0,99.4,97.9,96.6,98.4,103.1,109.7,116.8
上海市,99.1,100.6,99.5,117.6,103.9,100.5,102.1,102.6,100.1,99.4,102.2,99.8,99.4,98.8,99.6,103.6,97.5,100.3,104.8,111.0
江苏省,103.3,101.5,104.6,102.8,103.4,99.6,103.8,101.7,100.2,100.0,100.1,99.6,99.8,98.9,100.0,98.7,99.0,102.0,106.5,115.8
浙江省,101.8,102.1,101.4,106.8,102.2,100.0,101.5,101.7,101.4,100.5,99.1,97.6,98.5,98.6,99.3,99.4,100.1,103.3,108.1,113.3
安徽省,99.7,99.1,100.2,104.9,100.5,99.7,101.2,100.5,100.0,99.5,102.1,99.0,99.1,99.2,97.7,97.5,99.6,101.6,105.9,114.4
福建省,98.3,98.9,101.9,106.1,98.1,101.2,101.4,98.7,99.6,99.3,100.4,97.2,97.9,100.9,98.9,99.3,99.5,101.4,103.9,113.7
江西省,100.8,101.2,100.3,106.9,101.9,101.6,98.8,100.0,102.4,99.0,101.4,99.7,99.5,100.1,97.9,96.2,99.5,102.0,103.6,114.3
山东省,103.2,101.3,102.7,103.0,100.3,99.5,99.1,100.3,99.3,99.1,99.5,99.6,99.0,99.1,98.5,96.7,99.4,100.9,106.1,112.8
河南省,100.5,100.8,102.4,109.8,104.0,100.5,102.3,100.9,100.2,99.8,100.6,100.0,98.5,99.3,99.3,97.4,98.5,101.0,106.5,114.6
湖北省,102.2,102.3,100.6,107.0,101.8,99.8,99.6,99.7,100.7,98.2,99.9,100.9,99.9,98.8,98.1,97.9,97.9,103.0,105.8,113.5
湖南省,101.1,101.4,100.4,101.7,101.0,100.5,98.7,99.1,101.4,100.3,100.9,99.3,100.7,98.8,97.7,98.0,99.5,101.9,102.1,114.5
广东省,99.5,98.0,99.0,104.4,97.9,98.2,102.0,100.6,101.0,99.1,99.5,99.0,100.2,100.2,98.7,98.0,100.1,101.1,106.6,115.9
广西壮族自治区,100.0,101.7,101.4,107.5,100.2,100.7,101.2,98.1,97.8,101.2,98.4,98.9,98.8,99.7,98.8,98.6,99.7,103.1,107.0,117.6
海南省,101.8,101.5,103.3,103.6,101.8,101.3,99.7,101.8,99.4,98.0,102.8,99.4,100.2,99.6,98.8,100.7,100.1,103.7,105.2,123.1
重庆市,98.2,100.8,96.4,111.9,100.6,96.9,102.2,95.8,93.6,98.7,99.8,100.5,99.1,99.9,96.7,98.6,100.3,110.7,,
四川省,101.4,101.6,100.6,101.6,101.9,98.8,100.2,100.0,100.3,100.4,100.6,100.0,99.6,99.8,98.7,99.3,99.8,102.6,106.1,117.1
贵州省,99.3,99.2,102.1,103.8,99.5,98.4,101.0,97.4,98.1,103.3,99.3,94.6,97.3,98.7,98.4,98.2,98.7,101.3,106.0,112.5
云南省,99.1,102.0,103.5,110.0,100.3,100.5,98.6,98.7,96.9,99.3,98.7,96.5,98.8,99.4,96.3,97.3,101.1,102.5,108.3,119.2
西藏自治区,101.2,100.6,102.6,103.6,102.2,102.8,102.1,100.2,99.8,99.4,100.3,101.8,98.1,99.1,96.6,97.9,,,,
陕西省,101.4,102.2,103.6,101.8,99.8,100.3,98.9,100.9,99.7,101.6,102.5,100.8,98.0,98.5,97.9,95.8,97.4,101.1,109.4,116.9
甘肃省,102.6,101.5,101.8,102.1,100.8,101.2,98.9,97.6,100.3,100.1,101.0,100.4,98.0,99.1,98.0,94.6,100.5,104.0,106.7,113.5
青海省,100.9,100.0,99.0,111.0,105.6,102.2,99.6,101.4,99.7,100.7,101.0,99.0,98.6,98.6,99.2,99.4,100.1,101.3,107.8,116.5
宁夏回族自治区,98.7,102.1,94.1,95.2,101.0,98.8,100.8,101.2,100.2,100.0,98.6,94.4,98.2,95.6,95.2,95.5,98.9,104.9,105.3,116.0
新疆维吾尔自治区,102.0,102.4,101.8,101.8,103.5,100.8,100.1,99.8,99.2,100.5,100.3,99.5,97.7,100.3,97.1,96.9,100.4,102.0,109.3,117.9
数据来源：国家统计局
