数据库：分省年度数据
指标：建筑安装工程固定资产投资价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,98.5,97.3,99.0,109.7,104.0,94.3,111.8,104.1,99.7,100.5,107.7,104.3,101.2,101.5,101.3,100.4,101.4,104.9,111.6,113.0
天津市,100.5,99.3,100.1,109.0,104.2,96.4,114.0,103.5,100.3,101.4,111.3,104.9,100.7,100.1,100.7,100.2,100.2,101.9,102.9,108.3
河北省,100.2,99.9,100.6,107.9,105.0,94.7,113.9,105.4,101.6,101.8,109.6,104.2,100.0,100.6,102.3,100.0,99.4,105.0,106.0,106.0
山西省,99.5,100.8,102.0,107.8,105.5,97.9,120.0,106.0,101.2,102.7,106.5,103.9,101.2,102.9,103.5,100.1,98.4,101.6,105.0,107.1
内蒙古自治区,99.8,99.6,101.0,108.1,107.3,98.1,110.6,104.6,104.1,104.5,105.9,103.7,101.5,101.2,103.9,102.8,102.1,97.9,108.4,101.7
辽宁省,99.3,99.9,101.2,109.1,104.2,95.4,113.3,106.1,102.8,103.7,107.5,104.8,101.0,100.4,101.9,100.9,100.2,102.1,102.9,104.0
吉林省,100.4,100.4,100.8,108.4,103.2,99.6,110.7,105.2,103.0,102.5,105.6,102.3,101.9,102.6,103.2,106.1,101.2,106.4,105.7,106.8
黑龙江省,99.9,100.4,101.0,109.9,106.7,94.8,111.9,105.5,102.2,102.2,106.3,102.7,101.1,100.6,103.1,99.7,101.6,103.8,103.3,106.7
上海市,100.3,99.8,98.7,110.6,106.1,94.8,112.1,104.6,100.1,100.9,110.6,105.2,101.9,102.4,101.5,97.8,98.9,101.4,108.9,101.9
江苏省,101.7,100.8,97.9,110.4,106.9,97.0,115.9,107.8,100.8,99.6,114.1,107.7,102.4,101.0,102.3,99.3,99.1,100.0,102.9,107.1
浙江省,100.3,99.5,98.6,111.4,106.7,94.6,113.7,105.6,100.3,99.3,108.7,106.1,101.3,101.2,101.5,98.8,97.0,99.8,101.6,105.7
安徽省,100.4,100.3,101.3,111.0,107.5,94.4,113.7,107.4,100.9,101.0,108.1,105.8,102.1,99.6,102.8,100.8,100.3,101.1,104.3,102.4
福建省,100.4,100.0,100.6,109.4,104.9,97.4,108.5,107.1,102.4,101.1,106.7,104.2,100.5,100.2,102.4,99.3,98.9,102.2,103.7,103.3
江西省,100.0,100.4,101.2,112.1,105.6,93.9,114.0,106.9,103.1,99.2,109.6,107.5,100.4,99.7,103.7,99.5,104.0,102.4,109.2,105.7
山东省,100.2,100.5,101.2,109.7,105.3,95.4,110.7,105.5,102.1,103.7,110.4,104.7,102.3,103.2,105.1,101.3,100.2,100.7,103.2,105.7
河南省,100.1,99.8,101.4,110.1,104.9,94.6,112.1,106.3,101.5,101.3,113.6,105.8,99.5,101.5,105.0,98.1,98.1,103.9,103.9,103.8
湖北省,101.1,100.5,102.1,109.3,105.9,96.8,112.2,104.9,101.2,102.1,109.2,105.9,100.6,100.6,103.0,99.2,100.5,102.3,105.2,103.5
湖南省,101.5,101.6,102.2,108.9,104.8,99.6,112.3,107.6,103.4,104.3,107.9,104.4,100.9,101.8,103.3,100.6,104.2,102.1,108.2,110.4
广东省,102.0,101.9,101.9,108.0,104.3,95.3,112.2,103.8,100.7,102.3,109.9,104.3,101.2,101.5,,,,,,
广西壮族自治区,102.2,99.9,100.8,108.7,103.8,96.8,110.7,103.0,101.1,101.3,106.8,103.5,100.8,103.6,102.4,96.6,101.4,100.3,104.2,101.8
海南省,100.6,98.9,102.5,108.2,105.5,97.2,118.7,109.9,100.7,101.4,109.7,105.7,97.8,102.2,104.0,,,,,
重庆市,100.4,100.5,102.1,107.8,102.7,97.0,113.7,106.0,101.1,102.2,107.0,104.7,101.9,101.4,103.1,100.7,100.0,103.2,,
四川省,100.6,100.2,101.6,107.1,103.2,97.1,118.8,106.4,103.4,105.3,110.1,103.8,102.0,103.9,103.4,101.8,97.7,104.0,106.8,98.4
贵州省,101.3,101.5,102.0,107.5,103.6,102.0,114.3,105.4,101.5,101.8,106.4,103.9,100.8,101.2,102.5,100.2,102.5,103.9,109.1,107.9
云南省,101.2,101.2,101.7,106.0,103.5,97.6,110.1,104.5,101.2,105.4,110.4,103.1,100.9,101.9,102.4,102.0,103.5,106.7,105.4,102.5
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,101.2,102.3,103.4,107.9,105.3,99.1,113.3,105.6,103.5,103.7,106.0,102.1,102.7,103.8,105.5,102.4,104.8,108.8,110.6,107.2
甘肃省,100.2,101.0,102.5,106.7,105.0,100.6,111.8,103.9,104.4,102.4,106.7,102.9,100.9,103.2,105.4,101.4,100.9,104.0,107.6,107.9
青海省,101.1,102.0,102.7,107.9,104.5,101.1,113.3,104.6,102.6,102.1,103.2,102.9,104.7,101.0,102.7,101.0,99.0,104.5,104.4,104.3
宁夏回族自治区,101.1,99.9,101.9,109.1,105.3,100.7,110.6,104.1,101.2,102.2,107.1,103.7,102.1,102.0,106.3,101.0,102.9,104.5,104.0,109.7
新疆维吾尔自治区,100.2,100.5,101.5,110.3,105.9,98.1,114.0,105.5,102.2,102.7,105.8,104.0,99.8,103.0,105.5,99.9,103.0,104.7,105.1,105.1
数据来源：国家统计局
